
[00:00:00.000 --> 00:00:08.000]  今天「經憤」記載在菲律比書四章 一字九字
[00:00:08.000 --> 00:00:12.000]  是保羅對菲律比教會的勸導
[00:00:12.000 --> 00:00:17.000]  我所親愛 所想念的弟兄們
[00:00:17.000 --> 00:00:22.000]  你們就是我的喜樂 我的冠冕
[00:00:22.000 --> 00:00:28.000]  我親愛的弟兄 你們應當靠主 站立得穩
[00:00:28.000 --> 00:00:34.000]  我勸有阿蝶和秦都基 要在主裏同心
[00:00:34.000 --> 00:00:41.000]  我也求你 借真實同父一呃的 幫助這兩個女人
[00:00:41.000 --> 00:00:47.000]  因為她們在福音上 曾與我一同勞苦
[00:00:47.000 --> 00:00:53.000]  患有隔離免 並其餘和我一同作功的
[00:00:53.000 --> 00:00:58.000]  她們的名字 都在生命冊上
[00:00:58.000 --> 00:01:05.000]  你們要靠主常常喜樂 我再說 你們要喜樂
[00:01:05.000 --> 00:01:09.000]  當叫眾人知道你們 謙揚的心
[00:01:09.000 --> 00:01:15.000]  主已經近了 應當一無掛淚
[00:01:15.000 --> 00:01:20.000]  只要凡事藉著討告 祈求和感謝
[00:01:20.000 --> 00:01:24.000]  將你們所要的 告訴神
[00:01:24.000 --> 00:01:30.000]  神所賜出人意外的平安 必在基督耶穌裏
[00:01:30.000 --> 00:01:34.000]  保守你們的心懷義念
[00:01:34.000 --> 00:01:38.000]  弟兄們 我還有未盡的話
[00:01:38.000 --> 00:01:45.000]  凡是真實的 可敬的 公義的 清潔的
[00:01:45.000 --> 00:01:51.000]  可愛的 有美名的 若有什麼得行
[00:01:51.000 --> 00:01:57.000]  若有什麼稱讚 這些事你們都要思念
[00:01:57.000 --> 00:02:02.000]  你們在我身上所學習的 所領受的
[00:02:02.000 --> 00:02:06.000]  所聽見的 所看見的
[00:02:06.000 --> 00:02:10.000]  這些事你們都要去行
[00:02:10.000 --> 00:02:16.000]  賜平安的神 就必與你們同在
[00:02:16.000 --> 00:02:26.000]  弟兄姊妹 平安
[00:02:26.000 --> 00:02:30.000]  來到菲律賓書最後的一講
[00:02:30.000 --> 00:02:35.000]  如果你記得上一次 其實 波木跟我們提到第四章的一開頭
[00:02:35.000 --> 00:02:42.000]  裏面講到保羅勉勵菲律賓的信徒 要靠主 站立得穩
[00:02:42.000 --> 00:02:49.000]  一方面提醒他們 在一個不容易見證信仰的世代
[00:02:49.000 --> 00:02:54.000]  要像下法保羅一樣 堅守他們天國公民的身份
[00:02:54.000 --> 00:02:59.000]  與此同時 這句說話帶出下文 就是保羅最後的勉勵
[00:02:59.000 --> 00:03:05.000]  他希望幫助菲律賓教會的信徒兩方面
[00:03:05.000 --> 00:03:10.000]  包括如何處理在教會內部信徒之間的糾紛
[00:03:10.000 --> 00:03:16.000]  同時也正視基督徒與世界的關係到底如何
[00:03:16.000 --> 00:03:22.000]  幫助教會的信徒 無論在教會裏面或外面的生活
[00:03:22.000 --> 00:03:25.000]  都可以靠主耶穌來站穩
[00:03:25.000 --> 00:03:28.000]  經文提到幾個名字
[00:03:28.000 --> 00:03:33.000]  你會發覺 雖然保羅一直對菲律賓教會讚不絕口
[00:03:33.000 --> 00:03:38.000]  但不代表裏面是一些問題都沒有
[00:03:38.000 --> 00:03:41.000]  畢竟我們都明白有人的地方會有什麼問題
[00:03:41.000 --> 00:03:43.000]  有人事的問題
[00:03:43.000 --> 00:03:48.000]  保羅提到首先有阿蝶 秦都基兩位的姊妹
[00:03:48.000 --> 00:03:53.000]  雖然我們不清楚他們的背景 因為我們不是第一身的收信人
[00:03:53.000 --> 00:04:01.000]  但從經文中可以看到他們可能是菲律賓教會開創時
[00:04:01.000 --> 00:04:04.000]  初期發展時他們已經信了主
[00:04:04.000 --> 00:04:06.000]  並且他們很熱心地侍奉
[00:04:06.000 --> 00:04:10.000]  因為保羅提到兩個人都在福音的事上
[00:04:10.000 --> 00:04:13.000]  和保羅一起童工
[00:04:13.000 --> 00:04:16.000]  並且一起的勞苦
[00:04:16.000 --> 00:04:20.000]  這兩個人大概都是菲律賓教會一些主要成員
[00:04:20.000 --> 00:04:24.000]  保羅我們不難想像他從爾巴弗提的口中
[00:04:24.000 --> 00:04:29.000]  知道這兩位姊妹近來關係出現了一些問題
[00:04:29.000 --> 00:04:35.000]  不過你見到事情應該未是鬧大
[00:04:35.000 --> 00:04:39.000]  因為保羅沒有長篇大論去講他們的情況
[00:04:39.000 --> 00:04:45.000]  大概還未影響到菲律賓整體教會的關係
[00:04:45.000 --> 00:04:49.000]  所以保羅沒有嚴厲地譴責這兩位姊妹
[00:04:49.000 --> 00:04:52.000]  不過他很清晰正中點名
[00:04:52.000 --> 00:04:58.000]  他指明這兩位姊妹要在主的同心
[00:04:58.000 --> 00:05:02.000]  勸他們盡早化解彼此之間的矛盾
[00:05:02.000 --> 00:05:05.000]  保羅提到另一個人的名字
[00:05:05.000 --> 00:05:09.000]  這裡提到一位真實和福音的信徒
[00:05:09.000 --> 00:05:11.000]  同樣我們不知道他的身份
[00:05:11.000 --> 00:05:15.000]  不過很明顯保羅拜託的一定是教會
[00:05:15.000 --> 00:05:19.000]  一些有熟齡分量的人
[00:05:19.000 --> 00:05:21.000]  熟齡程度相當成熟的人
[00:05:21.000 --> 00:05:25.000]  並且應該善於處理人際關係
[00:05:25.000 --> 00:05:30.000]  所以保羅特意拜託他幫這兩位姊妹和好
[00:05:30.000 --> 00:05:33.000]  經文又提到第三個名字叫做甲利敏
[00:05:33.000 --> 00:05:35.000]  Kellerman這個名字
[00:05:35.000 --> 00:05:39.000]  其實在羅馬帝國當時是一個很平凡普遍的名字
[00:05:39.000 --> 00:05:43.000]  不過很明顯他在教會有沒有好的明星
[00:05:43.000 --> 00:05:48.000]  因為保羅說他的名字都寫在生命冊上
[00:05:48.000 --> 00:05:51.000]  保羅就借用甲利敏這個名字來表示
[00:05:51.000 --> 00:05:55.000]  其實有蝶同秦都基和甲利敏一樣
[00:05:55.000 --> 00:05:57.000]  他不是壞人
[00:05:57.000 --> 00:06:00.000]  這兩個姊妹他們都有好的明星
[00:06:00.000 --> 00:06:03.000]  他們的名字同樣寫在生命冊上
[00:06:03.000 --> 00:06:05.000]  有好的素齡質素
[00:06:05.000 --> 00:06:08.000]  所以換句話來說這兩位姊妹的爭拗
[00:06:08.000 --> 00:06:11.000]  是不是好人和壞人之間的矛盾
[00:06:11.000 --> 00:06:14.000]  不是,是不是壞人和壞人的爭拗
[00:06:14.000 --> 00:06:17.000]  更加不是,而是怎樣
[00:06:17.000 --> 00:06:20.000]  是兩個好人的爭拗
[00:06:20.000 --> 00:06:22.000]  是不是很有趣
[00:06:22.000 --> 00:06:25.000]  你有沒有發現教會有時都是這樣的
