
[00:00:00.000 --> 00:00:03.240]  接下來是經文的時候
[00:00:03.240 --> 00:00:05.040]  今天的經文記載在
[00:00:05.040 --> 00:00:10.080]  《士司紀》九章一到六節
[00:00:10.080 --> 00:00:12.080]  《舊約聖經》三百一十二
[00:00:12.080 --> 00:00:14.360]  請聽我讀
[00:00:15.240 --> 00:00:17.440]  耶路巴黎的兒子阿彼米勒
[00:00:17.440 --> 00:00:20.440]  到了事件見他的眾母寇
[00:00:20.440 --> 00:00:24.440]  對他們和他外祖全家的人說
[00:00:24.440 --> 00:00:27.840]  請你們問事件的眾人說
[00:00:27.840 --> 00:00:30.440]  是耶路巴黎的眾子七十人
[00:00:30.440 --> 00:00:32.440]  都管理你們好呢
[00:00:32.440 --> 00:00:34.840]  還是一人管理你們好呢?
[00:00:34.840 --> 00:00:38.040]  你們又要紀念我是你們的骨肉
[00:00:38.040 --> 00:00:41.440]  他的眾母寇便將這一切話
[00:00:41.440 --> 00:00:44.440]  為他說話說給事件人聽
[00:00:44.440 --> 00:00:48.440]  事件人的心就歸向阿彼米勒
[00:00:48.440 --> 00:00:52.440]  他們說:他原是我們的兄弟兄
[00:00:52.440 --> 00:01:00.440]  就從巴黎比利土的廟中取了七十射克勒銀子給阿彼米勒
[00:01:00.440 --> 00:01:06.440]  阿彼米勒用耳顧了西夫土費跟隨他
[00:01:06.440 --> 00:01:10.440]  他往俄佛拉到他父親的家
[00:01:10.440 --> 00:01:14.440]  將他弟兄耶路巴黎的眾子七十人
[00:01:14.440 --> 00:01:17.440]  都殺在一塊盆石上
[00:01:17.440 --> 00:01:21.440]  只剩下耶路巴黎的小兒子約旦
[00:01:21.440 --> 00:01:23.440]  因他躲藏了
[00:01:23.440 --> 00:01:26.440]  事件人和米羅人都一同聚集
[00:01:26.440 --> 00:01:30.440]  往事件像樹旁的處子那裡
[00:01:30.440 --> 00:01:32.440]  納阿彼米勒為王
[00:01:32.440 --> 00:01:34.440]  聖經獨筆
[00:01:39.440 --> 00:01:41.440]  頂子會平安
[00:01:41.440 --> 00:01:49.440]  我們今天繼續用舌詩記來思考我們生命真實的狀況
[00:01:49.440 --> 00:01:54.440]  如果你記得一個星期前
[00:01:54.440 --> 00:01:57.440]  我們繼續看機電的生命故事
[00:01:57.440 --> 00:02:01.440]  在機電的一個很成功的生命當中
[00:02:01.440 --> 00:02:05.440]  我們看到其實他生命裡面有些失敗因子
[00:02:05.440 --> 00:02:08.440]  在他人生裡面戰績很彪炳
[00:02:08.440 --> 00:02:12.440]  他帶著三百多人戰勝了米電人十幾萬的大軍
[00:02:12.440 --> 00:02:16.440]  當有一個這麼彪炳的人生
