
[00:00:00.000 --> 00:00:05.000]  大家可以回到程序表或教會聖經新約339-342
[00:00:05.000 --> 00:00:09.000]  約翰一書三章十三至二十三節
[00:00:09.000 --> 00:00:14.920]  弟兄們,世人若恨你們,不要以為稀奇
[00:00:14.920 --> 00:00:21.200]  我們因為愛弟兄,就曉得已經出死入生了
[00:00:21.200 --> 00:00:24.600]  沒有愛心的,仍住在死裡
[00:00:24.600 --> 00:00:28.720]  凡恨他弟兄的,就是殺人的
[00:00:29.280 --> 00:00:34.120]  你們曉得凡殺人的,沒有永生存在他裡面
[00:00:34.120 --> 00:00:40.000]  主為我們捨命,我們從此就知道何謂愛
[00:00:40.000 --> 00:00:42.760]  我們也當為弟兄捨命
[00:00:42.760 --> 00:00:48.280]  凡有世上財物的,看見弟兄窮乏
[00:00:48.280 --> 00:00:54.040]  卻塞住憐憫的心,愛神的心怎能存在他裡面呢?
[00:00:56.280 --> 00:01:02.000]  少先們,我們相愛,不要只在言語和舌頭上
[00:01:02.000 --> 00:01:04.920]  總要在行為和誠實上
[00:01:04.920 --> 00:01:09.000]  從此就知道我們是屬真理的
[00:01:09.000 --> 00:01:13.480]  並且我們的心在神面前可以安穩
[00:01:13.480 --> 00:01:18.800]  我們的心若責備我們,神比我們的心大
[00:01:18.800 --> 00:01:21.320]  一切事沒有不知道的
[00:01:21.320 --> 00:01:25.960]  親愛的弟兄們,我們的心若不責備我們
[00:01:26.280 --> 00:01:29.160]  就可以向神坦言無懼了
[00:01:29.160 --> 00:01:33.960]  並且我們一切所求的,就從他得著
[00:01:33.960 --> 00:01:39.360]  因為我們遵守他的命令,行他所喜悅的事
[00:01:39.360 --> 00:01:45.280]  神的命令就是叫我們信他兒子耶穌基督的名
[00:01:45.280 --> 00:01:50.080]  且照他所賜給我們的命令,彼此相愛
[00:01:50.080 --> 00:01:51.360]  聖經獨筆
[00:01:51.360 --> 00:02:00.360]  (祈禱)
[00:02:00.360 --> 00:02:03.360]  願我們繼續用神的話言去敬拜神
[00:02:03.360 --> 00:02:08.160]  今天我們正在這裡,因為我們正在這裡有陳家洛醫生
[00:02:08.160 --> 00:02:10.560]  在我們這裡,為我們正在說神的話
