
[00:00:00.000 --> 00:00:12.000]  今日要為大家讀出的經文是在大家手上的聖經新約瑪太福音第十四章二十二到三十三節
[00:00:12.000 --> 00:00:16.000]  是在大家手上的聖經第二十二頁
[00:00:16.000 --> 00:00:19.000]  聖經這樣說
[00:00:19.000 --> 00:00:23.000]  耶穌隨即吹門徒上船
[00:00:23.000 --> 00:00:25.000]  先到達那邊去
[00:00:25.000 --> 00:00:28.000]  等他叫眾人散開
[00:00:28.000 --> 00:00:30.000]  散了眾人以後
[00:00:30.000 --> 00:00:33.000]  他就獨自上去禱告
[00:00:33.000 --> 00:00:38.000]  到了晚上只有他一人在那裡
[00:00:38.000 --> 00:00:40.000]  那時船在海中
[00:00:40.000 --> 00:00:42.000]  因風不順
[00:00:42.000 --> 00:00:44.000]  被浪搖晃
[00:00:44.000 --> 00:00:46.000]  夜裡四更天
[00:00:46.000 --> 00:00:48.000]  耶穌在海面上走
[00:00:48.000 --> 00:00:51.000]  往門徒那裡去
[00:00:51.000 --> 00:00:53.000]  門徒看見他在海面上走
[00:00:53.000 --> 00:00:55.000]  就驚慌了
[00:00:55.000 --> 00:00:57.000]  說:是個鬼怪
[00:00:57.000 --> 00:00:59.000]  害怕喊叫起來
[00:00:59.000 --> 00:01:02.000]  耶穌連忙對他們說
[00:01:02.000 --> 00:01:04.000]  你們放心
[00:01:04.000 --> 00:01:05.000]  是我
[00:01:05.000 --> 00:01:07.000]  不要怕
[00:01:07.000 --> 00:01:09.000]  彼得說:主
[00:01:09.000 --> 00:01:10.000]  如果是你
[00:01:10.000 --> 00:01:14.000]  請叫我從水面上走到你那裡去
[00:01:14.000 --> 00:01:17.000]  耶穌說:你來吧
[00:01:17.000 --> 00:01:19.000]  彼得就從船上下去
[00:01:19.000 --> 00:01:21.000]  在水面上走
[00:01:21.000 --> 00:01:23.000]  要到耶穌那裡去
[00:01:23.000 --> 00:01:24.000]  只因見風勢大
[00:01:24.000 --> 00:01:25.000]  就害怕
[00:01:25.000 --> 00:01:27.000]  將要沉下去
[00:01:27.000 --> 00:01:30.000]  便喊著說:主啊救我
[00:01:30.000 --> 00:01:33.000]  耶穌趕緊伸手拉著他
[00:01:33.000 --> 00:01:37.000]  說:你這小信的人
[00:01:37.000 --> 00:01:39.000]  為什麼疑惑呢?
[00:01:39.000 --> 00:01:41.000]  他們上了船
[00:01:41.000 --> 00:01:43.000]  風就拒了
[00:01:43.000 --> 00:01:46.000]  在船上的人都拜他說
[00:01:46.000 --> 00:01:49.000]  你真是神的兒子了
