
[00:00:00.000 --> 00:00:01.560]  領子會讓我們這段時間
[00:00:01.560 --> 00:00:03.560]  恭聽一段上帝的話語
[00:00:03.560 --> 00:00:08.000]  馬太福音第五章第一節至第十節
[00:00:08.000 --> 00:00:10.000]  (主持)
[00:00:10.000 --> 00:00:12.000]  (主持)
[00:00:12.000 --> 00:00:14.000]  (主持)
[00:00:14.000 --> 00:00:16.000]  (主持)
[00:00:16.000 --> 00:00:22.580]  既以坐下,門徒到他跟前來,耶穌就開口教訓他們說:
[00:00:22.580 --> 00:00:26.940]  「開心的人有福了,因為天國是他們的;
[00:00:26.940 --> 00:00:31.220]  哀動的人有福了,因為他們必得安慰;
[00:00:31.220 --> 00:00:36.380]  溫柔的人有福了,因為他們必承受地土;
[00:00:36.380 --> 00:00:41.340]  饑渴無意的人有福了,因為他們必得飽足;
[00:00:41.340 --> 00:00:46.140]  連戌人的人有福了,因為他們必蒙連戌;
[00:00:46.140 --> 00:00:51.340]  清心的人有福了,因為他們必得見神;
[00:00:51.340 --> 00:00:57.840]  使人和睦的人有福了,因為他們必稱為神的兒子;
[00:00:57.840 --> 00:01:04.340]  為義受逼迫的人有福了,因為天國是他們的。」
[00:01:04.340 --> 00:01:14.340]  今天正道的經文是在五章第六節:「饑渴無意的人有福了,因為他們必得飽足。」
[00:01:14.340 --> 00:01:17.340]  今天為我們宣講的是陳啟興牧師
[00:01:17.340 --> 00:01:21.840]  今天宣講的題目是「幸福由饑渴無意開始」
[00:01:21.840 --> 00:01:24.340]  現在恭請陳啟興牧師
[00:01:24.340 --> 00:01:35.340]  (廣東話)
[00:01:35.340 --> 00:01:37.340]  阿弟姐妹早晨
[00:01:37.340 --> 00:01:44.340]  很感恩有機會再一次來旺朕分享神的話語
[00:01:44.340 --> 00:01:46.840]  我們同心一起禱告
[00:01:46.840 --> 00:01:50.340]  我們將講的、聽的交託給上帝
[00:01:50.340 --> 00:01:53.840]  親愛的主,我們去仰望祢
[00:01:53.840 --> 00:01:58.340]  如果我們的生命的焦點離開了祢
[00:01:58.340 --> 00:02:01.840]  我們甚麼都不是,也甚麼都做不到
[00:02:01.840 --> 00:02:06.840]  任何有意義的生命都不能夠活出來
[00:02:06.840 --> 00:02:11.840]  主,幫助我們能夠去找到祢的心意
[00:02:11.840 --> 00:02:15.840]  進行祢的召命去過我們的一生
[00:02:15.840 --> 00:02:21.840]  讓今天祢的靈去引導我們進入真理
[00:02:21.840 --> 00:02:23.840]  讓我們聽得明白
[00:02:23.840 --> 00:02:26.840]  讓我們的心很想去跟從
[00:02:26.840 --> 00:02:32.840]  讓我們的手有力去活出祢託付我們的使命
[00:02:32.840 --> 00:02:36.840]  同心禱告仰望奉耶穌基督的聖名
[00:02:36.840 --> 00:02:37.840]  阿們
[00:02:37.840 --> 00:02:39.840]  在開始的時候
[00:02:39.840 --> 00:02:46.840]  很想讓大家去看一套電影的片段
[00:02:46.840 --> 00:02:48.840]  一幅相
[00:02:48.840 --> 00:02:52.840]  有沒有人看過這套電影?
[00:02:52.840 --> 00:02:54.840]  是否在座?
[00:02:54.840 --> 00:02:57.840]  在電腦背後的我聽不到大家說話
[00:02:57.840 --> 00:03:00.840]  在座有沒有人看過這套電影?
[00:03:00.840 --> 00:03:06.840]  大家可能在座看不到圖片
[00:03:06.840 --> 00:03:09.840]  這套電影是《鹿鼎記》第二集《唇紅膠》
[00:03:09.840 --> 00:03:13.840]  話說劉松仁飾演的陳近南
[00:03:13.840 --> 00:03:17.840]  跟徒弟周星馳飾演的韋小寶
[00:03:17.840 --> 00:03:19.840]  有一段對話
[00:03:19.840 --> 00:03:22.840]  韋小寶問師傅
[00:03:22.840 --> 00:03:26.840]  自從康熙登位之後
[00:03:26.840 --> 00:03:29.840]  四海聲平國泰民安
[00:03:29.840 --> 00:03:33.840]  為什麼還是要推翻康熙呢?
[00:03:33.840 --> 00:03:35.840]  接著陳近南回答
[00:03:35.840 --> 00:03:37.840]  其實這句話
[00:03:37.840 --> 00:03:40.840]  也讓我在這套電影中間
[00:03:40.840 --> 00:03:41.840]  除了搞笑之外
[00:03:41.840 --> 00:03:43.840]  有很多的反省
[00:03:43.840 --> 00:03:45.840]  陳近南回答
[00:03:45.840 --> 00:03:49.840]  因為這是我畢生的志願
[00:03:49.840 --> 00:03:53.840]  韋小寶若有所思就自言自語
[00:03:53.840 --> 00:03:55.840]  為了你的畢生志願
[00:03:55.840 --> 00:03:57.840]  就要打仗
[00:03:57.840 --> 00:03:59.840]  要人民受苦
[00:03:59.840 --> 00:04:01.840]  韋小寶不明白
[00:04:01.840 --> 00:04:03.840]  要達成你的畢生志願
[00:04:03.840 --> 00:04:06.840]  其實可能更加多人受苦
[00:04:06.840 --> 00:04:10.840]  所以我們有沒有想過
[00:04:10.840 --> 00:04:14.840]  究竟我們的畢生志願是什麼呢?
[00:04:14.840 --> 00:04:17.840]  很多人都有畢生志願
[00:04:17.840 --> 00:04:21.840]  畢生志願就是你人生最渴望的東西
[00:04:21.840 --> 00:04:23.840]  最影響你的人生
[00:04:23.840 --> 00:04:25.840]  你會調動
[00:04:25.840 --> 00:04:28.840]  你會去調整一切的資源
[00:04:28.840 --> 00:04:31.840]  會向著這個方向走
[00:04:31.840 --> 00:04:34.840]  去達成你的畢生志願
[00:04:34.840 --> 00:04:37.840]  你的畢生志願是什麼呢?
[00:04:37.840 --> 00:04:40.840]  如果你的畢生志願是錯的
[00:04:40.840 --> 00:04:44.840]  你整個人生都會走歪了
[00:04:44.840 --> 00:04:47.840]  韋小寶不明白
[00:04:47.840 --> 00:04:50.840]  他不明白他的師父為了你的畢生志願
[00:04:50.840 --> 00:04:52.840]  就要打仗
[00:04:52.840 --> 00:04:54.840]  就要人民受苦
[00:04:54.840 --> 00:04:56.840]  在人生的不同階段
[00:04:56.840 --> 00:04:59.840]  可以有不同的志願
[00:04:59.840 --> 00:05:02.840]  如果你現在在這個階段
[00:05:02.840 --> 00:05:04.840]  你的志願是錯的
[00:05:04.840 --> 00:05:07.840]  你現在的人生就走歪了
[00:05:07.840 --> 00:05:10.840]  這裡的錯不是道德的錯
[00:05:10.840 --> 00:05:13.840]  不是社會倫理上的錯
[00:05:13.840 --> 00:05:17.840]  是指在神眼中是錯的
[00:05:17.840 --> 00:05:19.840]  弟兄姊妹
[00:05:19.840 --> 00:05:22.840]  如果你現在的心願和志願
[00:05:22.840 --> 00:05:25.840]  不是神所賦予你的志願
[00:05:25.840 --> 00:05:29.840]  可能我們會走一條錯的路
