
[00:00:00.000 --> 00:00:03.000]  剛才那首詩歌很有意思
[00:00:03.000 --> 00:00:06.600]  當詩歌講到
[00:00:06.600 --> 00:00:12.400]  其實是在約翰福音14章第27節
[00:00:12.400 --> 00:00:15.600]  經文裏面這樣說
[00:00:15.600 --> 00:00:18.600]  「我留下平安給你們
[00:00:18.600 --> 00:00:22.000]  我把我的平安賜給你們
[00:00:22.000 --> 00:00:24.000]  我所賜給你們的
[00:00:24.000 --> 00:00:26.600]  不像世人所賜的
[00:00:26.600 --> 00:00:29.800]  你們心裡不要憂愁
[00:00:29.800 --> 00:00:32.800]  也不要膽怯」
[00:00:32.800 --> 00:00:36.600]  這一句說話在約翰福音記載
[00:00:36.600 --> 00:00:39.600]  其實是耶穌所說的一句說話
[00:00:39.600 --> 00:00:43.600]  祂告訴我們這個世界的平安有兩種
[00:00:43.600 --> 00:00:47.000]  一種就是我們所說的
[00:00:47.000 --> 00:00:49.800]  是世界給你的平安
[00:00:49.800 --> 00:00:54.800]  第二種就是耶穌所賜給你的平安
[00:00:54.800 --> 00:00:58.200]  什麼是世界所賜的平安呢?
[00:00:58.200 --> 00:01:01.200]  世界的平安就是告訴我們
[00:01:01.200 --> 00:01:04.200]  會因著環境的改變
[00:01:04.200 --> 00:01:08.200]  而對我們的心態有影響
[00:01:08.200 --> 00:01:11.200]  環境會帶給你的
[00:01:11.200 --> 00:01:15.200]  是一個平安還是不平安的訊息
[00:01:15.200 --> 00:01:19.200]  平安是因著環境而影響
[00:01:19.200 --> 00:01:20.200]  例如什麼呢?
[00:01:20.200 --> 00:01:22.600]  我覺得最常見的就是
[00:01:22.600 --> 00:01:24.600]  在我們的日常生活裏面
[00:01:24.600 --> 00:01:31.600]  數字會令到我們的平安有起有跌
[00:01:31.600 --> 00:01:35.600]  例如股市
[00:01:35.600 --> 00:01:38.600]  股市恆生指數升或跌
[00:01:38.600 --> 00:01:41.600]  或者你買的股票升或跌
[00:01:41.600 --> 00:01:43.600]  會影響你的平安
[00:01:43.600 --> 00:01:46.600]  影響你心裏的安穩
[00:01:46.600 --> 00:01:49.600]  又或者健康
[00:01:49.600 --> 00:01:53.600]  不知道大家會不會定期檢查自己的身體呢?
[00:01:53.600 --> 00:01:55.600]  你的膽固醇指數
[00:01:55.600 --> 00:01:57.600]  血糖、血壓
[00:01:57.600 --> 00:02:01.600]  這些指數都會影響我們的心情
[00:02:01.600 --> 00:02:06.600]  又或者近來我們會去驗身冠肺炎
[00:02:06.600 --> 00:02:09.600]  究竟我們是呈陰性還是陽性
[00:02:09.600 --> 00:02:13.600]  這些環境都會影響我們的心態
[00:02:13.600 --> 00:02:15.600]  或者我們做爸爸媽媽
[00:02:15.600 --> 00:02:18.600]  我們會很緊張
[00:02:18.600 --> 00:02:21.600]  子女的分數
[00:02:21.600 --> 00:02:24.600]  她的考試成績
[00:02:24.600 --> 00:02:28.600]  她的排行榜排第幾
[00:02:28.600 --> 00:02:30.600]  這些都會影響我們的心
[00:02:30.600 --> 00:02:35.600]  我們的心會不會因著外圍環境的數字
[00:02:35.600 --> 00:02:39.600]  而令到我們有起有跌
