
[00:00:00.000 --> 00:00:02.800]  接下來是經訓
[00:00:02.800 --> 00:00:05.880]  今天的經文是詩篇92篇
[00:00:05.880 --> 00:00:07.880]  第12到第15節
[00:00:07.880 --> 00:00:10.360]  經文已經印在你們的秩序表內
[00:00:10.360 --> 00:00:12.360]  你們可以翻開聽我重讀
[00:00:12.360 --> 00:00:15.720]  詩篇92篇 12到15節
[00:00:15.720 --> 00:00:19.000]  二人要發旺於中樹
[00:00:19.000 --> 00:00:22.400]  生長於黎巴嫩的香柏樹
[00:00:22.400 --> 00:00:25.680]  他們在於耶和華的殿中
[00:00:25.680 --> 00:00:29.160]  發旺在我們神的園裡
[00:00:29.160 --> 00:00:33.440]  他們年老的時候仍要結果子
[00:00:33.440 --> 00:00:37.440]  要滿了執帳而常發青
[00:00:37.440 --> 00:00:41.440]  很顯明耶和華是正直的
[00:00:41.440 --> 00:00:43.440]  他是我的盤石
[00:00:43.440 --> 00:00:45.440]  在他毫無不疑
[00:00:45.440 --> 00:00:47.440]  聖經獨筆
[00:00:47.440 --> 00:00:53.440]  今天我們很榮幸邀請到
[00:00:53.440 --> 00:00:57.440]  中國神學研究院的副導科教授
[00:00:57.440 --> 00:00:59.960]  歐長江博士為我們精導
[00:00:59.960 --> 00:01:01.960]  感覺港大年老仍發旺
[00:01:01.960 --> 00:01:03.960]  栽在神殿中的長青樹
[00:01:03.960 --> 00:01:05.960]  有請歐博士
[00:01:05.960 --> 00:01:15.440]  大姐妹早安
[00:01:15.440 --> 00:01:18.880]  穆姐請我來講道的時候
[00:01:18.880 --> 00:01:22.880]  也有一些想法
[00:01:22.880 --> 00:01:24.880]  平時請我來講
[00:01:24.880 --> 00:01:26.880]  夫婦主日
[00:01:26.880 --> 00:01:32.880]  這次請我講長者主日
[00:01:32.880 --> 00:01:35.880]  其中一個原因是
[00:01:35.880 --> 00:01:37.880]  我拿了旅遊卡
[00:01:37.880 --> 00:01:43.880]  做了三個女孫子的公公
[00:01:43.880 --> 00:01:47.880]  所以也是一個長者
[00:01:47.880 --> 00:01:51.880]  我想起詩篇90篇
[00:01:51.880 --> 00:01:53.880]  大家很熟悉
[00:01:53.880 --> 00:01:56.880]  我們一生的年日是70歲
[00:01:56.880 --> 00:02:01.880]  如果強壯就可以到80歲
[00:02:01.880 --> 00:02:07.880]  這段經文年代的壽命可能有些不同
[00:02:07.880 --> 00:02:09.880]  今天應該改寫
[00:02:09.880 --> 00:02:11.880]  我們一生的年日是80歲
[00:02:11.880 --> 00:02:15.880]  如果強壯就可以到90歲
[00:02:15.880 --> 00:02:21.880]  所以長者的人生階段可長可短
[00:02:21.880 --> 00:02:25.880]  其實是一個很大的挑戰
[00:02:25.880 --> 00:02:28.880]  不知道大家對長者的定義是什麼
[00:02:28.880 --> 00:02:31.880]  我猜65歲以上
[00:02:31.880 --> 00:02:35.880]  差不多這樣定義
[00:02:35.880 --> 00:02:38.880]  有點不好意思叫你們舉手
[00:02:38.880 --> 00:02:43.880]  這裡有多少長者呢
[00:02:43.880 --> 00:02:46.880]  很多年前我做輔導前
[00:02:46.880 --> 00:02:48.880]  我是一個職業治療師
[00:02:48.880 --> 00:02:51.880]  做人體治療師
[00:02:51.880 --> 00:02:53.880]  看一個人的身體狀況
[00:02:53.880 --> 00:02:55.880]  我們用幾個英文字母
[00:02:55.880 --> 00:02:57.880]  PIESV
[00:02:57.880 --> 00:02:59.880]  P是Physical
[00:02:59.880 --> 00:03:01.880]  I是Intellectual
[00:03:01.880 --> 00:03:03.880]  E是Emotional
[00:03:03.880 --> 00:03:05.880]  S是Social
[00:03:05.880 --> 00:03:07.880]  V是Vocational
[00:03:07.880 --> 00:03:10.880]  我看這幾個英文字母
[00:03:10.880 --> 00:03:14.880]  長者在人生階段
[00:03:14.880 --> 00:03:18.880]  比較大的挑戰可能是頭兩個
[00:03:18.880 --> 00:03:21.880]  第一個P Physical
[00:03:21.880 --> 00:03:25.880]  我們打從五六十歲之後
[00:03:25.880 --> 00:03:28.880]  多了身體的毛病
[00:03:28.880 --> 00:03:30.880]  腰酸背痛
