
[00:00:00.000 --> 00:00:03.640]  讓我們繼續定睛思想耶穌基督
[00:00:03.640 --> 00:00:07.640]  在十字架上所說的七句話
[00:00:07.640 --> 00:00:10.760]  我們看到即使耶穌基督
[00:00:10.760 --> 00:00:13.240]  無論是身體或心靈
[00:00:13.240 --> 00:00:18.040]  已經處於最痛苦、最脆弱的階段
[00:00:18.040 --> 00:00:22.840]  但他仍然沒有忘記世人的需要
[00:00:22.840 --> 00:00:26.840]  以及上帝所託付給他的使命
[00:00:26.840 --> 00:00:30.840]  當我們回望這七句話
[00:00:30.840 --> 00:00:35.400]  你會發現頭三句是耶穌表達
[00:00:35.400 --> 00:00:38.400]  對世人的一份關愛
[00:00:38.400 --> 00:00:43.160]  耶穌仍然記掛著那些陷害他
[00:00:43.160 --> 00:00:45.040]  有份釘他十架
[00:00:45.040 --> 00:00:48.440]  羞辱他、嘲笑他的人
[00:00:48.440 --> 00:00:53.040]  他們一再否定耶穌是上帝的兒子
[00:00:53.040 --> 00:00:57.040]  拒絕接受耶穌成為他們的救主
[00:00:57.040 --> 00:01:00.040]  但他們原來不知道
[00:01:00.040 --> 00:01:03.840]  他們將要面對永垷的結果
[00:01:03.840 --> 00:01:08.840]  將要永遠承受一個不認耶穌的苦
[00:01:08.840 --> 00:01:10.440]  但我們看到
[00:01:10.440 --> 00:01:14.040]  耶穌不單沒有以牙還牙
[00:01:14.040 --> 00:01:18.240]  沒有求上帝降禍來消滅他們
[00:01:18.240 --> 00:01:23.240]  相反,耶穌求天父赦免
[00:01:23.240 --> 00:01:29.240]  因為他們根本不知道自己正在得罪上帝
[00:01:29.240 --> 00:01:31.040]  因為這群人
[00:01:31.040 --> 00:01:37.240]  其實都是耶穌所愛、所要憐憫、拯救的對象
[00:01:37.240 --> 00:01:39.840]  另一方面,我們也看到
[00:01:39.840 --> 00:01:43.240]  耶穌紀念那一位和他同釘十架
[00:01:43.240 --> 00:01:47.640]  願意信靠他的那一個人
[00:01:47.640 --> 00:01:51.440]  耶穌不想他帶著一種遺憾
[00:01:51.440 --> 00:01:55.640]  帶著那種罪疚感離開世上
[00:01:55.640 --> 00:01:58.240]  於是耶穌對他說
[00:01:58.240 --> 00:01:59.840]  「我實在告訴你
[00:01:59.840 --> 00:02:04.440]  今天你要和我在樂園裏面」
[00:02:04.440 --> 00:02:06.640]  耶穌即時接納了他
[00:02:06.640 --> 00:02:09.440]  成為天國的成員
[00:02:09.440 --> 00:02:13.640]  賜給他永生的確居
[00:02:13.640 --> 00:02:15.640]  我們也看到耶穌
[00:02:15.640 --> 00:02:20.840]  他很記掛著那位和他即將分離的母親
[00:02:20.840 --> 00:02:23.440]  耶穌知道在這一刻很需要
[00:02:23.440 --> 00:02:26.040]  有一個人好像兒子一樣
[00:02:26.040 --> 00:02:28.440]  來和瑪利亞同行
[00:02:28.440 --> 00:02:31.240]  去照顧她、安慰她
[00:02:31.240 --> 00:02:35.640]  陪伴她過到這個哀傷的時刻
[00:02:35.640 --> 00:02:40.240]  我們看到這位被釘十架的耶穌
[00:02:40.240 --> 00:02:44.440]  他應驗了舊約聖經以塞亞裏所說的
[00:02:44.440 --> 00:02:49.240]  他不單只擔當了世人的罪孽
[00:02:49.240 --> 00:02:56.240]  他更加背負了每一個人的痛苦和憂患
[00:02:56.240 --> 00:02:59.840]  至於十架七弦裏面的第四句
[00:02:59.840 --> 00:03:03.840]  耶穌說「我的神,我的神,為甚麼離棄我?」
[00:03:03.840 --> 00:03:07.240]  以及第五句「我渴了」
[00:03:07.240 --> 00:03:10.240]  其實分別是來自舊約的詩篇
