
[00:00:00.000 --> 00:00:03.000]  詩篇第十六篇
[00:00:03.000 --> 00:00:06.000]  神啊求祢保佑我
[00:00:06.000 --> 00:00:08.000]  因為我投靠祢
[00:00:08.000 --> 00:00:10.000]  我的心啊
[00:00:10.000 --> 00:00:12.000]  祢曾對耶和華說
[00:00:12.000 --> 00:00:14.000]  祢是我的主
[00:00:14.000 --> 00:00:18.000]  我的好處不在祢以外
[00:00:18.000 --> 00:00:20.000]  令到世上的聖民
[00:00:20.000 --> 00:00:22.000]  他們又美又善
[00:00:22.000 --> 00:00:25.000]  是我最喜悅的
[00:00:25.000 --> 00:00:30.000]  以別臣代替耶和華的
[00:00:30.000 --> 00:00:33.000]  他們的受苦必加增
[00:00:33.000 --> 00:00:35.000]  他們所澆點的血
[00:00:35.000 --> 00:00:38.000]  我不欠賞
[00:00:38.000 --> 00:00:42.000]  我的嘴唇也不提別臣的名號
[00:00:42.000 --> 00:00:45.000]  耶和華是我的產業
[00:00:45.000 --> 00:00:47.000]  是我杯中的糞
[00:00:47.000 --> 00:00:49.000]  我所得的
[00:00:49.000 --> 00:00:52.000]  祢為我賜受
[00:00:52.000 --> 00:00:54.000]  用乘涼給我的地界
[00:00:54.000 --> 00:00:57.000]  坐落在皆美之處
[00:00:57.000 --> 00:01:01.000]  我的產業實在美好
[00:01:01.000 --> 00:01:05.000]  我必稱頌那只有我的耶和華
[00:01:05.000 --> 00:01:09.000]  我的心牆在夜間也警戒我
[00:01:09.000 --> 00:01:13.000]  我將耶和華常擺在我面前
[00:01:13.000 --> 00:01:15.000]  因祂在我右邊
[00:01:15.000 --> 00:01:18.000]  我便不自搖動
[00:01:18.000 --> 00:01:21.000]  因此我的心歡喜
[00:01:21.000 --> 00:01:23.000]  我的靈快樂
[00:01:23.000 --> 00:01:27.000]  我的肉身也要安然居住
[00:01:27.000 --> 00:01:30.000]  因為祢必不將我的靈魂
[00:01:30.000 --> 00:01:32.000]  撇在陰間
[00:01:32.000 --> 00:01:36.000]  也不叫祢的聖者見紐壞
[00:01:36.000 --> 00:01:40.000]  祢必將生命的道路指示我
[00:01:40.000 --> 00:01:44.000]  在祢面前有滿足的喜樂
[00:01:44.000 --> 00:01:49.000]  在祢右手中有永遠的福樂
[00:01:49.000 --> 00:01:53.000]  這是上帝的話語
[00:02:19.000 --> 00:02:21.000]  很偉大等等
[00:02:21.000 --> 00:02:22.000]  最重要的是
[00:02:22.000 --> 00:02:25.000]  我們要將自己的生命也讀進去
[00:02:25.000 --> 00:02:27.000]  以至讓上帝的話
[00:02:27.000 --> 00:02:28.000]  和我們的生命
[00:02:28.000 --> 00:02:30.000]  都能有這份潔潔
[00:02:30.000 --> 00:02:32.000]  才能真正體驗到
[00:02:32.000 --> 00:02:35.000]  上帝如何今天和我們同行
[00:02:35.000 --> 00:02:36.000]  而上帝所做的事
[00:02:36.000 --> 00:02:38.000]  不只是停留在二千多年前
[00:02:38.000 --> 00:02:39.000]  為我們做的
[00:02:39.000 --> 00:02:40.000]  而是今天也同樣
[00:02:40.000 --> 00:02:42.000]  在我們生命裏進行
[00:02:42.000 --> 00:02:44.000]  所以當我們要讀入
[00:02:44.000 --> 00:02:45.000]  今天的基督之詩
[00:02:45.000 --> 00:02:48.000]  在裏面去明白上帝的話的時候
[00:02:48.000 --> 00:02:51.000]  我們也嘗試將自己的生命
[00:02:51.000 --> 00:02:54.000]  投入在當中去想一想
[00:02:54.000 --> 00:02:56.000]  先給大家一個問題去想一想
[00:02:56.000 --> 00:02:59.000]  去回想你從小到大
[00:02:59.000 --> 00:03:02.000]  有沒有經歷過被人扔下
[00:03:02.000 --> 00:03:04.000]  這個經歷可能是很傷痛
[00:03:04.000 --> 00:03:06.000]  但先試想一想
[00:03:06.000 --> 00:03:08.000]  當一說扔下這件事
[00:03:08.000 --> 00:03:09.000]  我一定會回想起
[00:03:09.000 --> 00:03:11.000]  我一個中學同學的一個經歷
[00:03:11.000 --> 00:03:12.000]  是什麼呢
[00:03:12.000 --> 00:03:14.000]  他長大了
[00:03:14.000 --> 00:03:15.000]  說回一次經歷
[00:03:15.000 --> 00:03:18.000]  他有一次跟中學的 field trip
[00:03:18.000 --> 00:03:20.000]  即是出去考察
[00:03:20.000 --> 00:03:21.000]  去到國內一個地方
[00:03:21.000 --> 00:03:23.000]  他說是一個茶園
[00:03:23.000 --> 00:03:24.000]  即是跟大隊十幾人
