
[00:00:00.000 --> 00:00:04.800]  今日的經文是記載在二弗所書一章十五至二十三節
[00:00:04.800 --> 00:00:08.200]  大家可以翻開新約二百六十五至二百六十六頁
[00:00:08.200 --> 00:00:10.200]  或者在程序表的內頁也有
[00:00:10.200 --> 00:00:15.800]  因此,我既聽見你們信從主耶穌
[00:00:15.800 --> 00:00:19.800]  親愛眾聖徒,就為你們不主的感謝神
[00:00:19.800 --> 00:00:22.400]  禱告的時候,想提到你們
[00:00:22.400 --> 00:00:24.800]  求我們主耶穌基督的神
[00:00:24.800 --> 00:00:26.000]  榮耀的父
[00:00:26.000 --> 00:00:28.600]  將那次人智慧和啟示的靈
[00:00:28.600 --> 00:00:31.600]  上給你們,使你們真知道祂
[00:00:31.600 --> 00:00:34.200]  並且照明你們心中的眼睛
[00:00:34.200 --> 00:00:37.400]  使你們知道祂的恩兆有何等指望
[00:00:37.400 --> 00:00:39.800]  祂在聖徒中得的基業
[00:00:39.800 --> 00:00:43.200]  有何等豐盛的榮耀
[00:00:43.200 --> 00:00:46.600]  並知道祂向我們這信的人所顯的能力
[00:00:46.600 --> 00:00:48.000]  是何等浩大
[00:00:48.000 --> 00:00:52.200]  就是照祂在基督身上所運行的大能大力
[00:00:52.200 --> 00:00:54.200]  使祂從死裡復活
[00:00:54.200 --> 00:00:57.600]  叫祂在天上坐在自己的右邊
[00:00:57.600 --> 00:00:59.400]  遠超過一切執政的
[00:00:59.400 --> 00:01:03.200]  掌權的、有能的、主治的和一切有名的
[00:01:03.200 --> 00:01:05.000]  不但是今世的
[00:01:05.000 --> 00:01:07.400]  連來世的也都超過了
[00:01:07.400 --> 00:01:10.800]  又將萬有服在祂的腳下
[00:01:10.800 --> 00:01:14.600]  使祂為教會作萬有之首
[00:01:14.600 --> 00:01:16.200]  教會是祂的身體
[00:01:16.200 --> 00:01:19.200]  是那充滿萬有者所充滿的
[00:01:19.200 --> 00:01:21.200]  這是上主的話
[00:01:21.200 --> 00:01:23.200]  (字幕:陳志全)
[00:01:23.200 --> 00:01:25.200]  (字幕:陳志全)
[00:01:25.200 --> 00:01:27.200]  (字幕:陳志全)
[00:01:28.200 --> 00:01:29.200]  弟兄姊妹平安
[00:01:29.200 --> 00:01:30.200]  (字幕:陳志全)
[00:01:30.200 --> 00:01:32.800]  感謝主我們今天一齊來到教會當中
