
[00:00:00.000 --> 00:00:06.000]  今日經訓在約翰福音第八章一至十一節
[00:00:06.000 --> 00:00:11.000]  在新約聖經第137至138頁
[00:00:11.000 --> 00:00:16.000]  約翰福音第八章一節
[00:00:16.000 --> 00:00:23.000]  「於是,各人都回家去了,耶穌卻往橄欖山去,
[00:00:23.000 --> 00:00:30.000]  清早又回到殿裡,眾百姓都到他那裡去,
[00:00:30.000 --> 00:00:33.000]  他就坐下教訓他們,
[00:00:33.000 --> 00:00:38.000]  問是和法利賽人帶著行淫時被拿的婦人來,
[00:00:38.000 --> 00:00:42.000]  叫她站在當中,就對耶穌說:
[00:00:42.000 --> 00:00:47.000]  夫子,這婦人是正行淫之時被拿的,
[00:00:47.000 --> 00:00:54.000]  摩西在律法上吩咐我們把這樣的婦人用石頭打死,
[00:00:54.000 --> 00:00:57.000]  你說該把她怎麼樣呢?
[00:00:57.000 --> 00:01:03.000]  他們說者說乃試探耶穌,要得著告她的把柄,
[00:01:03.000 --> 00:01:09.000]  耶穌卻彎著腰,用指頭在地上畫字,
[00:01:09.000 --> 00:01:12.000]  他們還是不住的問她,
[00:01:12.000 --> 00:01:17.000]  耶穌就直起腰來對他們說:
[00:01:17.000 --> 00:01:24.000]  你們中間誰是沒有罪的,誰就可以先拿石頭打她?
[00:01:24.000 --> 00:01:30.000]  於是又彎著腰,用指頭在地上畫字,
[00:01:30.000 --> 00:01:37.000]  他們聽見者說,就從老到少,一個一個的都出去了,
[00:01:37.000 --> 00:01:41.000]  只剩下耶穌一個一人,
[00:01:41.000 --> 00:01:45.000]  還有那婦人仍然站在當中,
[00:01:45.000 --> 00:01:48.000]  耶穌就直起腰來對她說:
[00:01:48.000 --> 00:01:54.000]  婦人,那些人在哪裡呢?沒有人定你的罪嗎?
[00:01:54.000 --> 00:01:57.000]  她說:主啊,沒有。
[00:01:57.000 --> 00:02:04.000]  耶穌說:我也不定你的罪,去吧,從此不要再犯罪了。
[00:02:04.000 --> 00:02:15.000]  請問各位姐妹平安,
[00:02:15.000 --> 00:02:20.000]  還記得上一次講到《但耶律書》第五章的時候,
[00:02:20.000 --> 00:02:26.000]  我提過一件事情,就是上帝在聖經的記載裡,
[00:02:26.000 --> 00:02:31.000]  上帝曾經用指頭來到他三次寫字,有沒有印象?
[00:02:31.000 --> 00:02:34.000]  第一次就是在《出埃及記》,
[00:02:34.000 --> 00:02:40.000]  上帝就用指頭在兩塊石板上寫上他的誡命律例,
[00:02:40.000 --> 00:02:44.000]  彰顯著上帝與人立約的記號。
[00:02:44.000 --> 00:02:47.000]  第二次就是在《但耶律書》第五章,
[00:02:47.000 --> 00:02:52.000]  上帝在粉牆上寫上白沙薩的罪行和刑罰,
[00:02:52.000 --> 00:02:56.000]  顯示了人對上帝的虧欠。
[00:02:56.000 --> 00:03:00.000]  第三次就是剛剛所讀的經文,《約翰福音》第八章,
[00:03:00.000 --> 00:03:03.000]  這次我們不知道耶穌在地上寫了什麼,
[00:03:03.000 --> 00:03:05.000]  不過我們確實知道,
[00:03:05.000 --> 00:03:08.000]  他最後放過了那個行淫的婦人,
[00:03:08.000 --> 00:03:10.000]  沒有定他的罪,
[00:03:10.000 --> 00:03:14.000]  顯示了上帝已經降世為人,
[00:03:14.000 --> 00:03:21.000]  彰顯他的恩典,並且宣告他對罪人的寬恕和接納。
[00:03:21.000 --> 00:03:23.000]  正如今天我們看到的這段經文,
[00:03:23.000 --> 00:03:31.000]  耶穌在聖殿裡與百姓教訓他們的時候,
[00:03:31.000 --> 00:03:38.000]  文士和法利塞人將一個行淫的婦人帶到人群當中,
[00:03:38.000 --> 00:03:43.000]  並且要求耶穌根據摩西的律法作出裁決。
[00:03:43.000 --> 00:03:46.000]  很明顯,可能你也聽過這段經文,
[00:03:46.000 --> 00:03:50.000]  很多聖經學者也知道這是一個陷阱,
[00:03:50.000 --> 00:03:54.000]  某程度上,哪有這麼巧合的法利塞人和文士,
[00:03:54.000 --> 00:03:58.000]  會抓到一個只是行淫的婦人呢?
[00:03:58.000 --> 00:04:00.000]  通常這些都是要麼預先收到情報,
[00:04:00.000 --> 00:04:02.000]  要麼就預先設局,
[00:04:02.000 --> 00:04:06.000]  他們如何得知有這樣的事情發生?
[00:04:06.000 --> 00:04:08.000]  第二方面就是,
[00:04:08.000 --> 00:04:11.000]  為什麼只抓到一個女的,抓不到一個男的呢?
[00:04:11.000 --> 00:04:13.000]  應該也抓到一個男的吧?
[00:04:13.000 --> 00:04:17.000]  第三方面就是,其實他們根本知道怎麼做的,
[00:04:17.000 --> 00:04:21.000]  律法已經說明了可以怎樣處理整件事,
[00:04:21.000 --> 00:04:23.000]  或者犯事的人,
[00:04:23.000 --> 00:04:27.000]  其實他們沒有必要專門來諮詢耶穌,
[00:04:27.000 --> 00:04:29.000]  很明顯,就像經文裡所說,
[00:04:29.000 --> 00:04:32.000]  他們不是要彰顯公義,
[00:04:32.000 --> 00:04:34.000]  而是要試探耶穌,
[00:04:34.000 --> 00:04:37.000]  他們有自己的目的,基本上。
