
[00:00:00.000 --> 00:00:02.720]  今次經文是記載於詩篇
[00:00:02.720 --> 00:00:05.120]  《以賽亞書》及《生命記》
[00:00:05.120 --> 00:00:09.160]  大家可以翻開程序表內頁
[00:00:09.160 --> 00:00:15.600]  詩篇二十二篇,九至十節
[00:00:15.600 --> 00:00:18.480]  「但你是叫我出母福的
[00:00:18.480 --> 00:00:22.640]  我在母懷裡,你就使我有倚靠的心
[00:00:22.640 --> 00:00:26.440]  我自出母胎就被交在你手裡
[00:00:26.440 --> 00:00:29.800]  從我母親生我,你就是我的神」
[00:00:30.800 --> 00:00:34.600]  《以賽亞書》四十九章,十五節
[00:00:34.600 --> 00:00:38.400]  「婦人應能忘記她吃奶的嬰孩
[00:00:38.400 --> 00:00:40.800]  不連恤她所生的兒子
[00:00:40.800 --> 00:00:44.560]  即或有忘記的,我卻不忘記你」
[00:00:44.560 --> 00:00:49.840]  《以賽亞書》六十六章,十二節下至十三
[00:00:49.840 --> 00:00:52.440]  「你們要從中享受
[00:00:52.440 --> 00:00:56.480]  你們必蒙抱在肋旁,搖擺在膝上
[00:00:56.480 --> 00:00:58.800]  母親怎樣安慰兒子
[00:00:58.800 --> 00:01:01.120]  我就照樣安慰你們
[00:01:01.120 --> 00:01:04.320]  你們也因耶路撒冷得安慰」
[00:01:04.320 --> 00:01:07.280]  最後一節
[00:01:07.280 --> 00:01:10.120]  《生命記》三十二章,十一節
[00:01:10.120 --> 00:01:12.960]  「猶如鷹攪動巢窩
[00:01:12.960 --> 00:01:16.880]  在初鷹以上兩次擅展
[00:01:16.880 --> 00:01:21.720]  接取初鷹背在兩翼之上」
[00:01:27.840 --> 00:01:32.560]  很感恩今天由中國神學研究院
[00:01:32.560 --> 00:01:34.960]  副導科教授歐長江博士
[00:01:34.960 --> 00:01:38.880]  在中間為我們講訊息
[00:01:38.880 --> 00:01:40.760]  母親節的主題
[00:01:40.760 --> 00:01:43.280]  「神讓母親養育我們」
[00:01:43.280 --> 00:01:45.040]  請歐婆
[00:01:45.040 --> 00:01:53.720]  (歐哥) 第一件事是早安
[00:01:53.720 --> 00:01:54.840]  (記者) 早安
[00:01:56.080 --> 00:01:59.320]  其實講母親節的崇拜是有挑戰的
[00:01:59.320 --> 00:02:01.080]  因為每年都有母親節
[00:02:01.080 --> 00:02:06.720]  聖經裡的哪位母親你們沒聽過呢?
[00:02:06.720 --> 00:02:08.680]  瑪利亞的母親
[00:02:08.680 --> 00:02:10.120]  摩西的母親
[00:02:10.120 --> 00:02:12.200]  薩姆爾的母親
[00:02:12.200 --> 00:02:15.280]  想了想
[00:02:15.280 --> 00:02:18.360]  不如我找一些經文
[00:02:18.360 --> 00:02:21.320]  關於母親的跟大家分享
[00:02:21.320 --> 00:02:25.280]  不說特別一位母親
[00:02:25.280 --> 00:02:31.120]  不過母親在我們的成長裡
[00:02:31.120 --> 00:02:33.400]  其實扮演一個很重要的角色
[00:02:33.400 --> 00:02:37.800]  但我今天的角度是
[00:02:37.800 --> 00:02:39.440]  大家有沒有想過
[00:02:39.440 --> 00:02:41.680]  我們的神
[00:02:41.680 --> 00:02:44.720]  其實也像一個母親呢?
[00:02:44.720 --> 00:02:50.880]  當然我們通常稱呼神為天父
[00:02:50.880 --> 00:02:53.880]  好像有一個父親的形象
[00:02:53.880 --> 00:02:59.520]  但其實聖經裡有不少經文提到
[00:02:59.520 --> 00:03:01.640]  我們的神像母親一樣
[00:03:01.640 --> 00:03:04.160]  所以我今天選了幾段經文
[00:03:04.160 --> 00:03:07.280]  跟大家重溫一下
[00:03:07.280 --> 00:03:10.600]  其實我們的父神
[00:03:10.600 --> 00:03:15.160]  也有一個母親的特質
[00:03:16.080 --> 00:03:22.280]  母親的特質有幾個經常人會提到
[00:03:22.280 --> 00:03:24.880]  第一是關懷
[00:03:24.880 --> 00:03:27.320]  第二是養育
[00:03:27.320 --> 00:03:30.080]  以及保護
[00:03:30.080 --> 00:03:33.440]  這三樣都是母親一個很重要的角色
[00:03:33.440 --> 00:03:37.360]  我想透過今天這段經文
[00:03:37.360 --> 00:03:39.520]  講一下母親
[00:03:39.520 --> 00:03:41.960]  這裡有很多母親
[00:03:41.960 --> 00:03:44.360]  你們做母親的過程
[00:03:44.360 --> 00:03:47.800]  可能也經歷了我剛才的四段經文
[00:03:47.800 --> 00:03:49.200]  所經歷的事情
[00:03:49.200 --> 00:03:54.040]  有沒有想過我們的天父
[00:03:54.040 --> 00:03:55.240]  我們的父神
[00:03:55.240 --> 00:03:58.600]  其實也是在屬靈的方面
[00:03:58.600 --> 00:04:01.920]  同樣是在我們身上的呢?
[00:04:01.920 --> 00:04:08.440]  我自己其實這個星期是很開心的
[00:04:08.440 --> 00:04:13.600]  因為我做第二任窮工
[00:04:14.600 --> 00:04:15.840]  5月6日
[00:04:15.840 --> 00:04:20.480]  我第二個孫女出生
[00:04:20.480 --> 00:04:23.280]  因為我和我女兒同住
[00:04:23.280 --> 00:04:29.440]  所以我親手幫忙抱她
[00:04:29.440 --> 00:04:31.440]  3.03公斤
[00:04:31.440 --> 00:04:33.200]  其實很小
[00:04:33.200 --> 00:04:35.160]  我拍了照片
