
[00:00:00.000 --> 00:00:04.360]  弟子妹仰我們繼續直注聆聽上帝的話語
[00:00:04.360 --> 00:00:05.680]  來敬拜祂
[00:00:05.680 --> 00:00:07.760]  今日所誦讀的經文是
[00:00:07.760 --> 00:00:11.840]  《耳窟所書》第六章五至第九節
[00:00:11.840 --> 00:00:15.120]  史圖保羅這樣說
[00:00:15.120 --> 00:00:17.800]  「你們作僕人的
[00:00:17.800 --> 00:00:20.040]  要懼怕戰經
[00:00:20.040 --> 00:00:21.960]  用誠實的心
[00:00:21.960 --> 00:00:24.400]  聽從你們肉身的主人
[00:00:24.400 --> 00:00:27.680]  好像聽從基督一般
[00:00:28.520 --> 00:00:31.080]  不要只在眼前侍奉
[00:00:31.080 --> 00:00:33.320]  像是討人喜悅的
[00:00:33.320 --> 00:00:35.600]  要像基督的僕人
[00:00:35.600 --> 00:00:38.560]  從心裡遵行神的旨意
[00:00:38.560 --> 00:00:40.560]  甘心侍奉
[00:00:40.560 --> 00:00:42.640]  好像服侍主
[00:00:42.640 --> 00:00:44.320]  不像服侍人
[00:00:44.320 --> 00:00:46.280]  因為曉得
[00:00:46.280 --> 00:00:48.240]  各人所行的善事
[00:00:48.240 --> 00:00:50.360]  不論是為奴的
[00:00:50.360 --> 00:00:51.960]  是自主的
[00:00:51.960 --> 00:00:53.960]  到別案所行的
[00:00:53.960 --> 00:00:55.880]  得主的賞賜
[00:00:57.120 --> 00:00:58.720]  你們作主人的
[00:00:58.720 --> 00:01:01.280]  待僕人也是一理
[00:01:01.280 --> 00:01:03.720]  不要威嚇他們
[00:01:03.720 --> 00:01:06.400]  因為知道他們和你們
[00:01:06.400 --> 00:01:08.960]  同有一位主在天上
[00:01:08.960 --> 00:01:11.760]  他並不偏待人」
[00:01:11.760 --> 00:01:16.200]  今天早上我們會繼續
[00:01:16.200 --> 00:01:17.920]  宣講《耳窟所書》
[00:01:17.920 --> 00:01:19.800]  如果大家還記得
[00:01:19.800 --> 00:01:20.880]  其實早幾天
[00:01:20.880 --> 00:01:22.600]  剛剛剛過去
[00:01:22.600 --> 00:01:24.920]  星期三晚的祈禱會
[00:01:24.920 --> 00:01:26.720]  三位的姐妹
[00:01:26.720 --> 00:01:27.640]  一個叫阿珍
[00:01:27.640 --> 00:01:29.320]  一個叫阿眉
[00:01:29.320 --> 00:01:30.440]  一個叫阿妙
[00:01:30.440 --> 00:01:32.560]  珍 眉 妙這三位姐妹
[00:01:32.560 --> 00:01:34.240]  其實和我們分享了
[00:01:34.240 --> 00:01:36.240]  《耳窟所書》第五章裡
[00:01:36.240 --> 00:01:38.240]  彼此信服的一個吩咐
[00:01:38.240 --> 00:01:41.560]  並且如何實踐在夫婦
[00:01:41.560 --> 00:01:43.280]  和親子的關係上
[00:01:43.280 --> 00:01:46.040]  所以今天我們會繼續看
[00:01:46.040 --> 00:01:49.360]  保羅如何將彼此信服的教導
[00:01:49.360 --> 00:01:53.720]  延伸到主人和僕人的關係裡
[00:01:53.720 --> 00:01:56.320]  當然我們首先要問
[00:01:56.320 --> 00:01:58.840]  為何司徒保羅要求
[00:01:58.840 --> 00:02:00.840]  耳窟所教會的信徒
[00:02:00.840 --> 00:02:03.560]  要在主僕 夫婦
[00:02:03.560 --> 00:02:05.720]  並且親子關係上
[00:02:05.720 --> 00:02:07.360]  學習彼此信服呢?
[00:02:07.360 --> 00:02:09.320]  首先我們要明白
[00:02:09.320 --> 00:02:11.320]  當時一些社會背景
[00:02:11.320 --> 00:02:15.440]  我們說在希臘羅馬的文化裡
[00:02:15.440 --> 00:02:18.600]  其實一向由男士男性主導
[00:02:18.600 --> 00:02:21.840]  在家裡的丈夫
[00:02:21.840 --> 00:02:23.120]  那位父親
[00:02:23.120 --> 00:02:24.560]  並且是家主
[00:02:25.080 --> 00:02:26.520]  他們是話事
[00:02:26.520 --> 00:02:28.520]  是屬於強勢的一方
[00:02:28.520 --> 00:02:31.200]  至於其他的家庭成員
[00:02:31.200 --> 00:02:33.200]  就好像他的妻子
[00:02:33.200 --> 00:02:34.520]  他的兒女
[00:02:34.520 --> 00:02:37.680]  和他家中的奴隸 僕婢
[00:02:37.680 --> 00:02:40.520]  其實是處於一個被管轄
[00:02:40.520 --> 00:02:41.720]  被轄制
[00:02:41.720 --> 00:02:44.720]  需要絕對服從的一個弱勢
[00:02:44.720 --> 00:02:46.440]  不過
