
[00:00:00.000 --> 00:00:08.000]  《約翰福音》第十一章二十八至四十四節
[00:00:08.000 --> 00:00:12.000]  《聖經新約》第一百四十四頁
[00:00:12.000 --> 00:00:18.000]  《約翰福音》第十一章二十八節
[00:00:19.000 --> 00:00:31.000]  馬大說了這話,就回去暗暗的叫他妹子瑪利亞說:夫子來了,叫你。
[00:00:31.000 --> 00:00:37.000]  瑪利亞聽見了,就急忙起來到耶穌那裡去。
[00:00:37.000 --> 00:00:44.000]  那時,耶穌還沒有進村子,仍在馬大迎接他的地方。
[00:00:45.000 --> 00:00:49.000]  那時,和瑪利亞在家裡安慰他的猶太人,
[00:00:49.000 --> 00:00:57.000]  見他急忙起來出去,就跟著他,以為他要往墳墓那裡去哭。
[00:00:57.000 --> 00:01:05.000]  瑪利亞到了耶穌那裡,看見他,就俯伏在他腳前,說:
[00:01:05.000 --> 00:01:12.000]  主啊,祢若早在這裡,我兄弟必不死。
[00:01:13.000 --> 00:01:25.000]  耶穌看見他哭,並看見與他同來的猶太人也哭,就心裡悲嘆,又甚憂愁,便說:
[00:01:25.000 --> 00:01:29.000]  你們把他安放在那裡?
[00:01:29.000 --> 00:01:33.000]  他們回答說:請主來看。
[00:01:34.000 --> 00:01:43.000]  耶穌哭了,猶太人就說:你看他愛這人是何等懇切?
[00:01:43.000 --> 00:01:51.000]  其中有人說:他既然開了核子的眼睛,豈不能叫這人不死?
[00:01:51.000 --> 00:02:01.000]  耶穌又心裡悲嘆,來到墳墓前,那墳墓是個洞,有一塊石頭擋著。
[00:02:02.000 --> 00:02:05.000]  耶穌說:你們把石頭挪開。
[00:02:05.000 --> 00:02:16.000]  那死人的子子馬大對他說:主啊,他現在必是臭了,因為他死了已經四天了。
[00:02:16.000 --> 00:02:25.000]  耶穌說:我不是對你說過,你若信,就必看見神的榮耀嗎?
[00:02:26.000 --> 00:02:40.000]  他們就把石頭挪開,耶穌舉目望天說:父啊,我感謝你,因為你已經聽我,我也知道你常聽我。
[00:02:40.000 --> 00:02:48.000]  但我說者說:是為周圍站著的眾人,叫他們信,是你差了我來。
[00:02:49.000 --> 00:03:02.000]  說了者說,到大聲呼叫說:拉撒路出來!那死人就出來了,手腳裹著布,臉上包著手巾。
[00:03:02.000 --> 00:03:07.000]  耶穌對他們說:解開,叫他走。
[00:03:07.000 --> 00:03:14.000]  主啊,你現在必是臭了,因為你已經聽我,我也知道你常聽我。
[00:03:14.000 --> 00:03:17.000]  主啊,你現在必是臭了,因為你已經聽我。
[00:03:17.000 --> 00:03:21.000]  我們將拉撒路的故事講完。
[00:03:21.000 --> 00:03:28.000]  耶穌和門徒來到伯大利的時候,拉撒路已經下葬了四天的時間。
[00:03:28.000 --> 00:03:32.000]  很多親友、民信從各地趕來吊唁。
[00:03:33.000 --> 00:03:39.000]  馬大聽說耶穌來了,趕出村口去接待耶穌。
[00:03:39.000 --> 00:03:48.000]  瑪利亞沒有跟著來,馬大和耶穌談了一會兒,就趕回家裡,叫瑪利亞出來見耶穌。
[00:03:48.000 --> 00:03:54.000]  耶穌似乎不是很急於進村,進入馬大的屋。
[00:03:54.000 --> 00:04:01.000]  當馬大轉身回家的時候,耶穌和門徒沒有跟著,仍然留在村外。
[00:04:02.000 --> 00:04:11.000]  或者原因很簡單,屋裡擠滿了人,耶穌和門徒不想跟他們一起擠,所以就不進去。
[00:04:11.000 --> 00:04:21.000]  也有另一個更可能的原因,或者馬大知道他妹妹的情緒特別受弟弟的死亡困擾,
[00:04:21.000 --> 00:04:31.000]  他應該是比較脆弱的人,希望耶穌找機會跟瑪利亞單獨聊天,開解和安慰她。
