
[00:00:00.000 --> 00:00:03.000]  以下我們要聆聽神給我們的說話
[00:00:03.000 --> 00:00:05.000]  今日要聆聽神的說話
[00:00:05.000 --> 00:00:10.000]  記載在撒慕爾記上的第一章四至二十節
[00:00:11.000 --> 00:00:15.000]  撒慕爾記上第一章第二節
[00:00:15.000 --> 00:00:20.000]  第四節
[00:00:20.000 --> 00:00:25.000]  「以彌加拿每逢憲制的日子
[00:00:25.000 --> 00:00:28.000]  將際欲婚給他的妻兒
[00:00:28.000 --> 00:00:31.000]  毗尼拿和毗尼拿所生的兒女
[00:00:31.000 --> 00:00:34.000]  給哈拿的卻是傷份
[00:00:34.000 --> 00:00:36.000]  因為他愛哈拿
[00:00:36.000 --> 00:00:40.000]  沒久耶和華不使哈拿生育
[00:00:40.000 --> 00:00:43.000]  毗尼拿見耶和華不使哈拿生育
[00:00:43.000 --> 00:00:45.000]  就作他的對頭
[00:00:45.000 --> 00:00:47.000]  大大激動他
[00:00:47.000 --> 00:00:49.000]  使他生氣
[00:00:49.000 --> 00:00:53.000]  每年上到耶和華殿的時候
[00:00:53.000 --> 00:00:56.000]  以彌加拿都已傷份給哈拿
[00:00:56.000 --> 00:00:59.000]  毗尼拿仍是激動他
[00:00:59.000 --> 00:01:02.000]  以致他哭泣不吃飯
[00:01:02.000 --> 00:01:05.000]  他丈夫以利加拿對他說
[00:01:05.000 --> 00:01:09.000]  哈拿啊!你為何哭泣不吃飯
[00:01:09.000 --> 00:01:11.000]  心裡愁悶呢?
[00:01:11.000 --> 00:01:15.000]  有我不給十個兒子還好嗎?
[00:01:15.000 --> 00:01:18.000]  他們在事牢吃喝完了
[00:01:18.000 --> 00:01:20.000]  哈拿就站起來
[00:01:20.000 --> 00:01:24.000]  祭司以利在耶和華殿的門框旁邊
[00:01:24.000 --> 00:01:27.000]  坐在自己的位上
[00:01:27.000 --> 00:01:29.000]  哈拿心裡愁苦
[00:01:29.000 --> 00:01:31.000]  就痛哭痛痛哭泣
[00:01:31.000 --> 00:01:34.000]  進入祈禱耶和華
[00:01:34.000 --> 00:01:38.000]  許願說:萬君知耶和華
[00:01:38.000 --> 00:01:41.000]  你若誰顧婢女的苦情
[00:01:41.000 --> 00:01:43.000]  眷念不忘婢女
[00:01:43.000 --> 00:01:45.000]  賜我一個兒子
[00:01:45.000 --> 00:01:48.000]  我必使他終身歸於耶和華
[00:01:48.000 --> 00:01:52.000]  不用剃頭都剃他的頭
[00:01:52.000 --> 00:01:55.000]  哈拿在耶和華面前不住的祈禱
[00:01:55.000 --> 00:01:58.000]  以利定睛看他的嘴
[00:01:58.000 --> 00:02:00.000]  原來哈拿心中脈搏
[00:02:00.000 --> 00:02:03.000]  只動嘴唇不出聲音
[00:02:03.000 --> 00:02:06.000]  因此以利以為他喝醉了
[00:02:06.000 --> 00:02:08.000]  以利對他說:
[00:02:08.000 --> 00:02:10.000]  你不要醉到何時呢?
[00:02:10.000 --> 00:02:12.000]  你不應該喝酒
[00:02:12.000 --> 00:02:15.000]  哈拿回答說:主啊!不是這樣
[00:02:15.000 --> 00:02:17.000]  我是心裡愁苦的婦人
[00:02:17.000 --> 00:02:20.000]  清酒濃酒都沒有喝
[00:02:20.000 --> 00:02:23.000]  但在耶和華面前傾心吐意
[00:02:23.000 --> 00:02:27.000]  不要將婢女看作不正經的女子
[00:02:27.000 --> 00:02:30.000]  我因被人激動受苦太多
[00:02:30.000 --> 00:02:32.000]  所以祈求到如今
[00:02:32.000 --> 00:02:35.000]  以利說:你可以平平安安地回去
[00:02:35.000 --> 00:02:37.000]  願以色列的神允許你
[00:02:37.000 --> 00:02:39.000]  向他所求的
[00:02:39.000 --> 00:02:43.000]  哈拿說:願婢女在你眼前蒙恩
[00:02:43.000 --> 00:02:45.000]  與時婦人走去吃飯
[00:02:45.000 --> 00:02:49.000]  而尚在不戴壽容了
[00:02:49.000 --> 00:02:52.000]  次日清早他們起來
[00:02:52.000 --> 00:02:54.000]  在耶和華面前敬拜
[00:02:54.000 --> 00:02:56.000]  就回拉瑪
[00:02:56.000 --> 00:02:57.000]  到了家裡
[00:02:57.000 --> 00:03:01.000]  以利加拿和妻哈拿同房
[00:03:01.000 --> 00:03:03.000]  耶和華顧念哈拿
[00:03:03.000 --> 00:03:04.000]  哈拿就懷孕
[00:03:04.000 --> 00:03:06.000]  一其滿足
[00:03:06.000 --> 00:03:08.000]  生了一個兒子
[00:03:08.000 --> 00:03:10.000]  給他起名叫薩姆爾
[00:03:10.000 --> 00:03:15.000]  說:這是我從耶和華那裡求來的
[00:03:15.000 --> 00:03:17.000]  聖經讀筆
[00:03:17.000 --> 00:03:35.000]  各位影子妹
[00:03:35.000 --> 00:03:37.000]  新年蒙恩身體健康
[00:03:37.000 --> 00:03:39.000]  今天是年初九
[00:03:39.000 --> 00:03:41.000]  所以在這裡恭祝大家
[00:03:41.000 --> 00:03:48.000]  不知道大家會不會每一年新年的時候
[00:03:48.000 --> 00:03:50.000]  都期望有個新開始
[00:03:50.000 --> 00:03:53.000]  我們都會有些習俗
[00:03:53.000 --> 00:03:57.000]  將一些壞事掃走
[00:03:57.000 --> 00:03:59.000]  迎來新的福氣
[00:03:59.000 --> 00:04:02.000]  不過大家不知道有沒有經歷過
[00:04:02.000 --> 00:04:05.000]  就是有些艱難的事情
[00:04:05.000 --> 00:04:08.000]  會跨年陪著你
[00:04:08.000 --> 00:04:11.000]  舉例
[00:04:11.000 --> 00:04:14.000]  12月31日大家回來聚餐的時候
[00:04:14.000 --> 00:04:15.000]  大家看不到我
[00:04:15.000 --> 00:04:16.000]  為什麼呢
[00:04:16.000 --> 00:04:19.000]  因為COVID-19在28日陪著我
[00:04:19.000 --> 00:04:21.000]  陪到1月3日
[00:04:21.000 --> 00:04:24.000]  我跨年都中了COVID-19
[00:04:24.000 --> 00:04:27.000]  這些都是小病
[00:04:27.000 --> 00:04:30.000]  但是我都會發覺
[00:04:30.000 --> 00:04:32.000]  有些時候
[00:04:32.000 --> 00:04:34.000]  我們有些很艱難的事情
[00:04:34.000 --> 00:04:38.000]  是跨著年陪著我們經過
[00:04:38.000 --> 00:04:39.000]  不是一年
[00:04:39.000 --> 00:04:41.000]  有時是兩年
[00:04:41.000 --> 00:04:42.000]  過完套年
[00:04:42.000 --> 00:04:43.000]  去到農年
[00:04:43.000 --> 00:04:45.000]  農年出年是蛇年
[00:04:45.000 --> 00:04:48.000]  都跨著陪著我們
[00:04:48.000 --> 00:04:53.000]  近年在黃泉木會的時候
[00:04:53.000 --> 00:04:57.000]  我都和很多在艱難的弟兄姊妹
[00:04:57.000 --> 00:05:00.000]  一年一年這樣經過
[00:05:00.000 --> 00:05:04.000]  我真的有時會
[00:05:04.000 --> 00:05:06.000]  很希望新年的祝願
[00:05:06.000 --> 00:05:08.000]  是真真正正的發生
[00:05:08.000 --> 00:05:10.000]  我不知道你們有沒有想像過
[00:05:10.000 --> 00:05:12.000]  那些困難難處
[00:05:12.000 --> 00:05:14.000]  我連大年初一
[00:05:14.000 --> 00:05:16.000]  一起床的時候就沒有了
[00:05:16.000 --> 00:05:18.000]  想不想
[00:05:18.000 --> 00:05:20.000]  想吧
[00:05:20.000 --> 00:05:23.000]  我都很希望大年初一的時候
[00:05:23.000 --> 00:05:25.000]  大家的恭賀
[00:05:25.000 --> 00:05:27.000]  或者我所記掛的人
[00:05:27.000 --> 00:05:29.000]  他們都真的平安喜樂
[00:05:29.000 --> 00:05:31.000]  身體健康
[00:05:31.000 --> 00:05:33.000]  一家和睦
[00:05:33.000 --> 00:05:35.000]  豐豐足足
[00:05:35.000 --> 00:05:37.000]  我真的這樣期望
[00:05:37.000 --> 00:05:39.000]  不過事實上
[00:05:39.000 --> 00:05:41.000]  今天我們讀的這段經文
[00:05:41.000 --> 00:05:44.000]  是一個現實的反映
[00:05:44.000 --> 00:05:46.000]  在《撒慕爾記》上
[00:05:46.000 --> 00:05:48.000]  這一章裏面
[00:05:48.000 --> 00:05:51.000]  記載著一個婦女叫做哈娜
[00:05:51.000 --> 00:05:53.000]  我讀這段經文的時候
[00:05:53.000 --> 00:05:55.000]  最深的印象就是
[00:05:55.000 --> 00:05:58.000]  仇婦這個字
[00:05:58.000 --> 00:06:00.000]  仇婦這個字
[00:06:00.000 --> 00:06:02.000]  張卓穆斯
[00:06:02.000 --> 00:06:04.000]  新年樓樓跟我說這個字
