
[00:00:00.000 --> 00:00:02.000]  教會法案 - 二讀(恢復辯論)
[00:00:02.000 --> 00:00:30.000]  《聖經》第十二章第五十二節
[00:00:31.000 --> 00:00:36.000]  《聖經》第十二章第五十二節
[00:00:36.000 --> 00:00:43.000]  「莫世向以色列眾人說完了這一切的話,又說:
[00:00:43.000 --> 00:00:49.000]  『我今日所警教你們的,你們都要放在心上,
[00:00:49.000 --> 00:00:55.000]  要吩咐你們的子孫,謹守遵行這律法上的話,
[00:00:55.000 --> 00:01:03.000]  因為這不是虛空與你們無關的事,乃是你們的生命。
[00:01:03.000 --> 00:01:12.000]  在你們割約但可要得遺孽的地上,別因這事日子得以長久。』
[00:01:12.000 --> 00:01:17.000]  當日耶和華吩咐摩西說:
[00:01:17.000 --> 00:01:22.000]  『你上這阿巴林山中的尼泊山去,
[00:01:22.000 --> 00:01:26.000]  在摩押地與耶利哥相對,
[00:01:26.000 --> 00:01:32.000]  觀看我所要賜給以色列人遺孽的迦南地,
[00:01:32.000 --> 00:01:37.000]  你必死在你所登的山上,歸你列祖去,
[00:01:37.000 --> 00:01:44.000]  像你哥哥亞倫死在荷爾山上,歸他的列祖一樣。
[00:01:44.000 --> 00:01:47.000]  因為你們在尋的曠野,
[00:01:47.000 --> 00:01:50.000]  加第四的米利巴水,
[00:01:50.000 --> 00:01:55.000]  在以色列人中沒有尊我為聖,得罪了我。
[00:01:55.000 --> 00:01:58.000]  我所賜給以色列人的地,
[00:01:58.000 --> 00:02:05.000]  你可以遠遠地觀看,卻不得進去。』
[00:02:05.000 --> 00:02:13.000]  新命記第34章,第一節
[00:02:13.000 --> 00:02:18.000]  摩西從摩押平原登尼泊山,
[00:02:18.000 --> 00:02:23.000]  上了那與耶利哥相對的皮斯加山頂。
[00:02:23.000 --> 00:02:28.000]  耶和華被巴基列傳遞直到達,
[00:02:28.000 --> 00:02:34.000]  拿忽他里傳遞以法列馬拿西的地,
[00:02:34.000 --> 00:02:38.000]  猶帶傳遞直到西海南地,
[00:02:38.000 --> 00:02:43.000]  和中著乘耶利哥的平原直到索爾,
[00:02:43.000 --> 00:02:45.000]  都只給他看。
