
[00:00:00.000 --> 00:00:05.000]  經訓在《馬太福音》12章15至21節
[00:00:05.000 --> 00:00:09.200]  《新約聖經》《馬太福音》12章15至21節
[00:00:09.200 --> 00:00:12.600]  在新約的17頁
[00:00:12.600 --> 00:00:20.600]  耶穌知道了就離開那裡
[00:00:20.600 --> 00:00:22.600]  有許多人跟著他
[00:00:22.600 --> 00:00:26.000]  他把其中有病的人都治好了
[00:00:26.000 --> 00:00:29.600]  又祝福他們不要給他全名
[00:00:30.000 --> 00:00:34.000]  「這是要應驗先知以賽亞的話說
[00:00:34.000 --> 00:00:36.400]  看啊我的僕人
[00:00:36.400 --> 00:00:37.800]  我所揀選
[00:00:37.800 --> 00:00:38.800]  所親愛
[00:00:38.800 --> 00:00:40.400]  心裡所喜悅的
[00:00:40.400 --> 00:00:43.200]  我要將我的靈賜給他
[00:00:43.200 --> 00:00:46.200]  他必將功利傳給外邦」
[00:00:46.200 --> 00:00:48.800]  「他不憎勁
[00:00:48.800 --> 00:00:49.800]  不圈養
[00:00:49.800 --> 00:00:53.000]  街上有沒有人聽見他的聲音
[00:00:53.000 --> 00:00:55.200]  壓傷的爐位
[00:00:55.200 --> 00:00:56.600]  他不截斷
[00:00:56.600 --> 00:00:58.400]  將殘的燈火
[00:00:58.400 --> 00:00:59.400]  他不催滅
[00:00:59.800 --> 00:01:01.600]  等他施行功利
[00:01:01.600 --> 00:01:03.000]  叫功利得勝
[00:01:03.000 --> 00:01:06.000]  外邦人都要仰望他的名」
[00:01:06.000 --> 00:01:18.600]  丙姐妹平安
[00:01:18.600 --> 00:01:19.600]  平安
[00:01:19.600 --> 00:01:23.000]  很快2020年踏入最後兩個月了
[00:01:23.000 --> 00:01:24.600]  今年在疫情之下
[00:01:24.600 --> 00:01:27.600]  時間原本好像過得很慢
[00:01:27.600 --> 00:01:29.200]  但回頭一看
[00:01:29.200 --> 00:01:30.600]  時間過得很快
[00:01:30.600 --> 00:01:33.400]  在今年最後兩個月
[00:01:33.400 --> 00:01:35.600]  我們希望進入一個新的系列
[00:01:35.600 --> 00:01:37.200]  在這個系列裡
[00:01:37.200 --> 00:01:39.200]  我們好像一個插序式
[00:01:39.200 --> 00:01:41.400]  一起來思想一下
[00:01:41.400 --> 00:01:43.200]  耶穌這位救主
[00:01:43.200 --> 00:01:47.000]  這位上帝所差派降生在這個世界裡
