
[00:00:00.000 --> 00:00:07.040]  今日選讀的經文是記在《撒姆爾記》上一章4至28節
[00:00:07.040 --> 00:00:10.320]  在《舊約聖經》337頁
[00:00:10.320 --> 00:00:15.520]  經文是記載一個婦人向神求得兒子的故事
[00:00:15.520 --> 00:00:21.120]  「耶利加拿每逢獻祭的日子
[00:00:21.120 --> 00:00:27.440]  將祭肉分給他的妻比利娜和比利娜所生的兒女
[00:00:27.440 --> 00:00:30.400]  給哈娜的卻是傷份
[00:00:30.400 --> 00:00:32.800]  因為她愛哈娜
[00:00:32.800 --> 00:00:36.160]  無奈耶和華不使哈娜生育
[00:00:36.160 --> 00:00:40.160]  比利娜見耶和華不使哈娜生育
[00:00:40.160 --> 00:00:42.640]  就作她的對頭
[00:00:42.640 --> 00:00:47.280]  大大激動她要使她生氣
[00:00:47.280 --> 00:00:50.800]  每年上到耶和華殿的時候
[00:00:50.800 --> 00:00:55.040]  耶利加拿都以傷份分給哈娜
[00:00:55.040 --> 00:00:58.560]  比利娜仍是激動她
[00:00:58.560 --> 00:01:02.080]  以致她哭泣不吃飯
[00:01:02.080 --> 00:01:05.280]  她丈夫耶利加拿對她說
[00:01:05.280 --> 00:01:09.920]  「哈娜,你為何哭泣不吃飯
[00:01:09.920 --> 00:01:12.080]  心裡受悶呢?
[00:01:12.080 --> 00:01:16.320]  有我不給十個兒子還好嗎?」
[00:01:16.320 --> 00:01:20.000]  他們在室內吃喝完了
[00:01:20.000 --> 00:01:22.400]  哈娜就站起來
[00:01:22.400 --> 00:01:26.880]  細思以理在耶和華殿的門框旁邊
[00:01:26.880 --> 00:01:29.440]  坐在自己的位上
[00:01:29.440 --> 00:01:32.000]  哈娜心裡受苦
[00:01:32.000 --> 00:01:34.320]  就痛痛哭泣
[00:01:34.320 --> 00:01:38.400]  祈禱耶和華許願說
[00:01:38.400 --> 00:01:40.960]  「萬君知耶和華啊
[00:01:40.960 --> 00:01:43.920]  你若誰顧婢女的苦情
[00:01:43.920 --> 00:01:46.320]  眷念不忘婢女
[00:01:46.320 --> 00:01:48.480]  賜我一個兒子
[00:01:48.480 --> 00:01:51.920]  我必使他終身歸於耶和華
[00:01:51.920 --> 00:01:55.760]  不用剃頭到剃他的頭」
[00:01:55.760 --> 00:01:59.920]  哈娜在耶和華面前不住的祈禱
[00:01:59.920 --> 00:02:03.120]  以理定睛看她的嘴
[00:02:03.120 --> 00:02:05.920]  原來哈娜心中脈搏
[00:02:05.920 --> 00:02:07.600]  只動嘴唇
[00:02:07.600 --> 00:02:09.360]  不出聲音
[00:02:09.360 --> 00:02:12.960]  因此以理以為她喝醉了
[00:02:12.960 --> 00:02:14.960]  以理對她說
[00:02:14.960 --> 00:02:17.520]  「你要醉到幾時呢?
[00:02:17.520 --> 00:02:20.080]  你不應該喝酒」
[00:02:20.080 --> 00:02:22.080]  哈娜回答說
[00:02:22.080 --> 00:02:24.880]  「主啊!不是這樣
[00:02:24.880 --> 00:02:28.080]  我是心裡受苦的婦人
[00:02:28.080 --> 00:02:31.600]  清酒濃酒都沒有喝
[00:02:31.600 --> 00:02:35.440]  但在耶和華面前傾心圖義
[00:02:35.440 --> 00:02:39.520]  不要將婢女看作不正經的女子
[00:02:39.520 --> 00:02:41.840]  我因被人激動
[00:02:41.840 --> 00:02:43.840]  受苦太多
[00:02:43.840 --> 00:02:46.560]  所以祈求到如今」
[00:02:46.560 --> 00:02:48.080]  以理說
[00:02:48.080 --> 00:02:51.520]  「你可以平平安安的回去
[00:02:51.520 --> 00:02:53.520]  願以色列的神
[00:02:53.520 --> 00:02:56.400]  允許你向他所求的」
[00:02:56.400 --> 00:02:57.920]  哈娜說
[00:02:57.920 --> 00:03:01.680]  「願婢女在你眼前蒙恩」
[00:03:01.680 --> 00:03:04.240]  於是婦人走去吃飯
[00:03:04.240 --> 00:03:07.280]  面上再不大受用了
