
[00:00:00.000 --> 00:00:08.000]  今日要讀的聖經是約書亞記第十四章六至十四節
[00:00:08.000 --> 00:00:14.000]  聖經舊約第二百八十至二百八十一頁
[00:00:14.000 --> 00:00:21.000]  這段聖經是記載上帝的應許
[00:00:21.000 --> 00:00:24.000]  加勒德希伯倫遺孽
[00:00:24.000 --> 00:00:29.000]  約書亞記第十四章第六節
[00:00:29.000 --> 00:00:36.000]  那時猶大人來到吉甲見約書亞
[00:00:36.000 --> 00:00:43.000]  有基尼洗族耶夫尼的兒子加勒對約書亞說
[00:00:43.000 --> 00:00:47.000]  耶和華在迦底斯巴尼亞
[00:00:47.000 --> 00:00:51.000]  指著我與你對神人摩西所說的話
[00:00:51.000 --> 00:00:54.000]  你都知道了
[00:00:54.000 --> 00:00:59.000]  耶和華的僕人摩西從迦底斯巴尼亞
[00:00:59.000 --> 00:01:02.000]  打發我窺探這地
[00:01:02.000 --> 00:01:06.000]  那時我正四十歲
[00:01:06.000 --> 00:01:10.000]  我按著心意回報他
[00:01:10.000 --> 00:01:18.000]  然而和我上去的眾弟兄使百姓的心消化
[00:01:18.000 --> 00:01:23.000]  但我專心跟從耶和華我的神
[00:01:23.000 --> 00:01:27.000]  當日摩西起誓說
[00:01:27.000 --> 00:01:30.000]  你腳所踏之地
[00:01:30.000 --> 00:01:35.000]  定要歸你和你的子孫永遠為業
[00:01:35.000 --> 00:01:41.000]  因為你專心跟從耶和華我的神
[00:01:41.000 --> 00:01:47.000]  自從耶和華對摩西說這話的時候
[00:01:47.000 --> 00:01:50.000]  耶和華照他所應許的
[00:01:50.000 --> 00:01:55.000]  使我存活這四十五年
[00:01:55.000 --> 00:02:00.000]  期間以色列人在曠野行走
[00:02:00.000 --> 00:02:05.000]  看啊!現今我八十五歲了
[00:02:05.000 --> 00:02:12.000]  我還是強壯像摩西打發我去的那天一樣
[00:02:12.000 --> 00:02:16.000]  無論是征戰是出入
[00:02:16.000 --> 00:02:19.000]  我的力量那時如何
[00:02:19.000 --> 00:02:23.000]  現在還是如何
[00:02:23.000 --> 00:02:30.000]  求你將耶和華那日應許我的這山地給我
