
[00:00:00.000 --> 00:00:11.440]  今天讀經的是在盧卡福音第十二章十三至三十四節
[00:00:11.440 --> 00:00:15.440]  在新約聖經的一百零一頁
[00:00:15.440 --> 00:00:19.440]  今日所讀的經文是大家非常熟悉的經文
[00:00:19.440 --> 00:00:23.440]  稍長請大家細心聆聽
[00:00:23.440 --> 00:00:30.440]  眾人中有一個人對耶穌說:
[00:00:30.440 --> 00:00:36.440]  夫子,請你吩咐我的兄長和我分開家業。
[00:00:36.440 --> 00:00:42.440]  耶穌說:你這個人誰立我作你們段氏的官,
[00:00:42.440 --> 00:00:45.440]  給你們分家業呢?
[00:00:45.440 --> 00:00:53.440]  於是對眾人說:你們要謹慎自守,免去一切的貪心,
[00:00:53.440 --> 00:00:59.440]  因為人的生命不在乎家道豐富。
[00:00:59.440 --> 00:01:02.440]  就用比喻對他們說:
[00:01:02.440 --> 00:01:09.440]  有一個財主田產甚豐,自己心裡思想說:
[00:01:09.440 --> 00:01:14.440]  我的出產沒有地方收藏,怎麼辦呢?
[00:01:14.440 --> 00:01:18.440]  又說:我要怎麼辦?
[00:01:18.440 --> 00:01:25.440]  要把我的倉房拆了,又蓋更大的,
[00:01:25.440 --> 00:01:31.440]  在那裡好收藏我一切的糧食和財物。
[00:01:31.440 --> 00:01:35.440]  然後要對我的靈魂說:
[00:01:35.440 --> 00:01:43.440]  靈魂啊,你有許多財物積存,可作多年的費用,
[00:01:43.440 --> 00:01:48.440]  只管安安日日的吃喝快樂吧。
[00:01:48.440 --> 00:01:55.440]  神卻對他說:無知的人啊,今夜必要你的靈魂,
[00:01:55.440 --> 00:01:59.440]  你所預備的要歸誰呢?
[00:01:59.440 --> 00:02:08.440]  凡為自己積財,在神面前卻不付足的,也是這樣。
[00:02:08.440 --> 00:02:15.440]  耶穌又對門徒說:所以我告訴你們,
[00:02:15.440 --> 00:02:24.440]  不要為生命憂慮吃什麼,為身體憂慮穿什麼,
[00:02:24.440 --> 00:02:31.440]  因為生命勝於飲食,身體勝於衣裳。
[00:02:31.440 --> 00:02:40.440]  你想烏鴉也不種也不收,又沒有倉又沒有庫,
[00:02:40.440 --> 00:02:48.440]  神尚且養活它,你們比飛鳥是何等的貴重呢?
[00:02:48.440 --> 00:02:56.440]  你們哪一個能用思慮使壽歲多加一克呢?
[00:02:56.440 --> 00:03:05.440]  這最小的事你們尚且不能作,為什麼還憂慮其餘的事呢?
[00:03:05.440 --> 00:03:14.440]  你想,百合花怎麼長起來,它也不勞苦也不妨善。
[00:03:14.440 --> 00:03:21.440]  然而,我告訴你們,就是所羅門極榮華的時候,
[00:03:21.440 --> 00:03:26.440]  他所穿戴的,還不如這花一朵呢?
[00:03:26.440 --> 00:03:36.440]  你們這小信的人,野地裡的草,今天還在,明天就凋在爐裡。
[00:03:36.440 --> 00:03:41.440]  神還給他這樣的裝飾,何況你們呢?
[00:03:41.440 --> 00:03:52.440]  你們不要求吃什麼喝什麼,也不要掛心,這都是外邦人所求的。
[00:03:52.440 --> 00:04:01.440]  你們必須要用這些東西,你們的父是知道的,
[00:04:01.440 --> 00:04:10.440]  你們只要求他的國,這些東西都必加給你們了。
[00:04:10.440 --> 00:04:20.440]  你們這小群不要懼怕,因為你們的父樂意把國賜給你們。
[00:04:20.440 --> 00:04:30.440]  你們要變賣所有的州制人,為自己預備永不壞的前浪。
[00:04:30.440 --> 00:04:40.440]  用不盡的財寶在天上,就是賊不能近,蟲不能住的地方。
[00:04:40.440 --> 00:04:48.440]  因為你們的財寶在那裡,你們的心也在那裡。
[00:04:48.440 --> 00:05:02.440]  經文讀筆,願神賜福,常讀他話語,並且遵行的人。
[00:05:02.440 --> 00:05:21.440]  如果你有留意,其實在耶穌面向耶路撒冷這段旅程裡面,路加福音出現了很多跟錢財運用有關的記載,包括我們熟悉的不義管家的比喻,
[00:05:21.440 --> 00:05:29.440]  之後又有財主和拉薩路的比喻,又有一個少年富有的官向耶穌尋求永生方案這件事情,
[00:05:29.440 --> 00:05:39.440]  之後又有瑞利長薩戈怎樣和耶穌相遇,並且他悔改,將他的身家大部分捐了出來,
[00:05:39.440 --> 00:05:51.440]  以及剛才我們所聽到的這段無知財主的比喻,這些記載其實都強調門徒原來在處理金錢的方式和態度,
[00:05:51.440 --> 00:05:58.440]  其實跟隨耶穌的生命可以說息息相關,所以同樣盼望,今天我們藉著這一段經文,
[00:05:58.440 --> 00:06:07.440]  讓我們可以明白到真正的豐盛生命,原來不在於我們的存款,我們的恆河戶口的數字有多少,
[00:06:07.440 --> 00:06:14.440]  而是在乎於我們在上帝面前有多少,我們在上帝面前到底是否豐盛,
[00:06:14.440 --> 00:06:19.440]  在我們進入經文之前,我們一起有個禱告,我們同心低頭祈禱,
[00:06:19.440 --> 00:06:30.440]  願祢藉著這段經文再一次喚醒我們對錢財的觀念,讓我們善用上帝讓我們在地上的資源財富,
