
[00:00:00.000 --> 00:00:05.000]  今日的經文在路德記的第一章6到18節
[00:00:05.000 --> 00:00:08.000]  舊約聖經的331頁
[00:00:08.000 --> 00:00:13.000]  331頁路德記第一章6至18節
[00:00:13.000 --> 00:00:17.000]  翻開的請聽我讀
[00:00:17.000 --> 00:00:21.000]  他就與兩個兒婦起身
[00:00:21.000 --> 00:00:24.000]  要從摩押地歸回
[00:00:24.000 --> 00:00:29.000]  因為他在摩押地聽見耶和華眷顧自己的百姓
[00:00:29.000 --> 00:00:31.000]  賜糧食與他們
[00:00:31.000 --> 00:00:37.000]  於是他和兩個兒婦起行離開所住的地方
[00:00:37.000 --> 00:00:39.000]  要回猶大地去
[00:00:39.000 --> 00:00:42.000]  拿我米對兩個兒婦說
[00:00:42.000 --> 00:00:45.000]  你們各人回娘家去吧
[00:00:45.000 --> 00:00:48.000]  願耶和華恩代你們
[00:00:48.000 --> 00:00:52.000]  像你們恩代已死的人與我一樣
[00:00:52.000 --> 00:00:53.000]  第九節
[00:00:53.000 --> 00:00:58.000]  願耶和華使你們各在新夫家中得平安
[00:00:58.000 --> 00:01:01.000]  於是拿我米與他們親嘴
[00:01:01.000 --> 00:01:04.000]  他們就放聲而哭
[00:01:04.000 --> 00:01:10.000]  說不然我們必與你一同回你本國去
[00:01:10.000 --> 00:01:12.000]  拿我米說
[00:01:12.000 --> 00:01:15.000]  我女兒們啊 回去吧
[00:01:15.000 --> 00:01:17.000]  為何要跟我去呢
[00:01:17.000 --> 00:01:20.000]  我還能生子作你們的丈夫嗎
[00:01:20.000 --> 00:01:23.000]  我女兒們啊 回去吧
[00:01:23.000 --> 00:01:26.000]  我年紀老邁不能再有丈夫
[00:01:26.000 --> 00:01:29.000]  即或說我還有子望
[00:01:29.000 --> 00:01:32.000]  今夜有丈夫可以生子
[00:01:32.000 --> 00:01:35.000]  你們豈能等著他們長大呢
[00:01:35.000 --> 00:01:39.000]  你們豈能等著他們不嫁別人呢
[00:01:39.000 --> 00:01:42.000]  我女兒們啊 不要這樣
[00:01:42.000 --> 00:01:45.000]  我為你們的緣故甚是受苦
[00:01:45.000 --> 00:01:48.000]  因為耶和華伸手攻擊我
[00:01:48.000 --> 00:01:49.000]  第十四節
[00:01:49.000 --> 00:01:52.000]  兩個兒婦又放聲而哭
[00:01:52.000 --> 00:01:55.000]  我二伯與婆婆親嘴而別
[00:01:55.000 --> 00:01:58.000]  只是老德捨不得拿我米
[00:01:58.000 --> 00:02:00.000]  拿我米說
[00:02:00.000 --> 00:02:03.000]  看啊 你嫂子已經回他本國
[00:02:03.000 --> 00:02:06.000]  和他所拜的神那裡去了
[00:02:06.000 --> 00:02:09.000]  你也跟著你嫂子回去吧
[00:02:09.000 --> 00:02:10.000]  老德說
[00:02:10.000 --> 00:02:13.000]  不要催我回去不跟隨你
[00:02:13.000 --> 00:02:16.000]  你往那裡去 我也往那裡去
[00:02:16.000 --> 00:02:19.000]  你在那裡住宿 我也在那裡住宿
[00:02:19.000 --> 00:02:21.000]  你的國就是我的國
[00:02:21.000 --> 00:02:24.000]  你的神就是我的神
[00:02:24.000 --> 00:02:27.000]  你在那裡死 我也在那裡死
[00:02:27.000 --> 00:02:29.000]  也葬在那裡
[00:02:29.000 --> 00:02:32.000]  除非死能使你我相離
[00:02:32.000 --> 00:02:35.000]  不然冤野和華重重地降伐於我
[00:02:35.000 --> 00:02:39.000]  拿我米見老德定義要跟隨自己去
[00:02:39.000 --> 00:02:42.000]  就不再勸他了
[00:02:42.000 --> 00:03:00.000]  足夠法定人數
[00:03:00.000 --> 00:03:12.000]  各位弟兄姊妹早晨
[00:03:12.000 --> 00:03:14.000]  剛才的經文
[00:03:14.000 --> 00:03:19.000]  我們聽到有三個孤苦無依的婦女
[00:03:19.000 --> 00:03:21.000]  他們真誠的對話
[00:03:21.000 --> 00:03:27.000]  為什麼他們家中的男性全部缺席呢?
[00:03:27.000 --> 00:03:32.000]  我們可以看回上文一章一至五節
[00:03:32.000 --> 00:03:36.000]  原來當時是事先秉正的時代
