
[00:00:00.000 --> 00:00:08.760]  今日經訓是在約翰福音8章1至11節
[00:00:08.760 --> 00:00:12.600]  新約聖經137頁至138頁
[00:00:12.600 --> 00:00:20.960]  「於是各人都回家去了
[00:00:20.960 --> 00:00:25.200]  耶穌卻往橄欖山上去
[00:00:25.720 --> 00:00:30.280]  清早又回到殿裡,眾百姓都到他那裡去
[00:00:30.280 --> 00:00:32.840]  他就坐下教訓他們
[00:00:32.840 --> 00:00:38.920]  文士和法利塞人帶著一個行淫時被拿的婦人來
[00:00:38.920 --> 00:00:43.320]  叫她站在當中,就對耶穌說
[00:00:43.320 --> 00:00:47.920]  「夫子,這婦人是正行淫之時被拿的
[00:00:47.920 --> 00:00:50.720]  摩西在律法上吩咐我們
[00:00:50.720 --> 00:00:53.400]  把這樣的婦人用石頭打死
[00:00:53.520 --> 00:00:56.720]  你說該把她怎麼樣辦呢?」
[00:00:56.720 --> 00:01:00.720]  他們說者說:乃試探耶穌
[00:01:00.720 --> 00:01:03.720]  要得著告她的把柄
[00:01:03.720 --> 00:01:08.520]  耶穌卻彎著腰,用指頭在地上畫字
[00:01:08.520 --> 00:01:11.120]  他們還是不住的問她
[00:01:11.120 --> 00:01:14.320]  耶穌就直起腰來對他們說
[00:01:14.320 --> 00:01:17.720]  「你們中間誰是沒有罪的
[00:01:17.720 --> 00:01:20.720]  誰就可以先拿石頭打她?」
[00:01:21.320 --> 00:01:25.320]  於是又彎著腰,用指頭在地上畫字
[00:01:25.320 --> 00:01:27.520]  他們聽見者說
[00:01:27.520 --> 00:01:31.920]  就從老到少一個一個的都出去了
[00:01:31.920 --> 00:01:35.320]  只剩下耶穌一人
[00:01:35.320 --> 00:01:38.920]  還有那婦人仍然站在當中
[00:01:38.920 --> 00:01:42.720]  耶穌就直起腰來對她說
[00:01:42.720 --> 00:01:45.520]  「婦人,那些人在哪裡呢?
[00:01:45.520 --> 00:01:47.520]  沒有人定你的罪嗎?」
[00:01:47.520 --> 00:01:50.120]  她說:主啊,沒有
[00:01:50.120 --> 00:01:54.920]  耶穌說:我也不定你的罪
[00:01:54.920 --> 00:01:58.320]  去吧,從此不要再犯罪了
[00:01:59.320 --> 00:02:02.320]  《大紀元》字幕組
[00:02:02.320 --> 00:02:07.720]  弟兄姊妹早安
[00:02:07.720 --> 00:02:08.720]  早安
[00:02:08.720 --> 00:02:12.120]  今天看的故事是我們很熟悉的故事
[00:02:12.120 --> 00:02:13.720]  我自己也說過很多次
[00:02:13.720 --> 00:02:17.320]  還有一篇講章更加出版了
[00:02:17.320 --> 00:02:19.320]  就是《彎腰的耶穌》
[00:02:19.320 --> 00:02:21.520]  有興趣的弟兄姊妹自己拿來看看
[00:02:21.520 --> 00:02:23.720]  今天我嘗試用一個新的角度
[00:02:23.720 --> 00:02:26.320]  來重讀這一段經文
[00:02:26.920 --> 00:02:28.920]  首先要指出
[00:02:28.920 --> 00:02:31.520]  主人崇拜很少講這件事
[00:02:31.520 --> 00:02:33.920]  不過這是真事,重要的事
[00:02:33.920 --> 00:02:36.320]  《約翰福音》八章一到十一節
[00:02:36.320 --> 00:02:38.320]  這一段經文
[00:02:38.320 --> 00:02:42.520]  在最早期的古經版本
[00:02:42.520 --> 00:02:44.520]  通通都沒有出現過
[00:02:44.520 --> 00:02:48.920]  卻是在二世紀之後
[00:02:48.920 --> 00:02:51.920]  才被收入《約翰福音》裏面
[00:02:51.920 --> 00:02:56.120]  所以學者幾乎一致的意見都是
[00:02:56.120 --> 00:02:58.920]  這個故事應該不是出自《約翰福音》的手筆
[00:02:58.920 --> 00:03:01.320]  而是來自其他傳統
[00:03:01.320 --> 00:03:02.920]  什麼叫其他傳統呢?
[00:03:02.920 --> 00:03:06.320]  例如一些非正典的福音書
[00:03:06.320 --> 00:03:08.320]  Non-canonical gospel
[00:03:08.320 --> 00:03:09.920]  你知道早期教會
[00:03:09.920 --> 00:03:12.520]  流傳的不僅僅是我們今天那四卷福音書
[00:03:12.520 --> 00:03:14.520]  有很多其他的福音書
[00:03:14.520 --> 00:03:18.320]  然後後來才被拼入去
