
[00:00:00.000 --> 00:00:05.000]  經訓記載馬太福音20章1至16節
[00:00:05.000 --> 00:00:09.000]  馬太福音20章1至16節
[00:00:09.000 --> 00:00:12.000]  是新約的29頁
[00:00:12.000 --> 00:00:17.000]  因為天國好像家主清早去僱人
[00:00:17.000 --> 00:00:20.000]  進他的葡萄園做工
[00:00:20.000 --> 00:00:25.000]  和工人講定一天一錢銀子
[00:00:25.000 --> 00:00:28.000]  就打發他們進葡萄園去
[00:00:28.000 --> 00:00:31.000]  約在至初出去
[00:00:31.000 --> 00:00:35.000]  看見市上還有閒暫的人
[00:00:35.000 --> 00:00:37.000]  就對他們說
[00:00:37.000 --> 00:00:40.000]  你們也進葡萄園去
[00:00:40.000 --> 00:00:44.000]  所當給的我必給你們
[00:00:44.000 --> 00:00:47.000]  他們也進去了
[00:00:47.000 --> 00:00:51.000]  約在午正和新初又出去
[00:00:51.000 --> 00:00:54.000]  也是這樣行
[00:00:54.000 --> 00:00:56.000]  約在有初出去
[00:00:56.000 --> 00:00:59.000]  看見還有人站在那裡
[00:00:59.000 --> 00:01:01.000]  就問他們說
[00:01:01.000 --> 00:01:06.000]  你們為什麼整天在這裡行站呢
[00:01:06.000 --> 00:01:10.000]  他們說因為沒有人顧我們
[00:01:10.000 --> 00:01:14.000]  他說你們也進葡萄園去
[00:01:14.000 --> 00:01:16.000]  到了晚上
[00:01:16.000 --> 00:01:19.000]  園主對管事的說
[00:01:19.000 --> 00:01:23.000]  叫工人都來給他們工錢
[00:01:23.000 --> 00:01:27.000]  從後來的起到先來的為止
[00:01:27.000 --> 00:01:30.000]  約在有初顧的人來了
[00:01:30.000 --> 00:01:33.000]  各人得了一錢銀子
[00:01:33.000 --> 00:01:36.000]  及至那先顧的來了
[00:01:36.000 --> 00:01:39.000]  他們以為必要多得
[00:01:39.000 --> 00:01:43.000]  誰知也是各得一錢
[00:01:43.000 --> 00:01:46.000]  他們得了就埋怨家主說
[00:01:46.000 --> 00:01:49.000]  我們整天勞苦受熱
[00:01:49.000 --> 00:01:52.000]  那後來的只做了一小時
[00:01:52.000 --> 00:01:56.000]  你竟叫他們和我們一樣嗎
[00:01:56.000 --> 00:02:00.000]  家主回答其中的一人說
[00:02:00.000 --> 00:02:03.000]  朋友我不辜負你
[00:02:03.000 --> 00:02:07.000]  你與我說定的不是一錢銀子嗎
[00:02:07.000 --> 00:02:09.000]  那你的酒吧
[00:02:09.000 --> 00:02:13.000]  我給那後來的和給你的一樣
[00:02:13.000 --> 00:02:15.000]  這是我願意的
[00:02:15.000 --> 00:02:20.000]  我的東西難道不可隨我的意思用嗎
[00:02:20.000 --> 00:02:22.000]  因為我作好人
[00:02:22.000 --> 00:02:25.000]  你就紅了眼嗎
[00:02:25.000 --> 00:02:29.000]  這樣那在後的將要在前
