
[00:00:00.000 --> 00:00:04.560]  讓我們一起去聆聽一段經文
[00:00:04.560 --> 00:00:08.240]  已忽所書第四章一至十六節
[00:00:08.240 --> 00:00:11.920]  司徒保羅這樣去勉勵我們每一個
[00:00:11.920 --> 00:00:15.920]  我為主被囚的勸你們
[00:00:15.920 --> 00:00:19.040]  既然夢召行事為人
[00:00:19.040 --> 00:00:21.920]  就當與夢召的恩相稱
[00:00:21.920 --> 00:00:25.360]  凡事謙虛 溫柔 忍耐
[00:00:25.360 --> 00:00:27.680]  用愛心互相寬容
[00:00:27.680 --> 00:00:30.240]  用和平彼此聯絡
[00:00:30.240 --> 00:00:34.480]  竭力保守聖靈所賜合而為一的心
[00:00:34.480 --> 00:00:36.480]  身體只有一個
[00:00:36.480 --> 00:00:38.160]  聖靈只有一個
[00:00:38.160 --> 00:00:41.840]  正如你們夢召同有一個指望
[00:00:41.840 --> 00:00:45.280]  一主一信一浸一神
[00:00:45.280 --> 00:00:47.040]  就是眾人的父
[00:00:47.040 --> 00:00:48.960]  超乎眾人之常
[00:00:48.960 --> 00:00:50.800]  貫乎眾人之中
[00:00:50.800 --> 00:00:53.120]  也住在眾人之內
[00:00:53.120 --> 00:00:55.040]  我們各人夢因
[00:00:55.040 --> 00:00:58.480]  都是照基督所量給各人的恩賜
[00:00:58.480 --> 00:01:01.840]  所以經上說
[00:01:01.840 --> 00:01:04.080]  他升上高天的時候
[00:01:04.080 --> 00:01:05.840]  努力了受的
[00:01:05.840 --> 00:01:09.040]  將各樣的恩賜賞給人
[00:01:09.040 --> 00:01:10.720]  記說升上
[00:01:10.720 --> 00:01:13.920]  豈不是先降在地下嗎
[00:01:13.920 --> 00:01:15.280]  那降下的
[00:01:15.280 --> 00:01:17.760]  就是遠升諸天之上
[00:01:17.760 --> 00:01:20.480]  要充滿萬有的
[00:01:20.480 --> 00:01:22.560]  他所賜的有使徒
[00:01:22.560 --> 00:01:23.680]  有先知
[00:01:23.680 --> 00:01:25.200]  有傳福音的
[00:01:25.200 --> 00:01:27.520]  有牧師和教師
[00:01:27.520 --> 00:01:29.920]  為要承傳聖徒
[00:01:29.920 --> 00:01:31.520]  各盡其職
[00:01:31.520 --> 00:01:33.600]  建立基督的身體
[00:01:33.600 --> 00:01:38.400]  直等到我們眾人在真道上同歸於一
[00:01:38.400 --> 00:01:40.800]  認識神的兒子
[00:01:40.800 --> 00:01:42.880]  得以長大成人
[00:01:42.880 --> 00:01:45.760]  滿有基督長成的新娘
[00:01:45.760 --> 00:01:48.400]  使我們不再作小孩子
[00:01:48.400 --> 00:01:51.840]  忠了人的詭計和欺騙的法術
[00:01:51.840 --> 00:01:54.880]  被一切異教之風搖動
[00:01:54.880 --> 00:01:56.480]  飄來飄去
[00:01:56.480 --> 00:01:59.280]  周隨從各樣的異端
[00:01:59.280 --> 00:02:02.080]  唯用愛心說誠實話
[00:02:02.080 --> 00:02:03.440]  凡事長進
[00:02:03.440 --> 00:02:05.920]  憐於元首基督
[00:02:05.920 --> 00:02:09.200]  全身都靠祂聯絡得合適
[00:02:09.200 --> 00:02:11.280]  百折各按各職
[00:02:11.280 --> 00:02:14.880]  朝著各體的功用彼此相助
[00:02:14.880 --> 00:02:17.680]  便叫身體漸漸增長
[00:02:17.680 --> 00:02:20.640]  在愛中建立自己
[00:02:20.640 --> 00:02:25.520]  今天來到發放群體光芒的第四講
[00:02:25.520 --> 00:02:28.800]  有陳妙龍姑娘在我們當中分享
[00:02:28.800 --> 00:02:30.800]  剛剛所讀的這段經文
[00:02:30.800 --> 00:02:33.440]  講題是「合而為一」
[00:02:33.440 --> 00:02:45.440]  各位導演姐妹平安
[00:02:47.680 --> 00:02:50.640]  剛才為我們領師的姐妹
[00:02:50.640 --> 00:02:52.880]  不斷提醒我們唯有耶穌
[00:02:52.880 --> 00:02:55.120]  我記得這個月
[00:02:55.120 --> 00:02:57.680]  當我們主任穆斯第一講的時候
[00:02:57.680 --> 00:03:00.240]  他提到我們敬拜的時候
[00:03:00.240 --> 00:03:02.720]  雖然環境不是最好
[00:03:02.720 --> 00:03:05.840]  但是我們仍然存著一個喜樂
[00:03:05.840 --> 00:03:08.480]  我們不是悠悠愁愁去敬拜主
[00:03:08.480 --> 00:03:10.800]  因為我們所信的上帝
[00:03:10.800 --> 00:03:14.640]  祂的確能夠將風浪平靜
[00:03:14.640 --> 00:03:16.640]  我們一起祈禱吧
[00:03:17.600 --> 00:03:18.880]  慈愛天父
[00:03:18.880 --> 00:03:22.560]  萬國萬民都要來讚美你
[00:03:22.560 --> 00:03:23.520]  耶穌
[00:03:23.520 --> 00:03:27.520]  你明白我們每一個都有害怕的時候
[00:03:27.520 --> 00:03:29.360]  你賜下平安
[00:03:29.360 --> 00:03:31.120]  你又醫治我們
[00:03:31.120 --> 00:03:32.960]  釋放我們
[00:03:32.960 --> 00:03:34.000]  讚美主
[00:03:34.000 --> 00:03:36.960]  你能夠叫風浪平靜
[00:03:36.960 --> 00:03:38.240]  慈愛恩主
[00:03:38.240 --> 00:03:39.760]  我們憑信心
[00:03:39.760 --> 00:03:41.600]  在這個疫情之下
[00:03:41.600 --> 00:03:43.120]  我們同心合一
[00:03:43.120 --> 00:03:44.480]  倚靠你
[00:03:44.480 --> 00:03:45.680]  敬拜你
[00:03:45.680 --> 00:03:46.960]  因為我們知道
[00:03:46.960 --> 00:03:49.760]  我們活著就是要讚美你
[00:03:49.760 --> 00:03:52.080]  求你開我們的心靈
[00:03:52.080 --> 00:03:54.400]  讓我們聆聽你的話語
[00:03:54.400 --> 00:03:56.640]  並且踐行出來
[00:03:56.640 --> 00:03:58.800]  也都求你繼續保守
[00:03:58.800 --> 00:04:02.000]  我們所住的地方和世界各地
[00:04:02.000 --> 00:04:06.320]  讓我們能夠在不容易的情況下
[00:04:06.320 --> 00:04:08.240]  在裡面得著平安
[00:04:08.240 --> 00:04:09.360]  我們同心的禱告
[00:04:09.360 --> 00:04:10.560]  是奉耶穌基督
[00:04:10.560 --> 00:04:11.840]  聖命祈禱
[00:04:11.840 --> 00:04:13.120]  阿們
[00:04:13.120 --> 00:04:15.680]  今天和大家分享的時候
[00:04:15.680 --> 00:04:19.520]  我都希望在座和在家的弟兄姊妹
[00:04:19.520 --> 00:04:21.840]  都可以翻譯剛才的經文
[00:04:21.840 --> 00:04:24.640]  《已忽所書》四章
