
[00:00:00.000 --> 00:00:04.000]  願意我們一同用聆聽神的話語
[00:00:04.000 --> 00:00:05.500]  繼續我們的敬拜
[00:00:05.500 --> 00:00:07.500]  今日我們會選讀的經文是
[00:00:07.500 --> 00:00:13.000]  在新約聖經的希伯來書第十二章一至十三節
[00:00:13.000 --> 00:00:16.000]  新約聖經希伯來書十二章
[00:00:16.000 --> 00:00:18.000]  他在這裡這樣說
[00:00:18.000 --> 00:00:21.000]  「我們既有者許多的見證人
[00:00:21.000 --> 00:00:24.000]  如同雲彩圍著我們
[00:00:24.000 --> 00:00:27.000]  就當放下各樣的重擔
[00:00:27.000 --> 00:00:30.000]  脫去容易纏累我們的罪
[00:00:30.000 --> 00:00:32.000]  全心忍耐
[00:00:32.000 --> 00:00:35.000]  不那擺在我們前頭的路程
[00:00:35.000 --> 00:00:41.000]  仰望為我們信心創始成中的耶穌
[00:00:41.000 --> 00:00:44.000]  他因那擺在前面的喜樂
[00:00:44.000 --> 00:00:46.000]  就輕看羞辱
[00:00:46.000 --> 00:00:48.000]  忍受了十字架的苦難
[00:00:48.000 --> 00:00:51.000]  便坐在神寶座的右邊
[00:00:51.000 --> 00:00:54.000]  那忍受罪人這樣頂撞的
[00:00:54.000 --> 00:00:59.000]  你們要思想免得疲倦灰心
[00:00:59.000 --> 00:01:02.000]  你們與罪惡相爭
[00:01:02.000 --> 00:01:05.000]  還沒有抵擋到流血的地步
[00:01:05.000 --> 00:01:06.000]  你們又忙了
[00:01:06.000 --> 00:01:11.000]  那勸你們如同勸兒子的話說
[00:01:11.000 --> 00:01:14.000]  我兒你不可輕看主的管教
[00:01:14.000 --> 00:01:19.000]  被他責備的時候也不可灰心
[00:01:19.000 --> 00:01:22.000]  因為主所愛的他必管教
[00:01:22.000 --> 00:01:26.000]  又鞭打凡修立的兒子
[00:01:26.000 --> 00:01:28.000]  你們所忍受的
[00:01:28.000 --> 00:01:30.000]  施慎管教你們
[00:01:30.000 --> 00:01:33.000]  待你們如同待兒子
[00:01:33.000 --> 00:01:37.000]  焉有兒子不被父親管教的呢
[00:01:37.000 --> 00:01:41.000]  管教原是眾子所共受的
[00:01:41.000 --> 00:01:43.000]  你們若不受管教
[00:01:43.000 --> 00:01:47.000]  就是失子不是兒子了
[00:01:47.000 --> 00:01:52.000]  再者我們曾有新生的父管教我們
[00:01:52.000 --> 00:01:55.000]  我們尚且敬重他
[00:01:55.000 --> 00:01:57.000]  何況萬靈的父
[00:01:57.000 --> 00:02:02.000]  我們豈不更當信服他的身嗎
[00:02:02.000 --> 00:02:07.000]  新生的父都暫隨己義管教我們
[00:02:07.000 --> 00:02:10.000]  唯有萬靈的父管教我們
[00:02:10.000 --> 00:02:12.000]  是要我們得益處
[00:02:12.000 --> 00:02:16.000]  使我們在他的聖潔上有份
[00:02:16.000 --> 00:02:18.000]  凡管教的士
[00:02:18.000 --> 00:02:20.000]  當時不覺得快樂
[00:02:20.000 --> 00:02:22.000]  反覺得受苦
[00:02:22.000 --> 00:02:26.000]  後來卻為那經念過的人
[00:02:26.000 --> 00:02:28.000]  結出平安的果子
[00:02:28.000 --> 00:02:30.000]  就是義
[00:02:30.000 --> 00:02:34.000]  所以你們要把下垂的手
[00:02:34.000 --> 00:02:36.000]  髮宣的腿挺起來
[00:02:36.000 --> 00:02:38.000]  也要為自己的腳
[00:02:38.000 --> 00:02:40.000]  把道路修直了
