
[00:00:00.000 --> 00:00:02.000]  請聽我讀出
[00:00:02.000 --> 00:00:06.000]  耶穌又在海邊教訓人
[00:00:06.000 --> 00:00:08.000]  有許多人
[00:00:08.000 --> 00:00:10.000]  到他那裡聚集
[00:00:10.000 --> 00:00:12.000]  他只得上船坐下
[00:00:12.000 --> 00:00:14.000]  船在海裡
[00:00:14.000 --> 00:00:16.000]  眾人都靠近岸
[00:00:16.000 --> 00:00:18.000]  站在岸上
[00:00:18.000 --> 00:00:20.000]  耶穌就用比喻
[00:00:20.000 --> 00:00:22.000]  教訓他們許多道理
[00:00:22.000 --> 00:00:24.000]  在教訓之間
[00:00:24.000 --> 00:00:26.000]  他對他們說
[00:00:26.000 --> 00:00:28.000]  你們聽哦,有一個殺種的
[00:00:28.000 --> 00:00:30.000]  出去殺種
[00:00:30.000 --> 00:00:32.000]  殺的時候有落在路旁的
[00:00:32.000 --> 00:00:34.000]  飛了來吃盡了
[00:00:34.000 --> 00:00:38.000]  有落在土淺石頭地上的
[00:00:38.000 --> 00:00:40.000]  土技不深
[00:00:40.000 --> 00:00:42.000]  發苗最快
[00:00:42.000 --> 00:00:44.000]  日頭出來一曬
[00:00:44.000 --> 00:00:46.000]  因為沒有根就枯乾了
[00:00:46.000 --> 00:00:48.000]  有落在荊棘裡的
[00:00:48.000 --> 00:00:50.000]  荊棘長起來
[00:00:50.000 --> 00:00:52.000]  把它擠住了
[00:00:52.000 --> 00:00:54.000]  就不結實
[00:00:54.000 --> 00:00:56.000]  又有落在好土裡的
[00:00:56.000 --> 00:00:58.000]  結實有三十倍的
[00:00:58.000 --> 00:01:00.000]  有六十倍的
[00:01:00.000 --> 00:01:02.000]  有一百倍的
[00:01:02.000 --> 00:01:04.000]  又說有耳可聽的
[00:01:04.000 --> 00:01:06.000]  就應當聽
[00:01:06.000 --> 00:01:08.000]  無人的時候
[00:01:08.000 --> 00:01:10.000]  跟隨耶穌的人和十二個門徒
[00:01:10.000 --> 00:01:12.000]  問他這比喻的意思
[00:01:12.000 --> 00:01:14.000]  耶穌對他們說
[00:01:14.000 --> 00:01:16.000]  神哥的奧秘
[00:01:16.000 --> 00:01:18.000]  只叫你們知道
[00:01:18.000 --> 00:01:20.000]  若是對外人說
[00:01:20.000 --> 00:01:22.000]  凡事就用比喻
[00:01:22.000 --> 00:01:24.000]  叫他們看似看見
[00:01:24.000 --> 00:01:26.000]  卻不曉得
[00:01:26.000 --> 00:01:28.000]  聽似聽見卻不明白
[00:01:28.000 --> 00:01:30.000]  恐怕他們回轉過來
[00:01:30.000 --> 00:01:32.000]  就得赦免
[00:01:32.000 --> 00:01:34.000]  又對他們說
[00:01:34.000 --> 00:01:36.000]  你們不明白
[00:01:36.000 --> 00:01:38.000]  這比喻嗎
[00:01:38.000 --> 00:01:40.000]  這樣怎能明白
[00:01:40.000 --> 00:01:42.000]  一切的比喻呢
[00:01:42.000 --> 00:01:44.000]  殺中之人所殺的就是道
[00:01:44.000 --> 00:01:46.000]  那殺在路旁的
[00:01:46.000 --> 00:01:48.000]  就是人聽了道
[00:01:48.000 --> 00:01:50.000]  殺但立即來
[00:01:50.000 --> 00:01:52.000]  那殺在他心裡的
