
[00:00:00.000 --> 00:00:06.800]  等子妹讓我們一同去聆聽一段上帝的話語
[00:00:06.800 --> 00:00:12.520]  記載在《但義理書》第二章一至三十節
[00:00:12.520 --> 00:00:15.000]  經文是這樣說
[00:00:15.000 --> 00:00:19.920]  「尼泊爾·加利薩在位第二年
[00:00:19.920 --> 00:00:24.000]  他作了夢,心裡煩亂,不能睡覺
[00:00:24.000 --> 00:00:30.600]  王吩咐人將術士用法術的、行邪術的和迦勒底人召來
[00:00:30.600 --> 00:00:33.800]  要他們將王的夢告訴王
[00:00:33.800 --> 00:00:36.800]  他們就來站在王前
[00:00:36.800 --> 00:00:41.400]  王對他們說:我作了一夢,心裡煩亂
[00:00:41.400 --> 00:00:44.000]  要知道這是什麼夢
[00:00:44.000 --> 00:00:47.600]  迦勒底人用阿蘭的言語對王說:
[00:00:47.600 --> 00:00:51.400]  願王萬歲,請將那夢告訴僕人
[00:00:51.400 --> 00:00:54.400]  僕人就可以講解
[00:00:54.400 --> 00:00:59.200]  王回答迦勒底人說:夢我已忘了
[00:00:59.200 --> 00:01:03.000]  你們若不將夢和夢的解說告訴我
[00:01:03.000 --> 00:01:04.400]  必被凌遲
[00:01:04.400 --> 00:01:08.000]  你們的房屋就必成為糞堆
[00:01:08.000 --> 00:01:11.800]  你們若將夢和夢的講解告訴我
[00:01:11.800 --> 00:01:17.000]  就必從我這裡得贈品和賞賜,並大榮耀
[00:01:17.000 --> 00:01:21.400]  現在你們要將夢和夢的講解告訴我
[00:01:21.400 --> 00:01:24.000]  他們第二次對王說:
[00:01:24.000 --> 00:01:26.400]  請王將夢告訴僕人
[00:01:26.400 --> 00:01:29.400]  僕人就可以講解
[00:01:29.400 --> 00:01:34.600]  王回答說:我準知道你們是故意遲延
[00:01:34.600 --> 00:01:38.600]  因為你們知道那夢我已經忘了
[00:01:38.600 --> 00:01:41.600]  你們若不將夢告訴我
[00:01:41.600 --> 00:01:43.600]  只有一法待你們
[00:01:43.600 --> 00:01:47.600]  因為你們預備了謊言亂語向我說
[00:01:47.600 --> 00:01:52.600]  要等候時勢改變
[00:01:52.600 --> 00:01:55.600]  現在你們要將夢告訴我
[00:01:55.600 --> 00:01:59.600]  因我知道你們能將夢的講解告訴我
[00:01:59.600 --> 00:02:02.600]  迦勒底人在王面前回答說:
[00:02:02.600 --> 00:02:07.000]  世上沒有人能將王所問的事說出來
[00:02:07.000 --> 00:02:10.600]  因為沒有君王大臣掌權的
[00:02:10.600 --> 00:02:16.600]  向術士或潤法術的或迦勒底人問過這樣的事
[00:02:16.600 --> 00:02:19.000]  王所問的是甚難
[00:02:19.000 --> 00:02:22.000]  除了不與世人同居的神明
[00:02:22.000 --> 00:02:26.000]  沒有人在王面前能說出來
[00:02:26.000 --> 00:02:30.600]  因此王氣憤憤地大發烈怒
[00:02:30.600 --> 00:02:34.600]  吩咐滅絕巴比倫所有的哲士
[00:02:34.600 --> 00:02:38.600]  於是命令發出:哲士將要見殺
[00:02:38.600 --> 00:02:41.600]  人就尋找但以理和他的同伴
[00:02:41.600 --> 00:02:43.600]  要殺他們
[00:02:43.600 --> 00:02:45.600]  王的護衛長亞略出來
[00:02:45.600 --> 00:02:48.600]  要殺巴比倫的哲士
[00:02:48.600 --> 00:02:51.600]  但以理就用軟言回答他
[00:02:51.600 --> 00:02:53.600]  向王的護衛長亞略說:
[00:02:53.600 --> 00:02:57.600]  王的命令為何這樣急速?
[00:02:57.600 --> 00:03:01.600]  亞略就將情節告訴但以理
[00:03:01.600 --> 00:03:04.600]  但以理誰進去求王歡善
[00:03:04.600 --> 00:03:07.600]  就可以將夢的講解告訴王
[00:03:07.600 --> 00:03:10.600]  但以理回到他的居所
[00:03:10.600 --> 00:03:13.600]  將這事告訴他的同伴哈拿尼亞
[00:03:13.600 --> 00:03:16.600]  米沙利亞撒尼亞
[00:03:16.600 --> 00:03:19.600]  要他們祈求天上的神斯涟敏
[00:03:19.600 --> 00:03:22.600]  將這奧秘的事指明
[00:03:22.600 --> 00:03:24.600]  免得但以理和他的同伴
[00:03:24.600 --> 00:03:28.600]  與巴比倫其餘的哲士一同滅亡
[00:03:28.600 --> 00:03:31.600]  這奧秘的事就在夜間異象中
