
[00:00:00.000 --> 00:00:02.900]  今日重讀的經文是記載在
[00:00:02.900 --> 00:00:07.280]  「列王記下」四章一至七節
[00:00:07.280 --> 00:00:10.940]  在舊約聖經的四百五十九頁
[00:00:10.940 --> 00:00:16.080]  「列王記下」四章一節
[00:00:16.080 --> 00:00:19.740]  有一個先知門徒的妻
[00:00:19.740 --> 00:00:21.740]  哀求以利沙說
[00:00:21.740 --> 00:00:25.080]  「女僕人 我丈夫死了
[00:00:25.080 --> 00:00:28.480]  他敬愛耶和華是你所知道的
[00:00:29.180 --> 00:00:31.180]  現在有寨主來
[00:00:31.180 --> 00:00:34.080]  要娶我兩個兒子作奴僕」
[00:00:34.080 --> 00:00:37.380]  以利沙問他說
[00:00:37.380 --> 00:00:40.580]  「我可以為你作甚麼呢?」
[00:00:40.580 --> 00:00:44.680]  「你告訴我 你家裡有甚麼?」
[00:00:44.680 --> 00:00:46.780]  他說
[00:00:46.780 --> 00:00:50.580]  「婢女家中除了一瓶油之外
[00:00:50.580 --> 00:00:52.180]  沒有甚麼」
[00:00:52.180 --> 00:00:54.380]  以利沙說
[00:00:55.180 --> 00:00:59.580]  「你去 向你眾倫社謝空氣命
[00:00:59.580 --> 00:01:01.580]  不要小謝
[00:01:01.580 --> 00:01:04.880]  回到家裡 關上門
[00:01:04.880 --> 00:01:07.380]  你和你兒子在裡面
[00:01:07.380 --> 00:01:10.380]  將油倒在所有的氣命裡
[00:01:10.380 --> 00:01:13.580]  倒滿了的放在一邊」
[00:01:13.580 --> 00:01:18.880]  於是 婦人離開以利沙去了
[00:01:18.880 --> 00:01:20.580]  關上門
[00:01:20.580 --> 00:01:23.180]  自己和兒子在裡面
[00:01:23.680 --> 00:01:25.680]  兒子把氣命拿來
[00:01:25.680 --> 00:01:27.280]  她就倒油
[00:01:27.280 --> 00:01:29.680]  氣命都滿了
[00:01:29.680 --> 00:01:31.380]  她對兒子說
[00:01:31.380 --> 00:01:33.780]  「再給我拿氣命來」
[00:01:33.780 --> 00:01:35.480]  兒子說
[00:01:35.480 --> 00:01:37.680]  「再沒有氣命了
[00:01:37.680 --> 00:01:39.780]  油就止住了」
[00:01:39.780 --> 00:01:42.580]  婦人去告訴神人
[00:01:42.580 --> 00:01:44.180]  神人說
[00:01:44.180 --> 00:01:46.980]  「你去賣油還債
[00:01:46.980 --> 00:01:49.680]  所剩的 你和你兒子
[00:01:49.680 --> 00:01:51.780]  可以靠著度日」
[00:01:52.280 --> 00:01:54.280]  (字幕:陳志全)
[00:01:54.280 --> 00:02:06.780]  (字幕:陳志全)
[00:02:06.780 --> 00:02:09.380]  繼續我們永闖
[00:02:09.380 --> 00:02:11.880]  丙堅永闖系列的第二講
[00:02:11.880 --> 00:02:13.680]  有人說其實
[00:02:13.680 --> 00:02:16.080]  失去這件事是
[00:02:16.080 --> 00:02:18.880]  我們人生成長的必修科
[00:02:18.880 --> 00:02:20.180]  大家同不同意嗎?
[00:02:20.780 --> 00:02:22.180]  很多寶貴的經驗
[00:02:22.180 --> 00:02:22.980]  你有沒有發覺
[00:02:22.980 --> 00:02:24.980]  其實都從失去開始
[00:02:24.980 --> 00:02:28.080]  大家一定經歷過
[00:02:28.080 --> 00:02:30.780]  你出生的時候失去了什麼?
[00:02:30.780 --> 00:02:33.880]  失去了在媽媽肚子裡
[00:02:33.880 --> 00:02:36.080]  很安穩的子宮
[00:02:36.080 --> 00:02:37.280]  你失去了那東西
[00:02:37.280 --> 00:02:37.780]  離開了
[00:02:37.780 --> 00:02:38.980]  但你得到的是什麼?
[00:02:38.980 --> 00:02:41.280]  得到的是
[00:02:41.280 --> 00:02:43.480]  爸爸媽媽或者家庭成員
[00:02:43.480 --> 00:02:46.280]  對你近距離埋身的照顧
[00:02:46.280 --> 00:02:49.980]  你經歷到人與人之間的溫暖和愛
[00:02:50.580 --> 00:02:52.880]  就正如我們今天所說的
[00:02:52.880 --> 00:02:54.680]  獵王記這個故事
[00:02:54.680 --> 00:02:56.580]  你會發現其實都是一個
[00:02:56.580 --> 00:02:57.880]  失去的故事
[00:02:57.880 --> 00:02:59.080]  由失去開始
[00:02:59.080 --> 00:03:01.380]  卻是在失去的過程裡
[00:03:01.380 --> 00:03:03.980]  他這一家人經歷了
[00:03:03.980 --> 00:03:05.680]  上帝給他們奇妙的帶領
[00:03:05.680 --> 00:03:06.880]  其實你有留意
[00:03:06.880 --> 00:03:10.680]  其實整個獵王記下的第四章
[00:03:10.680 --> 00:03:12.980]  都在說以利沙行的神蹟
[00:03:12.980 --> 00:03:13.980]  一共有四個
[00:03:13.980 --> 00:03:15.580]  在這些神蹟裡
[00:03:15.580 --> 00:03:18.380]  其實都與一些小市民的生活困難
[00:03:18.380 --> 00:03:19.380]  息息相關
[00:03:19.880 --> 00:03:21.680]  當事人不知道
[00:03:21.680 --> 00:03:24.080]  如何面對眼前的困境的時候
[00:03:24.080 --> 00:03:26.480]  以利沙就總是憑著信心
[00:03:26.480 --> 00:03:28.080]  將那些遇到困難
[00:03:28.080 --> 00:03:29.080]  有需要的人
[00:03:29.080 --> 00:03:30.680]  帶到上帝的面前
[00:03:30.680 --> 00:03:34.580]  然後上帝又用意想不到的方法
