
[00:00:00.000 --> 00:00:05.200]  主持人:今日的經訓是在《創世紀》第十六章
[00:00:05.200 --> 00:00:10.480]  在教會的聖經舊約第十六頁
[00:00:10.480 --> 00:00:13.120]  請聽我讀出
[00:00:13.120 --> 00:00:20.480]  阿伯蘭的妻子撒萊不給他生兒女
[00:00:20.480 --> 00:00:25.600]  撒萊有一個侍女名叫夏甲,是埃及人
[00:00:25.600 --> 00:00:31.040]  撒萊對阿伯蘭說:耶和華使我不能生育
[00:00:31.040 --> 00:00:37.120]  求你和我的侍女同房,或者我可以因她得孩子
[00:00:37.120 --> 00:00:40.160]  阿伯蘭聽從了撒萊的話
[00:00:40.160 --> 00:00:48.400]  於是阿伯蘭的妻子撒萊便將侍女埃及人夏甲給了丈夫為妾
[00:00:48.400 --> 00:00:53.120]  那時阿伯蘭在迦南已經住了十年
[00:00:53.120 --> 00:00:57.920]  阿伯蘭與夏甲同房,夏甲就懷了孕
[00:00:57.920 --> 00:01:02.080]  她見自己有孕,就小看她的主母
[00:01:02.080 --> 00:01:06.240]  撒萊對阿伯蘭說:我因你受屈
[00:01:06.240 --> 00:01:09.520]  我將我的侍女放在你懷中
[00:01:09.520 --> 00:01:13.200]  她見自己有了孕,就小看我
[00:01:13.200 --> 00:01:16.480]  願耶和華在你我中間判斷
[00:01:16.480 --> 00:01:20.960]  阿伯蘭對撒萊說:侍女在你手下
[00:01:20.960 --> 00:01:24.160]  你可以隨意待她
[00:01:24.160 --> 00:01:30.080]  撒萊輔待她,她就從撒萊面前逃走了
[00:01:30.080 --> 00:01:36.480]  耶和華的使者在曠野樞爾路上的水泉旁遇見她
[00:01:36.480 --> 00:01:43.520]  對她說:撒萊的侍女夏甲,你從那裡來?要往那裡去?
[00:01:43.520 --> 00:01:49.120]  夏甲說:我從我的主母撒萊面前逃出來
[00:01:49.120 --> 00:01:56.160]  耶和華的使者對她說:你回到你主母那裡,伏在她手下
[00:01:56.160 --> 00:02:02.800]  又說:我必使你的後裔極其繁多,甚至不可生數
[00:02:02.800 --> 00:02:07.600]  並說:你如今懷孕,要生一個兒子
[00:02:07.600 --> 00:02:11.600]  可以給他起名叫爾實瑪利
[00:02:11.600 --> 00:02:15.600]  因為耶和華聽見了你的苦情
[00:02:15.600 --> 00:02:24.000]  她為人必像野狼,她的手要攻打人,人的手也要攻打她
[00:02:24.000 --> 00:02:28.000]  她必住在眾弟兄的東邊
[00:02:28.000 --> 00:02:34.000]  夏甲就稱對她說話的耶和華為看顧人的神
[00:02:34.000 --> 00:02:39.600]  因而說:在這裡我也看見了看顧我的魔
[00:02:39.600 --> 00:02:49.600]  所以這名叫比爾拉海內者者正在迦底斯和巴列中間
[00:02:49.600 --> 00:02:54.600]  後來夏甲給亞伯蘭生了一個兒子
[00:02:54.600 --> 00:02:58.600]  亞伯蘭給他起名叫爾實瑪利
[00:02:58.600 --> 00:03:06.600]  夏甲給亞伯蘭生爾實瑪利的時候,亞伯蘭年八十六歲
[00:03:06.600 --> 00:03:19.600]  (自動翻譯)
[00:03:19.600 --> 00:03:22.600]  各位弟兄姊妹平安
[00:03:22.600 --> 00:03:26.600]  今天我們繼續《正是你的情緒》系列
[00:03:26.600 --> 00:03:33.600]  我們繼續用舊約的故事去認識神賜給我們的禮物
[00:03:33.600 --> 00:03:35.600]  就是我們的情緒
[00:03:35.600 --> 00:03:38.600]  因為有著這份禮物和情緒
[00:03:38.600 --> 00:03:41.600]  讓我們看到自己的需要
[00:03:41.600 --> 00:03:44.600]  可以與人結連
[00:03:44.600 --> 00:03:48.600]  今天我們要看的情緒是受屈
[00:03:48.600 --> 00:03:51.600]  那種委屈、受屈辱的感覺
[00:03:51.600 --> 00:03:55.600]  其實在日常生活中,我們很難避免這種感覺
[00:03:55.600 --> 00:04:00.600]  當我們覺得自己有時不得到公平的對待
[00:04:00.600 --> 00:04:03.600]  或者我們不被人尊重
[00:04:03.600 --> 00:04:08.600]  或者我們被忽視、被輕視
[00:04:08.600 --> 00:04:11.600]  甚至在一些生活情況中
[00:04:11.600 --> 00:04:14.600]  我們會被欽著、被侮辱
[00:04:14.600 --> 00:04:17.600]  以致我們都會有些委屈的感覺
[00:04:17.600 --> 00:04:23.600]  這種感覺不是在某些地方才出現
[00:04:23.600 --> 00:04:31.600]  反而有時在家庭、工作、朋友之間、教會中
[00:04:31.600 --> 00:04:34.600]  我們幾乎都會遇到這些問題
[00:04:34.600 --> 00:04:37.600]  這種感受經常會出現
[00:04:37.600 --> 00:04:39.600]  不要小看這種感覺
[00:04:39.600 --> 00:04:44.600]  因為這種感覺對自己、對人的破壞都很大
[00:04:44.600 --> 00:04:47.600]  今天我們會看一家庭
[00:04:47.600 --> 00:04:52.600]  這家庭都面對一些他們覺得受屈的事件
[00:04:52.600 --> 00:04:54.600]  我們一起去看看
[00:04:54.600 --> 00:04:58.600]  當我們感覺到受屈時的情緒會是怎樣
[00:04:58.600 --> 00:05:00.600]  當我們面對這種情緒時
[00:05:00.600 --> 00:05:03.600]  原來我們會有一些應對機制
[00:05:03.600 --> 00:05:06.600]  那些又是甚麼機制呢?
[00:05:06.600 --> 00:05:11.600]  我們又看看神怎樣讓這種情緒讓我們成長
[00:05:11.600 --> 00:05:14.600]  讓我們在生命中突破
[00:05:14.600 --> 00:05:16.600]  讓我們一起去祈禱
[00:05:16.600 --> 00:05:25.600]  秋後天父,我們感謝你
[00:05:25.600 --> 00:05:29.600]  我們感謝你,因為你讓我們明白自己
[00:05:29.600 --> 00:05:33.600]  透過你讓我們與人相處
[00:05:33.600 --> 00:05:35.600]  透過我們的情緒
[00:05:35.600 --> 00:05:38.600]  透過你自己聖經裏寶貴的應許
[00:05:38.600 --> 00:05:40.600]  你信實的話
[00:05:40.600 --> 00:05:45.600]  你讓我們在每一個情緒裏找到出路
