
[00:00:00.000 --> 00:00:04.000]  願你繼續以聆聽聲道我們的敬拜
[00:00:04.000 --> 00:00:09.000]  今日我們選讀的經文是在舊約《事詩記》第十九章
[00:00:09.000 --> 00:00:13.000]  一至九節和二十七至三十節
[00:00:13.000 --> 00:00:18.000]  分別在大家手上的聖經三百二十四和三百二十五頁
[00:00:18.000 --> 00:00:22.000]  請聽我讀出聖經的話語
[00:00:22.000 --> 00:00:25.000]  《事詩記》第十九章
[00:00:25.000 --> 00:00:30.000]  當以色列終沒有王的時候
[00:00:30.000 --> 00:00:34.000]  有以法連山地那邊的一個利美人
[00:00:34.000 --> 00:00:39.000]  娶了一個猶大伯利恆的女子為妾
[00:00:39.000 --> 00:00:43.000]  妾行人離開丈夫
[00:00:43.000 --> 00:00:47.000]  回猶大伯利恆到了夫家
[00:00:47.000 --> 00:00:50.000]  在那裡住了四個月
[00:00:50.000 --> 00:00:56.000]  她丈夫起來帶著一個僕人兩匹驢去見她
[00:00:56.000 --> 00:00:59.000]  用好話勸她回來
[00:00:59.000 --> 00:01:04.000]  女子就引丈夫進入夫家
[00:01:04.000 --> 00:01:09.000]  他父見了那人便歡歡喜喜地迎接
[00:01:09.000 --> 00:01:13.000]  那人的岳父就是女子的父親
[00:01:13.000 --> 00:01:16.000]  將那人留下住了三天
[00:01:16.000 --> 00:01:20.000]  於是二人一同吃喝住宿
[00:01:20.000 --> 00:01:22.000]  到了第四天
[00:01:22.000 --> 00:01:25.000]  利美人清早起來要走
[00:01:25.000 --> 00:01:28.000]  女子的父親對女婿說
[00:01:28.000 --> 00:01:33.000]  請你吃點飯加添心力然後可以行路
[00:01:33.000 --> 00:01:36.000]  於是二人座下一同吃喝
[00:01:36.000 --> 00:01:39.000]  女子的父親對那人說
[00:01:39.000 --> 00:01:43.000]  請你再住一夜暢快你的心
[00:01:43.000 --> 00:01:46.000]  那人起來要走
[00:01:46.000 --> 00:01:48.000]  他岳父強留他
[00:01:48.000 --> 00:01:51.000]  他又住了一宿
[00:01:51.000 --> 00:01:53.000]  到第五天
[00:01:53.000 --> 00:01:55.000]  他清早起來要走
[00:01:55.000 --> 00:01:57.000]  女子的父親說
[00:01:57.000 --> 00:02:00.000]  請你吃點飯加添心力
[00:02:00.000 --> 00:02:03.000]  等到日頭偏西再走
[00:02:03.000 --> 00:02:06.000]  於是二人一同吃飯
[00:02:06.000 --> 00:02:10.000]  那人和他的妾和僕人起來要走
[00:02:10.000 --> 00:02:14.000]  他岳父就是女子的父親對她說
[00:02:14.000 --> 00:02:18.000]  看啊日頭偏西了請你再住一夜
[00:02:18.000 --> 00:02:22.000]  天快硬了可以在這裏住宿
[00:02:22.000 --> 00:02:24.000]  暢快你的心
[00:02:24.000 --> 00:02:28.000]  明天早起行回家去
[00:02:28.000 --> 00:02:31.000]  第27節
[00:02:31.000 --> 00:02:36.000]  早晨他的主人起來開了房門
[00:02:36.000 --> 00:02:38.000]  出去要行路
[00:02:38.000 --> 00:02:43.000]  不料那婦人撲倒在房門前
[00:02:43.000 --> 00:02:46.000]  兩手踏在門檻上
[00:02:46.000 --> 00:02:47.000]  就對婦人說
[00:02:47.000 --> 00:02:49.000]  起來我們走吧
[00:02:49.000 --> 00:02:52.000]  婦人卻不回答
[00:02:52.000 --> 00:02:56.000]  那人便將她托在路上
[00:02:56.000 --> 00:02:58.000]  起身回本處去了
[00:02:58.000 --> 00:02:59.000]  到了家裏
[00:02:59.000 --> 00:03:04.000]  用刀將妾的屍身切成十二塊
[00:03:04.000 --> 00:03:07.000]  使人拿著傳送以色列的四景
[00:03:07.000 --> 00:03:09.000]  凡看見的人都說
[00:03:09.000 --> 00:03:13.000]  從以色列人出埃及地直到今日
[00:03:13.000 --> 00:03:18.000]  這樣的事沒有行過也沒有見過
[00:03:18.000 --> 00:03:20.000]  現在應當思想
[00:03:20.000 --> 00:03:25.000]  大家相宜當怎樣辦理
[00:03:25.000 --> 00:03:34.000]  丁子妹,平安
[00:03:34.000 --> 00:03:35.000]  平安
[00:03:35.000 --> 00:03:40.000]  我們繼續用史詩記最後一個段落
[00:03:40.000 --> 00:03:44.000]  重新檢視一下我們自己的生命
[00:03:44.000 --> 00:03:47.000]  我們處於一種甚麼的境況
[00:03:47.000 --> 00:03:49.000]  有一個這樣的說法
[00:03:49.000 --> 00:03:52.000]  同一條魚說水是甚麼來的
[00:03:52.000 --> 00:03:54.000]  一來這條魚就不像人類
[00:03:54.000 --> 00:03:57.000]  可以解釋到水是一回甚麼事
[00:03:57.000 --> 00:03:59.000]  但更重要的是
[00:03:59.000 --> 00:04:02.000]  當他活在生存空間裏
[00:04:02.000 --> 00:04:04.000]  其實所有事都變得理所當然
[00:04:04.000 --> 00:04:07.000]  直至令到這條魚明白水是一回甚麼事
[00:04:07.000 --> 00:04:10.000]  就是將這條魚從水裏撈上來
[00:04:10.000 --> 00:04:12.000]  他不能呼吸
[00:04:12.000 --> 00:04:14.000]  他不能游動
[00:04:14.000 --> 00:04:17.000]  那種束縛、窒息
[00:04:17.000 --> 00:04:21.000]  魚就會知道甚麼叫水
