
[00:00:00.000 --> 00:00:04.720]  願意繼續聆聽聖道的敬拜
[00:00:04.720 --> 00:00:07.360]  接下來我們會有經訓的時間
[00:00:07.360 --> 00:00:09.520]  今日經訓我會選讀的是
[00:00:09.520 --> 00:00:14.520]  新約聖經約翰福音十二章三十七到五十節
[00:00:14.520 --> 00:00:19.720]  新約聖經約翰福音十二章三十七節
[00:00:19.720 --> 00:00:24.720]  耶穌說了這話就離開他們隱藏了
[00:00:24.720 --> 00:00:29.120]  他雖然在他們面前行了許多神蹟
[00:00:29.120 --> 00:00:32.120]  他們還是不信他
[00:00:32.120 --> 00:00:36.120]  這時要應驗先知以賽亞的話說
[00:00:36.120 --> 00:00:41.120]  主啊,我們所傳的有誰信呢?
[00:00:41.120 --> 00:00:44.120]  主的蚌臂向誰顯露呢?
[00:00:44.120 --> 00:00:46.120]  他們所以不能信
[00:00:46.120 --> 00:00:48.120]  因為以賽亞有說
[00:00:48.120 --> 00:00:52.120]  主叫他們乞了顏了心
[00:00:52.120 --> 00:00:55.120]  免得他們眼睛看見
[00:00:55.120 --> 00:00:58.120]  心裡明白回轉過來
[00:00:58.120 --> 00:01:01.120]  我就醫治他們
[00:01:01.120 --> 00:01:04.120]  以賽亞因為看見他的榮耀
[00:01:04.120 --> 00:01:07.120]  就指著他說這話
[00:01:07.120 --> 00:01:09.120]  雖然如此
[00:01:09.120 --> 00:01:12.120]  官長中卻有好些信他的
[00:01:12.120 --> 00:01:15.120]  只因法利賽人的緣故
[00:01:15.120 --> 00:01:19.120]  就不承認恐怕被趕出會堂
[00:01:19.120 --> 00:01:22.120]  這是因他們愛人的榮耀
[00:01:22.120 --> 00:01:25.120]  過於愛神的榮耀
[00:01:25.120 --> 00:01:30.120]  耶穌大聲說:信我的不是信我
[00:01:30.120 --> 00:01:33.120]  乃是信那差我來的
[00:01:33.120 --> 00:01:38.120]  人看見我就是看見那差我來的
[00:01:38.120 --> 00:01:43.120]  我到世上來乃是光
[00:01:43.120 --> 00:01:47.120]  叫凡信我的不住在黑暗裡
[00:01:47.120 --> 00:01:50.120]  若有人聽見我的話不遵守
[00:01:50.120 --> 00:01:52.120]  我不審判他
[00:01:52.120 --> 00:01:55.120]  我來本來不是要審判世界
[00:01:55.120 --> 00:01:58.120]  乃是要拯救世界
[00:01:58.120 --> 00:02:01.120]  棄絕我不領受我話的人
[00:02:01.120 --> 00:02:03.120]  有審判他的
[00:02:03.120 --> 00:02:06.120]  就是我所說的道
[00:02:06.120 --> 00:02:09.120]  在末日要審判他
[00:02:09.120 --> 00:02:13.120]  因為我沒有憑著自己說
[00:02:13.120 --> 00:02:15.120]  唯有差我來的父
[00:02:15.120 --> 00:02:17.120]  已經給我命令
[00:02:17.120 --> 00:02:20.120]  叫我說什麼說什麼
[00:02:20.120 --> 00:02:24.120]  我也知道他的命令就是永生
[00:02:24.120 --> 00:02:26.120]  故此我所說的話
[00:02:26.120 --> 00:02:30.120]  正是照著父對我所說的
[00:02:50.120 --> 00:02:54.120]  耶穌公開的服侍生涯
[00:02:54.120 --> 00:02:57.120]  傳到醫病趕鬼的結束
[00:02:57.120 --> 00:02:59.120]  從十三章開始
[00:02:59.120 --> 00:03:03.120]  是耶穌的私人教學
[00:03:03.120 --> 00:03:07.120]  對門徒的最後贈言
[00:03:07.120 --> 00:03:09.120]  為他們祝福祈禱
[00:03:09.120 --> 00:03:12.120]  然後接著就是受難的開始
[00:03:12.120 --> 00:03:15.120]  所以其實已經過了三年半
[00:03:15.120 --> 00:03:17.120]  耶穌的生涯
[00:03:17.120 --> 00:03:22.120]  今天我們說的主題是相信
[00:03:22.120 --> 00:03:23.120]  我們說信教
[00:03:23.120 --> 00:03:24.120]  信耶穌
[00:03:24.120 --> 00:03:28.120]  一定是信是最重要的
[00:03:28.120 --> 00:03:30.120]  有關於信的主題
[00:03:30.120 --> 00:03:33.120]  其實我們之前說過好幾次
[00:03:33.120 --> 00:03:38.120]  這個真是約翰福音一個很重要的主題
[00:03:38.120 --> 00:03:40.120]  耶穌在人間說了很多話
[00:03:40.120 --> 00:03:42.120]  但是他最重要的教導
[00:03:42.120 --> 00:03:45.120]  對人最重要的要求
[00:03:45.120 --> 00:03:47.120]  是叫人信祂
[00:03:47.120 --> 00:03:48.120]  注意
[00:03:48.120 --> 00:03:51.120]  信祂不是信祂什麼
[00:03:51.120 --> 00:03:53.120]  不是信祂說的話
[00:03:53.120 --> 00:04:00.120]  不是信祂說死後可以上天堂的應許
[00:04:00.120 --> 00:04:05.120]  不是藉著祂傳的道
[00:04:05.120 --> 00:04:08.120]  去信耶華上帝
[00:04:08.120 --> 00:04:10.120]  或者祂口中的天父上帝
[00:04:10.120 --> 00:04:12.120]  而是直接說
[00:04:12.120 --> 00:04:14.120]  信耶穌自己
[00:04:14.120 --> 00:04:17.120]  信耶穌得永生
[00:04:17.120 --> 00:04:19.120]  基督徒就是信耶穌
[00:04:19.120 --> 00:04:21.120]  不是信一個理論
[00:04:21.120 --> 00:04:25.120]  而是信耶穌基督這個對象
[00:04:25.120 --> 00:04:27.120]  你說沒理由
[00:04:27.120 --> 00:04:28.120]  也是信上帝
[00:04:28.120 --> 00:04:29.120]  為什麼不是信上帝呢
[00:04:29.120 --> 00:04:31.120]  也是信聖經
[00:04:31.120 --> 00:04:32.120]  為什麼不是信聖經呢
[00:04:32.120 --> 00:04:33.120]  是的
[00:04:33.120 --> 00:04:35.120]  不過我們要分到主次
[00:04:35.120 --> 00:04:36.120]  正如你傳福音
