
[00:00:00.000 --> 00:00:04.000]  我們以下要聽神給我們的說話
[00:00:04.000 --> 00:00:06.000]  祂的說話今天記載在
[00:00:06.000 --> 00:00:10.000]  《士道行傳》第二章的三十七節
[00:00:10.000 --> 00:00:12.000]  至到四十七節
[00:00:12.000 --> 00:00:15.000]  《士道行傳》第二章三十七節
[00:00:15.000 --> 00:00:19.000]  眾人聽見者說覺得擇心
[00:00:19.000 --> 00:00:23.000]  就對彼得和其餘的仕途說
[00:00:23.000 --> 00:00:27.000]  弟兄們我們當怎樣肯?
[00:00:27.000 --> 00:00:31.000]  彼得說:你們各人要悔改
[00:00:31.000 --> 00:00:34.000]  奉耶穌基督的名受浸
[00:00:34.000 --> 00:00:36.000]  叫你們的罪得赦
[00:00:36.000 --> 00:00:39.000]  就必領受所賜的聖靈
[00:00:39.000 --> 00:00:44.000]  因為這應許是給你們和你們的兒女
[00:00:44.000 --> 00:00:46.000]  並一切在遠方的人
[00:00:46.000 --> 00:00:49.000]  受事主勸勉我們說
[00:00:49.000 --> 00:00:56.000]  他們說:你們當救自己脫離這彎曲的世代
[00:00:56.000 --> 00:01:00.000]  於是領受他話的人就受了浸
[00:01:00.000 --> 00:01:04.000]  那一天門徒約添了三千人
[00:01:04.000 --> 00:01:08.000]  都恆心遵守仕途的教訓
[00:01:08.000 --> 00:01:12.000]  彼此交接、抹餅、祈禱
[00:01:12.000 --> 00:01:14.000]  眾人都懼怕
[00:01:14.000 --> 00:01:19.000]  仕途又行了許多奇事神蹟
[00:01:19.000 --> 00:01:22.000]  信的人都在一處
[00:01:22.000 --> 00:01:27.000]  繁物公用並且賣掉田產、家業
[00:01:27.000 --> 00:01:31.000]  照各人所需用的分給各人
[00:01:31.000 --> 00:01:35.000]  他們天天同心合意行節的在殿裡
[00:01:35.000 --> 00:01:37.000]  且在家中抹餅
[00:01:37.000 --> 00:01:41.000]  傳著歡喜誠實的心用飯
[00:01:41.000 --> 00:01:45.000]  讚美神、得眾民的喜愛
[00:01:45.000 --> 00:01:49.000]  主張得救的人天天加給他們
[00:01:49.000 --> 00:01:51.000]  聖經獨筆
[00:01:51.000 --> 00:01:53.000]  多謝各位
[00:01:53.000 --> 00:01:59.000]  主席
[00:01:59.000 --> 00:02:01.000]  弟兄姊妹平安
[00:02:01.000 --> 00:02:03.000]  新年夢福
[00:02:03.000 --> 00:02:05.000]  最重要是身體健康
[00:02:05.000 --> 00:02:09.000]  我們每一年都帶著積極的盼望
[00:02:09.000 --> 00:02:12.000]  迎接新的一年來臨
[00:02:12.000 --> 00:02:15.000]  今年我們教會有新裝修
[00:02:15.000 --> 00:02:18.000]  今天兒子一堂,大家很熱鬧
[00:02:18.000 --> 00:02:20.000]  我想起旺角浸信會
[00:02:20.000 --> 00:02:23.000]  旺角真是一個頗旺的地方
[00:02:23.000 --> 00:02:27.000]  所以我新的一年有一個很簡單的願望
[00:02:27.000 --> 00:02:30.000]  希望這個地方的群體旺丁旺財
[00:02:30.000 --> 00:02:33.000]  財不是很多錢的財
[00:02:33.000 --> 00:02:35.000]  是人才輩出的財
[00:02:35.000 --> 00:02:39.000]  希望我們這裡不單得救的人數加添
[00:02:39.000 --> 00:02:41.000]  而且更加有很多弟兄姊妹
[00:02:41.000 --> 00:02:43.000]  很多門徒可以興起
[00:02:43.000 --> 00:02:45.000]  所以我帶著這個心
[00:02:45.000 --> 00:02:48.000]  在聖經裡找一段很興旺的經文
[00:02:48.000 --> 00:02:52.000]  今天這段經文其實不是過年讀的
[00:02:52.000 --> 00:02:56.000]  不過在裡面的意象很識切
[00:02:56.000 --> 00:03:00.000]  我們今天藉著這段經文來彼此互勉
[00:03:00.000 --> 00:03:03.000]  除了用這段經文之外
[00:03:03.000 --> 00:03:06.000]  我今天也很想拋書包
[00:03:06.000 --> 00:03:08.000]  我中文不是很理想,不是很厲害
[00:03:08.000 --> 00:03:11.000]  不過剛才不論聽福音樂曲也好
[00:03:11.000 --> 00:03:13.000]  或者在街上看到
[00:03:13.000 --> 00:03:17.000]  在新年裡面有很多對聯,春聯
[00:03:17.000 --> 00:03:20.000]  那些字寫得很精煉
[00:03:20.000 --> 00:03:23.000]  幾個字就能寫出意境
[00:03:23.000 --> 00:03:26.000]  我再翻查一些舊的書
[00:03:26.000 --> 00:03:28.000]  看看唐詩
[00:03:28.000 --> 00:03:30.000]  很多唐代的詩
[00:03:30.000 --> 00:03:32.000]  其實都是春聯
[00:03:32.000 --> 00:03:34.000]  蘇東坡也有寫
