
[00:00:00.000 --> 00:00:06.100]  今日的經訓是記載在《約翰福音》六章一至十四節
[00:00:06.100 --> 00:00:09.800]  在新約聖經一百三十三頁
[00:00:09.800 --> 00:00:14.100]  這節聖經是記載五餅而儀的神蹟
[00:00:14.100 --> 00:00:19.000]  《約翰福音》六章一節
[00:00:19.000 --> 00:00:23.200]  「這是以後耶穌到過加利利海
[00:00:23.200 --> 00:00:25.700]  就是提比利亞海
[00:00:26.000 --> 00:00:32.600]  有許多人因為看見他在病人身上所行的神蹟
[00:00:32.600 --> 00:00:34.300]  就跟隨他
[00:00:34.300 --> 00:00:36.300]  耶穌上了山
[00:00:36.300 --> 00:00:39.200]  和門徒一同坐在那裡
[00:00:39.200 --> 00:00:43.000]  那時猶太人的如月節近了
[00:00:43.000 --> 00:00:46.400]  耶穌舉目看見許多人來
[00:00:46.400 --> 00:00:48.200]  就對肥力說
[00:00:48.200 --> 00:00:50.700]  我們從那裡買餅
[00:00:50.700 --> 00:00:52.600]  叫這些人吃呢
[00:00:53.100 --> 00:00:56.100]  他說者說是要試驗肥力
[00:00:56.100 --> 00:00:59.600]  他自己原是知道要怎樣行
[00:00:59.600 --> 00:01:01.600]  肥力回答說
[00:01:01.600 --> 00:01:04.400]  就是二十兩銀子的餅
[00:01:04.400 --> 00:01:08.000]  叫他們各人吃一點也是不夠的
[00:01:08.000 --> 00:01:09.600]  有一個門徒
[00:01:09.600 --> 00:01:13.200]  就是西門彼得的兄弟安德烈
[00:01:13.200 --> 00:01:14.700]  對耶穌說
[00:01:14.700 --> 00:01:17.100]  在這裡有一個孩童
[00:01:17.100 --> 00:01:19.400]  戴著五個大麥餅
[00:01:19.400 --> 00:01:20.700]  兩條羽
[00:01:20.900 --> 00:01:23.100]  只是分給這許多人
[00:01:23.100 --> 00:01:24.900]  還算什麼呢
[00:01:24.900 --> 00:01:26.300]  耶穌說
[00:01:26.300 --> 00:01:28.600]  你們叫眾人坐下
[00:01:28.600 --> 00:01:31.800]  原來那地方的數很多
[00:01:31.800 --> 00:01:33.700]  眾人就坐下
[00:01:33.700 --> 00:01:36.000]  數目約有五千
[00:01:36.000 --> 00:01:39.000]  耶穌拿起餅來捉著了
[00:01:39.000 --> 00:01:41.300]  就分給那坐著的人
[00:01:41.300 --> 00:01:43.500]  分魚也是這樣
[00:01:43.500 --> 00:01:46.000]  都隨著他們所要的
[00:01:46.000 --> 00:01:47.800]  他們吃飽了
[00:01:47.800 --> 00:01:49.800]  耶穌對門徒說
[00:01:50.000 --> 00:01:52.600]  把靜下的靈髓收拾起來
[00:01:52.600 --> 00:01:54.400]  免得有糟蹋的
[00:01:54.400 --> 00:01:58.300]  他們便將那五個大麥餅的靈髓
[00:01:58.300 --> 00:02:01.200]  就是眾人吃了靜下的
[00:02:01.200 --> 00:02:02.600]  收拾起來
[00:02:02.600 --> 00:02:05.100]  裝滿了十二個籃子
[00:02:05.100 --> 00:02:08.300]  眾人看見耶穌所行的神蹟
[00:02:08.300 --> 00:02:09.400]  就說
[00:02:09.400 --> 00:02:13.700]  這真是那要到這世間來的先知
[00:02:14.700 --> 00:02:16.700]  (字幕:陳志全)
[00:02:16.700 --> 00:02:23.500]  鄧炳智,早安
[00:02:23.500 --> 00:02:26.900]  今天我都有點擔心
[00:02:26.900 --> 00:02:28.000]  今天講的道
[00:02:28.000 --> 00:02:30.900]  不容易有共鳴
[00:02:30.900 --> 00:02:33.100]  上一篇道比較複雜
[00:02:33.100 --> 00:02:34.700]  因為講的是神學性的東西
[00:02:34.700 --> 00:02:37.900]  大家可能在理解上有些困難
[00:02:37.900 --> 00:02:39.300]  今天講的東西很簡單
[00:02:39.300 --> 00:02:40.400]  淺到不得了
[00:02:40.400 --> 00:02:41.500]  大家一定明白
[00:02:41.500 --> 00:02:42.500]  不過
[00:02:42.700 --> 00:02:45.900]  我猜六十歲以下
[00:02:45.900 --> 00:02:48.500]  或者家境比較豐裕的
[00:02:48.500 --> 00:02:49.700]  都不知道我講什麼
[00:02:49.700 --> 00:02:52.300]  大家聽聽便知道了
[00:02:52.300 --> 00:02:54.700]  這是五餅二魚的神蹟
[00:02:54.700 --> 00:02:56.200]  我很熟悉的
[00:02:56.200 --> 00:02:58.800]  耶穌基督在人間所行
