
[00:00:00.000 --> 00:00:03.360]  《約書亞記》14章6到15節
[00:00:03.360 --> 00:00:09.280]  大家可以打開舊約的280頁
[00:00:09.280 --> 00:00:13.800]  請聽我讀出
[00:00:13.800 --> 00:00:22.320]  那時猶大人來到吉甲見約書亞
[00:00:22.320 --> 00:00:29.080]  有基里族耶夫尼的兒子加納對約書亞說
[00:00:30.080 --> 00:00:35.160]  耶和華在加底斯巴利亞指著我
[00:00:35.160 --> 00:00:39.720]  與你對神人摩西所說的話
[00:00:39.720 --> 00:00:41.960]  你都知道了
[00:00:41.960 --> 00:00:45.360]  耶和華的僕人摩西
[00:00:45.360 --> 00:00:51.720]  從加底斯巴利亞打發我窺探者地
[00:00:51.720 --> 00:00:55.000]  那時我正四十歲
[00:00:55.000 --> 00:00:58.800]  我按著心意回報他
[00:00:59.680 --> 00:01:00.520]  然而
[00:01:00.520 --> 00:01:05.600]  和我上去的眾弟兄使百姓的心消化
[00:01:05.600 --> 00:01:10.160]  但我專心跟從耶和華我的神
[00:01:10.160 --> 00:01:13.880]  當日摩西起誓說
[00:01:13.880 --> 00:01:16.520]  你腳踏之地
[00:01:16.520 --> 00:01:21.520]  定要歸你和你的子孫永遠為業
[00:01:21.520 --> 00:01:25.960]  因為你專心跟從耶和華我的神
[00:01:27.400 --> 00:01:31.200]  自從耶和華對摩西說這話的時候
[00:01:31.200 --> 00:01:34.720]  摩西照他所應許的
[00:01:34.720 --> 00:01:38.560]  使我存活這四十五年
[00:01:38.560 --> 00:01:44.800]  期間以色列人在曠野行走
[00:01:44.800 --> 00:01:46.280]  可那
[00:01:46.280 --> 00:01:53.160]  我現今我八十五歲了
[00:01:54.000 --> 00:01:55.520]  我還是強壯
[00:01:55.520 --> 00:02:00.560]  像摩西打發我的那天一樣
[00:02:00.560 --> 00:02:04.760]  無論是增節是出入
[00:02:04.760 --> 00:02:07.600]  我的力量那時如何
[00:02:07.600 --> 00:02:09.800]  現在還是如何
[00:02:09.800 --> 00:02:13.360]  求你將耶和華那日
[00:02:13.360 --> 00:02:16.480]  應許我的這山地給我
[00:02:16.480 --> 00:02:19.600]  那裡有阿納族人
[00:02:19.600 --> 00:02:22.800]  並寬大堅固的城
[00:02:23.800 --> 00:02:25.600]  你也曾聽見了
[00:02:25.600 --> 00:02:29.240]  或者耶和華照他所應許的
[00:02:29.240 --> 00:02:31.920]  與我同在
[00:02:31.920 --> 00:02:35.560]  我就把他們趕出去
[00:02:35.560 --> 00:02:41.960]  於是約書亞為耶夫尼的兒子加納祝福
[00:02:41.960 --> 00:02:45.920]  將希伯倫給他為業
[00:02:45.920 --> 00:02:50.000]  所以希伯倫作了基尼洗族
[00:02:50.440 --> 00:02:54.200]  耶夫尼的兒子加納為的產業
[00:02:54.200 --> 00:02:55.600]  直到今日
[00:02:55.600 --> 00:03:00.160]  因為他專心跟從耶和華以色列的神
[00:03:00.160 --> 00:03:05.960]  希伯倫從前名叫基列阿爸
[00:03:05.960 --> 00:03:10.920]  阿爸是阿納族中最尊大的人
[00:03:10.920 --> 00:03:13.720]  於是國中太平
[00:03:13.720 --> 00:03:16.640]  沒有戰爭爭前了
