
[00:00:00.000 --> 00:00:02.800]  現在讓我們聆聽一段經文
[00:00:02.800 --> 00:00:05.840]  經文是記載在《馬可福音》第十二章
[00:00:05.840 --> 00:00:10.320]  第十八節至到第二十七節
[00:00:10.320 --> 00:00:14.200]  請聽我讀出這段經文
[00:00:14.200 --> 00:00:17.280]  「撒都該人常說沒有復活的事
[00:00:17.280 --> 00:00:19.760]  他們來問耶穌說
[00:00:19.760 --> 00:00:22.960]  夫子,莫使為我們寫著說
[00:00:22.960 --> 00:00:27.080]  人若死了,撇下妻子,沒有孩子
[00:00:27.080 --> 00:00:33.600]  他兄弟當娶他的妻,為哥哥生子立後
[00:00:33.600 --> 00:00:35.480]  有弟兄七人
[00:00:35.480 --> 00:00:39.760]  第一個娶了妻,死了,沒有留下孩子
[00:00:39.760 --> 00:00:44.400]  第二個娶了他,也死了,沒有留下孩子
[00:00:44.400 --> 00:00:46.640]  第三個也是這樣
[00:00:46.640 --> 00:00:50.440]  那七個人都沒有留下兒子
[00:00:50.440 --> 00:00:53.520]  沒了那婦人也死了
[00:00:53.520 --> 00:00:57.720]  當復活的時候,她是哪一個的妻子呢?
[00:00:57.720 --> 00:01:01.400]  因為他們七個人都娶過她
[00:01:01.400 --> 00:01:05.040]  耶穌說:你們所以錯了
[00:01:05.040 --> 00:01:07.640]  豈不是因為不明白聖經
[00:01:07.640 --> 00:01:10.840]  不曉得神的大能嗎?
[00:01:10.840 --> 00:01:14.520]  人從死裡復活,也不娶也不嫁
[00:01:14.520 --> 00:01:17.280]  乃像天上的使者一樣
[00:01:17.280 --> 00:01:18.840]  輪到死人復活
[00:01:18.840 --> 00:01:23.120]  你們沒有念過摩西的書經的篇上所載的嗎?
[00:01:23.120 --> 00:01:26.840]  神對摩西說:我是阿伯拉罕的神
[00:01:26.840 --> 00:01:29.800]  以撒的神,瓦國的神
[00:01:29.800 --> 00:01:34.680]  神不是死人的神,乃是活人的神
[00:01:34.680 --> 00:01:38.040]  你們是大錯了
[00:01:38.040 --> 00:01:41.120]  今天為我們宣講這段經文的
[00:01:41.120 --> 00:01:44.440]  是銀行團契的總幹事陳啟興牧師
[00:01:44.440 --> 00:01:47.360]  幾天之後就不再叫銀行團契了
[00:01:47.360 --> 00:01:50.240]  就叫做金融業福音團契
[00:01:50.240 --> 00:01:51.560]  無論怎樣也好
[00:01:51.560 --> 00:01:54.120]  他們都希望將他們的
[00:01:54.120 --> 00:01:56.560]  傳福音的領域一直擴展
[00:01:56.560 --> 00:01:59.720]  昔日由銀行的團隊
[00:01:59.720 --> 00:02:03.000]  接下來就會擴充到整個金融業
[00:02:03.000 --> 00:02:04.880]  我不阻礙時間了
[00:02:04.880 --> 00:02:07.040]  現在將時間交給陳啟興牧師
[00:02:07.040 --> 00:02:09.520]  為我們宣講今天的主題
[00:02:09.520 --> 00:02:11.520]  復活的大能
[00:02:11.520 --> 00:02:27.720]  (主持人:各位在現場的弟兄姊妹早安)
[00:02:27.720 --> 00:02:31.720]  (很感恩再一次有機會在旺朕)
[00:02:31.720 --> 00:02:34.000]  (分享神的話語)
[00:02:34.000 --> 00:02:38.080]  (其實我在主日講道)
[00:02:38.080 --> 00:02:42.920]  (很少教會找同工招呼講完)
[00:02:42.920 --> 00:02:44.360]  (這個很少)
[00:02:44.360 --> 00:02:46.040]  (我知道在這個星期)
[00:02:46.040 --> 00:02:48.520]  (旺朕的同工會已決)
[00:02:48.520 --> 00:02:50.520]  (找一個同工招呼講完)
[00:02:50.520 --> 00:02:53.560]  (特別很感謝旺朕)
[00:02:53.560 --> 00:02:56.840]  (這個很窩心的安排)
[00:02:56.840 --> 00:02:58.840]  (雖然最後還是要我請)
[00:02:58.840 --> 00:03:02.120]  (好我們重新禱告)
[00:03:02.120 --> 00:03:05.840]  (主我們很感謝你)
[00:03:05.840 --> 00:03:08.200]  (我們怎麼都想不到)
[00:03:08.200 --> 00:03:11.840]  (你會到繩肉身來到這個世界)
[00:03:11.840 --> 00:03:13.720]  (我們更加驚訝)
[00:03:13.720 --> 00:03:17.680]  (無法想像你為我們死)
[00:03:17.680 --> 00:03:19.200]  (讓我們有生命)
[00:03:19.200 --> 00:03:22.200]  (讓我們有復活的盼望)
[00:03:22.200 --> 00:03:23.760]  (我們有永生)
[00:03:23.760 --> 00:03:26.440]  (主你這個復活的大能)
[00:03:26.440 --> 00:03:28.960]  (深深觸動和影響我們)
[00:03:28.960 --> 00:03:30.800]  (讓我們今天的生命)
[00:03:30.800 --> 00:03:35.720]  (能夠反映和回應我們的永生)
[00:03:35.720 --> 00:03:39.040]  (主求你用你的話語去幫助我們)
[00:03:39.040 --> 00:03:41.600]  (我們同心禱告仰望)
[00:03:41.600 --> 00:03:44.000]  (奉耶穌基督的聖名)
[00:03:44.000 --> 00:03:45.000]  (阿們)
[00:03:45.000 --> 00:03:48.840]  (在有一年的復活節期間)
[00:03:48.840 --> 00:03:52.120]  (有一對香港夫婦)
[00:03:52.120 --> 00:03:55.240]  (跟了一個旅行團去到聖地)
[00:03:55.240 --> 00:03:56.920]  (他們不是基督徒)
[00:03:56.920 --> 00:04:00.240]  (他們純粹去旅行觀光)
[00:04:00.240 --> 00:04:04.120]  (誰知道在耶路撒冷發生了一個意外)
