
[00:00:00.000 --> 00:00:05.000]  讓我們繼續專注在耶穌基督的話語身上
[00:00:05.000 --> 00:00:08.000]  讓我們跟祂聆聽
[00:00:08.000 --> 00:00:11.000]  《楊樓福音》一章一至十八節
[00:00:11.000 --> 00:00:14.000]  經文裡面是這樣對我們說
[00:00:14.000 --> 00:00:21.000]  「太初有道,道與神同在,道就是神」
[00:00:21.000 --> 00:00:27.000]  「這道太初與神同在,萬物是藉著他做的」
[00:00:28.000 --> 00:00:32.000]  「萬被造的,沒有一樣不是藉著他做的」
[00:00:32.000 --> 00:00:37.000]  「生命在他裡頭,這生命就是人的光」
[00:00:37.000 --> 00:00:42.000]  「光照在黑暗裡,黑暗卻不接受光」
[00:00:42.000 --> 00:00:49.000]  「有一個人是從神那裡差來的,名叫約翰」
[00:00:49.000 --> 00:00:55.000]  「這人來,為要作見證,就是為光作見證」
[00:00:56.000 --> 00:00:58.000]  「叫眾人因他可以信」
[00:00:58.000 --> 00:01:03.000]  「他不是那光,乃是要為光作見證」
[00:01:03.000 --> 00:01:09.000]  「那光是真光,照亮一切生在世上的人」
[00:01:09.000 --> 00:01:15.000]  「他在世界,世界也是藉著他做的」
[00:01:15.000 --> 00:01:18.000]  「世界卻不認識他」
[00:01:18.000 --> 00:01:24.000]  「他到自己的地方來,自己的人都不接待他」
[00:01:25.000 --> 00:01:28.000]  「凡接待他的,就是信他名的人」
[00:01:28.000 --> 00:01:32.000]  「他就賜他們權柄,作神的兒女」
[00:01:32.000 --> 00:01:35.000]  「這等人不是從血氣生的」
[00:01:35.000 --> 00:01:38.000]  「不是從情慾生的」
[00:01:38.000 --> 00:01:43.000]  「也不是從仁義生的,乃是從神生的」
[00:01:43.000 --> 00:01:48.000]  「道成了肉身,住在我們中間」
[00:01:48.000 --> 00:01:51.000]  「充充滿滿的有恩典,有真理」
[00:01:52.000 --> 00:01:58.000]  「我們也見過他的榮光,正是父獨身子的榮光」
[00:01:58.000 --> 00:02:03.000]  「約翰為他作見證,堪著說」
[00:02:03.000 --> 00:02:07.000]  「這就是我曾說,那在我以後來的」
[00:02:07.000 --> 00:02:13.000]  「反成了在我以前的,因他本在我以前」
[00:02:13.000 --> 00:02:18.000]  「從他豐盛的恩典裡,我們都領受了」
[00:02:18.000 --> 00:02:21.000]  「而且因上加恩」
[00:02:22.000 --> 00:02:25.000]  「律法本是藉著摩西傳的」
[00:02:25.000 --> 00:02:29.000]  「恩典和真理都是由耶穌基督來的」
[00:02:29.000 --> 00:02:32.000]  「從來沒有人看見神」
[00:02:32.000 --> 00:02:38.000]  「只有在父懷裡的獨生子,將他顯明出來」
[00:02:38.000 --> 00:02:42.000]  今天繼續有梁家倫牧師在我們當中
[00:02:42.000 --> 00:02:44.000]  分享約翰福音的第二講
[00:02:44.000 --> 00:02:48.000]  講題是「施洗約翰的見證」
