
[00:00:00.000 --> 00:00:02.680]  各位朋友大家好
[00:00:02.680 --> 00:00:07.240]  很高興今晚能夠藉著網絡
[00:00:07.240 --> 00:00:10.960]  藉著電腦或者手機平台跟大家聊聊天
[00:00:10.960 --> 00:00:15.280]  剛才我們聽了劉牧師講他的見證
[00:00:15.280 --> 00:00:18.000]  一個高低起跌
[00:00:18.000 --> 00:00:21.280]  很戲劇性的故事
[00:00:21.280 --> 00:00:23.760]  其實是很豐富
[00:00:23.760 --> 00:00:25.440]  很精彩的
[00:00:25.440 --> 00:00:32.280]  或者我們沒有經過大的考驗磨難
[00:00:32.280 --> 00:00:34.840]  可能我們的故事沒有那麼大起大跌
[00:00:34.840 --> 00:00:36.520]  沒有那麼戲劇性
[00:00:36.520 --> 00:00:40.160]  不過其實我們的故事都同樣精彩
[00:00:40.160 --> 00:00:45.960]  不過我們比較少為自己過去的日子
[00:00:45.960 --> 00:00:47.920]  做一些這樣的創作
[00:00:47.920 --> 00:00:53.080]  包在一起串連一個大的故事
[00:00:53.080 --> 00:00:54.600]  做一個療痕
[00:00:54.600 --> 00:00:59.600]  今天因為劉牧師的見證
[00:00:59.600 --> 00:01:04.520]  所以我會順著大會的主題
[00:01:04.520 --> 00:01:06.320]  漢不見日祝福
[00:01:06.320 --> 00:01:08.040]  來跟大家分享
[00:01:08.040 --> 00:01:10.600]  對我來說這個題目其實有點特別
[00:01:10.600 --> 00:01:15.480]  我試著跟這個題目去聊
[00:01:15.480 --> 00:01:18.800]  有點像寫作文的感覺
[00:01:18.800 --> 00:01:22.320]  我們先看看漢見這個字
[00:01:22.320 --> 00:01:27.520]  這個世代其實是一個超級相信眼睛
[00:01:27.520 --> 00:01:29.720]  依賴眼睛的世界
[00:01:29.720 --> 00:01:31.840]  是資訊爆炸的時代
[00:01:31.840 --> 00:01:33.720]  什麼資訊什麼主題
[00:01:33.720 --> 00:01:35.920]  你都可以在網絡找到
[00:01:35.920 --> 00:01:41.520]  你想炒碟麵
[00:01:41.520 --> 00:01:43.800]  有十條youtube教你
[00:01:43.800 --> 00:01:45.800]  有什麼秘訣可以炒得好
[00:01:45.800 --> 00:01:47.800]  什麼主題你都找到
[00:01:47.800 --> 00:01:50.320]  並且在任何角落
[00:01:50.320 --> 00:01:53.080]  你會發現都有一些植入式的廣告
[00:01:53.080 --> 00:01:56.840]  有人刻意要傳遞訊息給你
[00:01:56.840 --> 00:01:59.920]  我們接收了太多不同的資訊
[00:01:59.920 --> 00:02:01.200]  不同的言論
[00:02:01.200 --> 00:02:04.640]  言人人樹真真假假
[00:02:04.640 --> 00:02:07.560]  所以我們慢慢學乖了
[00:02:07.560 --> 00:02:10.720]  我們拒絕輕易相信別人的意見
[00:02:10.720 --> 00:02:13.240]  我們要求自己親眼看
[00:02:13.240 --> 00:02:15.520]  親自查證
[00:02:15.520 --> 00:02:19.120]  聽和讀其實不可靠的
[00:02:19.120 --> 00:02:22.320]  看得見的才是真的
[00:02:22.320 --> 00:02:26.920]  這種相信自己眼睛的認定
[00:02:26.920 --> 00:02:29.920]  很多時候是對的
[00:02:29.920 --> 00:02:33.720]  現在流行買海外物業
[00:02:33.720 --> 00:02:37.120]  如果你沒時間親自去當地看
[00:02:37.120 --> 00:02:39.840]  你緊緊透過香港的代理
[00:02:39.840 --> 00:02:41.840]  或者看video
[00:02:41.840 --> 00:02:43.640]  做投資決定
[00:02:43.640 --> 00:02:47.640]  你被騙的機會是七成以上
[00:02:47.640 --> 00:02:53.120]  如果你想藉著網上的社交平台去找朋友
[00:02:53.120 --> 00:02:55.640]  你認識了一個三十多歲
[00:02:55.640 --> 00:03:00.520]  又高大又帥又溫柔的單身醫生
[00:03:00.520 --> 00:03:02.920]  你希望和他結成伴侶
[00:03:02.920 --> 00:03:05.120]  你被騙的機會是多少?
[00:03:05.120 --> 00:03:07.120]  100%
[00:03:07.120 --> 00:03:08.640]  沒什麼僥倖的
[00:03:08.640 --> 00:03:12.120]  這個世界怎會還有損盤
[00:03:12.120 --> 00:03:14.720]  投資界的巨人巴菲特
[00:03:14.720 --> 00:03:16.200]  大家認識他吧
[00:03:16.200 --> 00:03:17.800]  你認識他多過認識我
[00:03:17.800 --> 00:03:19.400]  有一句名言
[00:03:19.400 --> 00:03:22.000]  我一直相信我自己的眼睛
[00:03:22.000 --> 00:03:25.200]  遠勝於其他一切
[00:03:25.200 --> 00:03:27.800]  I always believe my own eyes
[00:03:27.800 --> 00:03:30.400]  always far better than the other
[00:03:30.400 --> 00:03:33.200]  我相信自己的眼睛
[00:03:33.200 --> 00:03:35.720]  媽媽從小就教我們
[00:03:35.720 --> 00:03:38.600]  大眼識人
[00:03:38.600 --> 00:03:41.400]  我們的眼睛是否不會騙我們自己呢?
[00:03:41.400 --> 00:03:43.800]  我們是否每件事都會看得正確呢?
[00:03:43.800 --> 00:03:45.200]  也不是吧
[00:03:45.200 --> 00:03:46.800]  我們時時看錯了
[00:03:46.800 --> 00:03:48.600]  也時時做錯了決定
[00:03:48.600 --> 00:03:50.800]  我們叫做 fooling ourselves
[00:03:50.800 --> 00:03:52.200]  自己騙自己
[00:03:52.200 --> 00:03:53.800]  不說其他
[00:03:53.800 --> 00:03:56.200]  你去服裝店
[00:03:56.200 --> 00:03:58.400]  自己挑選回來的衣服
[00:03:58.400 --> 00:04:01.800]  很多時候買回家後都沒有拆袋
[00:04:01.800 --> 00:04:03.600]  連穿的動機都沒有
[00:04:03.600 --> 00:04:05.400]  最後要收拾衣櫃
[00:04:05.400 --> 00:04:09.800]  就連同包裝一起丟掉
[00:04:09.800 --> 00:04:13.000]  我們自己選伴侶
[00:04:13.000 --> 00:04:15.600]  不是盲婚丫架吧
[00:04:15.600 --> 00:04:18.600]  不是父母幫我們做決定吧
[00:04:18.600 --> 00:04:21.000]  不過這一代的離婚率
[00:04:21.000 --> 00:04:24.200]  是遠遠高於上一代
[00:04:24.200 --> 00:04:27.600]  我們不常常做對的決定
[00:04:27.600 --> 00:04:29.800]  我們貴買便宜賣
[00:04:29.800 --> 00:04:32.600]  入市出貨的時機
[00:04:32.600 --> 00:04:34.400]  總是拿捏得不對
[00:04:34.400 --> 00:04:36.400]  我們跟隨我們的感覺走
[00:04:36.400 --> 00:04:37.600]  一時衝動
[00:04:37.600 --> 00:04:39.000]  總是盲目的
[00:04:39.000 --> 00:04:41.800]  我這種人不適宜做投資
[00:04:41.800 --> 00:04:44.000]  因為我是盲目的
[00:04:44.000 --> 00:04:47.800]  不過雖然是這樣
[00:04:47.800 --> 00:04:48.800]  我們總是覺得
[00:04:48.800 --> 00:04:49.800]  我們自己看
[00:04:49.800 --> 00:04:51.200]  自己做選擇
[00:04:51.200 --> 00:04:55.200]  就算選錯了也無所謂
[00:04:55.200 --> 00:04:58.200]  這是一個強調自我的世代
[00:04:58.200 --> 00:04:59.800]  我走我的路
[00:04:59.800 --> 00:05:01.800]  我為我一生負責
[00:05:01.800 --> 00:05:03.600]  只要我自己做決定
[00:05:03.600 --> 00:05:05.800]  就算是錯的也是對的
[00:05:05.800 --> 00:05:08.200]  如果由別人幫我做決定
[00:05:08.200 --> 00:05:09.800]  對也不好玩
[00:05:09.800 --> 00:05:10.600]  不要
[00:05:10.600 --> 00:05:13.200]  這叫做自我決定
[00:05:13.200 --> 00:05:15.400]  我們很多時候
[00:05:15.400 --> 00:05:18.000]  有機會跟年輕一代聊天
[00:05:18.000 --> 00:05:19.400]  勸一個年輕人
