
[00:00:00.000 --> 00:00:06.000]  今日聆聽的聖道是記載在約翰福音十二章第一至第八節
[00:00:06.000 --> 00:00:10.000]  在新約聖經一百四十五頁
[00:00:10.000 --> 00:00:18.000]  如月節前六日,耶穌來到伯大利
[00:00:18.000 --> 00:00:24.000]  就是他叫拉撒路從死裡復活之處
[00:00:24.000 --> 00:00:28.000]  有人在那裡給耶穌預備筵席
[00:00:28.000 --> 00:00:35.000]  馬大侍候,拉撒路也在那和耶穌坐直的人中
[00:00:35.000 --> 00:00:40.000]  瑪利亞就拿著一斤極貴的珍拿達香膏
[00:00:40.000 --> 00:00:45.000]  撥耶穌的腳,又用自己頭髮去擦
[00:00:45.000 --> 00:00:49.000]  屋裡就滿了高的香氣
[00:00:49.000 --> 00:00:55.000]  有一個門徒,就是那將要罵耶穌的加略人猶大
[00:00:55.000 --> 00:01:03.000]  說:這香膏為什麼不賣三十兩銀子周濟窮人呢?
[00:01:03.000 --> 00:01:10.000]  他說者說:並不是掛念窮人,乃因他是個賊
[00:01:10.000 --> 00:01:15.000]  又帶著錢囊,尚取其中所存的
[00:01:15.000 --> 00:01:22.000]  耶穌說:猶他吧,他是為我安葬之日存留的
[00:01:22.000 --> 00:01:26.000]  因為常有窮人和你們同在
[00:01:26.000 --> 00:01:30.000]  只是你們不常有我
[00:01:30.000 --> 00:01:39.000]  各位聽眾朋友,新年快樂
[00:01:39.000 --> 00:01:50.000]  我們來到耶穌基督在人間的生涯最後
[00:01:50.000 --> 00:01:53.000]  和最重要的一個星期
[00:01:53.000 --> 00:01:55.000]  耶穌再次來到伯大利
[00:01:55.000 --> 00:02:00.000]  這是祂前往耶路撒冷的必經之地
[00:02:00.000 --> 00:02:04.000]  此行祂即將面對的是十字架的犧牲
[00:02:04.000 --> 00:02:07.000]  這是《約翰福音》第十二章
[00:02:07.000 --> 00:02:13.000]  你會發現,司徒約翰用了整本福音書
[00:02:13.000 --> 00:02:15.000]  差不多一半的篇幅
[00:02:15.000 --> 00:02:19.000]  來記載耶穌人間生涯最後一個星期
[00:02:19.000 --> 00:02:23.000]  一個星期用一半的篇幅,十幾章來記載
[00:02:23.000 --> 00:02:25.000]  比例是很大的
[00:02:25.000 --> 00:02:29.000]  和其他福音書比較,也是最高的比例
[00:02:29.000 --> 00:02:31.000]  顯示對約翰來說
[00:02:31.000 --> 00:02:33.000]  耶穌預備上十字架的事件
[00:02:33.000 --> 00:02:36.000]  比任何其他事蹟都更重要
[00:02:36.000 --> 00:02:38.000]  耶穌在這個星期的言行
[00:02:38.000 --> 00:02:40.000]  對門徒的教導
[00:02:40.000 --> 00:02:44.000]  在他心中也留下了最深刻的印象
[00:02:44.000 --> 00:02:48.000]  耶穌走上十字架道路的第一個事件
[00:02:48.000 --> 00:02:50.000]  是瑪利亞告末祂
[00:02:50.000 --> 00:02:55.000]  接著才是終之星期日,就是Palm Sunday
[00:02:55.000 --> 00:02:58.000]  他榮耀進入耶路撒冷
[00:02:58.000 --> 00:03:03.000]  聖經一開始說,預節前六日
[00:03:03.000 --> 00:03:06.000]  也就是耶穌死前一個星期
[00:03:06.000 --> 00:03:11.000]  在伯大利,耶穌和門徒一起參與一場的筵席
[00:03:11.000 --> 00:03:15.000]  約翰沒有說這場筵席是誰主持
[00:03:15.000 --> 00:03:20.000]  不過記載相類似故事的馬可和馬太
[00:03:20.000 --> 00:03:25.000]  說明這個筵席是設在長大麻風西門的家
[00:03:25.000 --> 00:03:33.000]  奇怪的是,馬太和馬可記載了長大麻風西門
[00:03:33.000 --> 00:03:35.000]  即是說那個筵席的主人的名字
[00:03:35.000 --> 00:03:39.000]  但是沒有提到馬大瑪利亞拉撒路一家的名字
[00:03:39.000 --> 00:03:43.000]  連要告末耶穌的瑪利亞的名字都沒有提到
[00:03:43.000 --> 00:03:46.000]  只是說有一個女人做了這樣的事
[00:03:46.000 --> 00:03:50.000]  所以各自留記了一些我覺得都很奇怪的事
[00:03:50.000 --> 00:03:54.000]  為什麼會不記馬利亞的名字呢?
[00:03:54.000 --> 00:04:01.000]  這場筵席或許是為了慶祝拉撒路從死裡復生而設的
[00:04:01.000 --> 00:04:04.000]  所以約翰註明拉撒路也在席間
[00:04:04.000 --> 00:04:08.000]  當時的社會其實並不平等,男女不平等
[00:04:08.000 --> 00:04:11.000]  女性通常是不能參與筵席的
[00:04:11.000 --> 00:04:18.000]  所以馬大就以幫忙接待客人的身份出現在現場
[00:04:18.000 --> 00:04:21.000]  瑪利亞就完全沒有角色
[00:04:21.000 --> 00:04:27.000]  在這個時候耶路撒冷的工會已經下達要逮捕耶穌的命令
[00:04:27.000 --> 00:04:31.000]  所以耶穌的朋友,就是長大麻風的西門
[00:04:31.000 --> 00:04:37.000]  願意公開接待他,不可以說是很有勇氣的
[00:04:37.000 --> 00:04:42.000]  即使參加筵席的其他賓客,也很可能會受株連
[00:04:42.000 --> 00:04:46.000]  在故事的結尾,約翰記述第十節
[00:04:46.000 --> 00:04:50.000]  但祭司長商議連拉撒路也要殺了
[00:04:50.000 --> 00:04:54.000]  所以凡是跟耶穌有聯繫的人
[00:04:54.000 --> 00:04:56.000]  都要面對猶太領袖的迫害
[00:04:56.000 --> 00:05:00.000]  風聲鶴唳,山雨欲來風滿流
[00:05:00.000 --> 00:05:04.000]  在筵席間,馬利亞就出場了
[00:05:04.000 --> 00:05:09.000]  第三節說,馬利亞拿著一斤極貴的珍拿達香膏
[00:05:09.000 --> 00:05:13.000]  抹耶穌的腳,又用自己的頭髮去擦
[00:05:13.000 --> 00:05:17.000]  屋內就滿了膏的香氣
[00:05:17.000 --> 00:05:20.000]  這是一個極其不尋常的行動
[00:05:20.000 --> 00:05:23.000]  馬利亞為什麼要這樣做呢?
[00:05:23.000 --> 00:05:28.000]  你說她愛耶穌,你只說她愛耶穌,其實不足夠解釋
[00:05:28.000 --> 00:05:30.000]  你們都愛我是嗎?
[00:05:30.000 --> 00:05:34.000]  你們有沒有將所有的香水倒在我的腳上?
[00:05:34.000 --> 00:05:37.000]  不要說一斤或一瓶,一滴都沒有
[00:05:37.000 --> 00:05:40.000]  你們苦心自問,你們是不是很不愛心?
[00:05:40.000 --> 00:05:45.000]  不要說香水,倒一瓶生抽也好
[00:05:45.000 --> 00:05:49.000]  十年八輩都捨不得
[00:05:49.000 --> 00:05:54.000]  所以愛跟她做這件事沒有必然的關係
[00:05:54.000 --> 00:05:57.000]  多數識經者都主張
[00:05:57.000 --> 00:06:02.000]  馬利亞是相信耶穌即將被殺死亡
[00:06:02.000 --> 00:06:04.000]  然後她決定這樣做
[00:06:04.000 --> 00:06:09.000]  預先膏耶穌尚未死亡的身體
[00:06:09.000 --> 00:06:11.000]  這也是耶穌說的第七節
[00:06:11.000 --> 00:06:15.000]  七世為我安葬之日存留的
[00:06:15.000 --> 00:06:20.000]  一般來說,香膏是膏在屍體的身上
[00:06:20.000 --> 00:06:25.000]  但是馬利亞想,這個小女子應該沒有機會參加耶穌的葬禮
[00:06:25.000 --> 00:06:28.000]  不如就預先做這件事
[00:06:28.000 --> 00:06:32.000]  圓一個心願,表達對耶穌的敬意
[00:06:32.000 --> 00:06:35.000]  身後事變成身前事
[00:06:35.000 --> 00:06:38.000]  做法是極其不道地的
[00:06:38.000 --> 00:06:42.000]  不過可以勉強理解
[00:06:42.000 --> 00:06:47.000]  耶穌在這件事之前的好幾個場合
[00:06:47.000 --> 00:06:52.000]  都預告了祂即將面對被釘十字架的命運
[00:06:52.000 --> 00:06:58.000]  但是在約翰福音就有三章十四節,八章二十八節,十章十一節,十五節
[00:06:58.000 --> 00:07:01.000]  其他福音書記載的就更多了
[00:07:01.000 --> 00:07:06.000]  例如在出發前往耶路撒冷之前
[00:07:06.000 --> 00:07:09.000]  就是沒多久前發生的事
[00:07:09.000 --> 00:07:12.000]  耶穌就對門徒做了一個預告
[00:07:12.000 --> 00:07:14.000]  在馬福音十章三十三到三十四節說
[00:07:14.000 --> 00:07:16.000]  看吧,我不想耶路撒冷去
[00:07:16.000 --> 00:07:20.000]  人子將要被交給祭司長和文士
[00:07:20.000 --> 00:07:21.000]  他們要定他的死罪
[00:07:21.000 --> 00:07:23.000]  交給外邦人他們要戲弄他
[00:07:23.000 --> 00:07:27.000]  吐唾沫在他臉上鞭打他殺害他
[00:07:27.000 --> 00:07:30.000]  過了三天他要復活
[00:07:30.000 --> 00:07:33.000]  這個預告不可以說不詳盡
[00:07:33.000 --> 00:07:39.000]  連他要受怎樣的苦都有清楚說明
[00:07:39.000 --> 00:07:46.000]  不過聖經沒有記載門徒對耶穌的預告有什麼反應
[00:07:46.000 --> 00:07:48.000]  連一個回應都沒有
[00:07:48.000 --> 00:07:53.000]  反倒馬上說門徒爭取在天上的位置和榮耀
[00:07:53.000 --> 00:07:55.000]  有這樣的爭論
[00:07:55.000 --> 00:08:00.000]  耶穌上十字架的預告是主要跟門徒說的
[00:08:00.000 --> 00:08:03.000]  但他們聽了之後都沒什麼反應
[00:08:03.000 --> 00:08:06.000]  大概他們不當是一回事
[00:08:06.000 --> 00:08:09.000]  耶穌常常說一些門徒不太明白的事
[00:08:09.000 --> 00:08:12.000]  常常做一些很驚嚇性的言論
[00:08:12.000 --> 00:08:16.000]  門徒聽多了,嚇大了就不以為意
[00:08:16.000 --> 00:08:20.000]  反倒我們的夫子喜歡語出驚人,語無倫次
[00:08:20.000 --> 00:08:24.000]  聽一下不要當真就沒事了
[00:08:24.000 --> 00:08:26.000]  這個大概都是我們很多人
[00:08:26.000 --> 00:08:30.000]  在讀聖經或者聽講道的時候的態度
[00:08:30.000 --> 00:08:33.000]  聖經總是喜歡唱高調的
[00:08:33.000 --> 00:08:37.000]  說一些不吃人間煙火的要求
[00:08:37.000 --> 00:08:39.000]  高舉一個理想主義的價值觀
[00:08:39.000 --> 00:08:41.000]  例如什麼愛你的仇敵
[00:08:41.000 --> 00:08:43.000]  為耶穌捨棄一切
[00:08:43.000 --> 00:08:45.000]  不要愛世界等等
[00:08:45.000 --> 00:08:47.000]  這些不合心意的說話
[00:08:47.000 --> 00:08:51.000]  聽習慣了就沒什麼特別的反應
[00:08:51.000 --> 00:08:54.000]  反正聖經就是喜歡講大的
[00:08:54.000 --> 00:08:57.000]  講到很大的,什麼都講大碎
[00:08:57.000 --> 00:09:01.000]  牧者喜歡慣常說一些屬靈口號
[00:09:01.000 --> 00:09:04.000]  只要你不當真就沒事了
[00:09:04.000 --> 00:09:08.000]  瑪利亞卻跟多數的門徒不一樣
[00:09:08.000 --> 00:09:11.000]  他或者在沒多久之前
[00:09:11.000 --> 00:09:14.000]  聽到耶路撒冷的猶太公會
[00:09:14.000 --> 00:09:16.000]  要謀害耶穌
[00:09:16.000 --> 00:09:18.000]  他也都聽到耶穌
[00:09:18.000 --> 00:09:20.000]  曾經自己預告
[00:09:20.000 --> 00:09:23.000]  他要上十字架這樣的說話
[00:09:23.000 --> 00:09:27.000]  單純的他聽了耶穌講就相信了
[00:09:27.000 --> 00:09:30.000]  他沒能力力挽狂瀾去拯救耶穌
[00:09:30.000 --> 00:09:31.000]  保護耶穌
[00:09:31.000 --> 00:09:34.000]  只能夠盡他能力所及的
[00:09:34.000 --> 00:09:37.000]  表達對耶穌的一些心意
[00:09:37.000 --> 00:09:42.000]  至於問為什麼要高耶穌的腳呢
