
[00:00:00.000 --> 00:00:04.000]  今日的經訓是記載在新約聖經
[00:00:04.000 --> 00:00:07.000]  路加福音第八章
[00:00:07.000 --> 00:00:10.000]  40到42節
[00:00:10.000 --> 00:00:14.000]  49到56節
[00:00:14.000 --> 00:00:16.000]  耶穌回來的時候
[00:00:16.000 --> 00:00:18.000]  眾人迎接他
[00:00:18.000 --> 00:00:21.000]  因為他們都等候他
[00:00:21.000 --> 00:00:24.000]  有一個管會堂的名叫艾魯
[00:00:24.000 --> 00:00:27.000]  來府伏在耶穌腳前
[00:00:27.000 --> 00:00:30.000]  求耶穌到他家裡去
[00:00:30.000 --> 00:00:34.000]  因他有一個獨生女兒
[00:00:34.000 --> 00:00:36.000]  若有十二歲
[00:00:36.000 --> 00:00:38.000]  快要死了
[00:00:38.000 --> 00:00:40.000]  耶穌去的時候
[00:00:40.000 --> 00:00:43.000]  眾人擁擠他
[00:00:43.000 --> 00:00:45.000]  49節
[00:00:45.000 --> 00:00:48.000]  還說話的時候
[00:00:48.000 --> 00:00:51.000]  有人從管會堂的家裡來
[00:00:51.000 --> 00:00:54.000]  說:你的女兒死了
[00:00:54.000 --> 00:00:56.000]  不要勞動夫子
[00:00:56.000 --> 00:00:59.000]  耶穌聽見就對他說
[00:00:59.000 --> 00:01:02.000]  不要怕,只要信
[00:01:02.000 --> 00:01:05.000]  你的女兒就必得救
[00:01:05.000 --> 00:01:08.000]  耶穌到了他的家
[00:01:08.000 --> 00:01:13.000]  除了彼得、約翰、雅各和女兒的父母
[00:01:13.000 --> 00:01:16.000]  不許別人同他進去
[00:01:16.000 --> 00:01:21.000]  眾人都為這女兒哀哭除凶
[00:01:21.000 --> 00:01:28.000]  耶穌說:不要哭,她不是死了,是睡著了
[00:01:28.000 --> 00:01:31.000]  他們曉得女兒已經死了
[00:01:31.000 --> 00:01:33.000]  就癡笑耶穌
[00:01:33.000 --> 00:01:36.000]  耶穌拉著他的手
[00:01:36.000 --> 00:01:39.000]  呼叫說:女兒,起來吧
[00:01:39.000 --> 00:01:42.000]  他的靈魂便回來
[00:01:42.000 --> 00:01:44.000]  他就立刻起來了
[00:01:44.000 --> 00:01:48.000]  耶穌吩咐給他東西吃
[00:01:48.000 --> 00:01:50.000]  他的父母驚奇得很
[00:01:50.000 --> 00:01:52.000]  耶穌祝福他們
[00:01:52.000 --> 00:02:08.000]  不要把所作的事告訴人
[00:02:08.000 --> 00:02:10.000]  請姐妹平安
[00:02:10.000 --> 00:02:14.000]  我想剛才所讀的哀怒的故事
[00:02:14.000 --> 00:02:16.000]  大家都很熟悉了
[00:02:16.000 --> 00:02:18.000]  因為三卷的科林書《馬太·馬可》
[00:02:18.000 --> 00:02:21.000]  《路加》都有記載
[00:02:21.000 --> 00:02:23.000]  你會發覺很奇怪
[00:02:23.000 --> 00:02:25.000]  明明是爭婚奪妙
[00:02:25.000 --> 00:02:28.000]  艾魯趕時間去救他的女兒
[00:02:28.000 --> 00:02:30.000]  但耶穌是怎樣?
[00:02:30.000 --> 00:02:32.000]  耶穌是很淡定的
[00:02:32.000 --> 00:02:33.000]  其實你會見到
[00:02:33.000 --> 00:02:35.000]  不單止在這件事裡
[00:02:35.000 --> 00:02:37.000]  在科林書當中你會見到
[00:02:37.000 --> 00:02:40.000]  耶穌總是展現出那種
[00:02:40.000 --> 00:02:42.000]  很從容不迫的生活態度
[00:02:42.000 --> 00:02:46.000]  你回想回耶穌整個出道的過程
[00:02:46.000 --> 00:02:48.000]  他多少歲才開始傳道?
[00:02:48.000 --> 00:02:50.000]  三十歲吧?
[00:02:50.000 --> 00:02:54.000]  不會等十八、二十歲就出道
[00:02:54.000 --> 00:02:55.000]  三十歲才出道
[00:02:55.000 --> 00:02:56.000]  並且你留意
[00:02:56.000 --> 00:02:58.000]  他出道的第一件事
[00:02:58.000 --> 00:03:00.000]  不是立即去傳道
[00:03:00.000 --> 00:03:02.000]  或者趕鬼、治病
[00:03:02.000 --> 00:03:03.000]  而是怎樣?
[00:03:03.000 --> 00:03:06.000]  先是順著聖靈的帶領
[00:03:06.000 --> 00:03:08.000]  在曠野多久?
[00:03:08.000 --> 00:03:09.000]  四十天
[00:03:09.000 --> 00:03:11.000]  在曠野裡等候四十天
[00:03:11.000 --> 00:03:13.000]  並且在期間
[00:03:13.000 --> 00:03:16.000]  接受魔鬼撒旦的試探
