
[00:00:00.000 --> 00:00:03.460]  無錯 我們深信上帝是扶持我們向前行的上帝
[00:00:03.460 --> 00:00:06.820]  我們今天繼續帶著信心
[00:00:06.820 --> 00:00:10.540]  帶著感恩的心去聆聽上帝的話語
[00:00:10.540 --> 00:00:16.780]  今日的經訓是在哥林多後書第八章第一節至第九節
[00:00:16.780 --> 00:00:24.500]  弟兄們 我把神賜給馬其頓宗教會的恩告訴你們
[00:00:24.500 --> 00:00:30.500]  就是他們在患難中受大試煉的時候 仍有滿足的快樂
[00:00:30.500 --> 00:00:35.500]  在極窮之間 還格外顯出他們樂捐的口恩
[00:00:35.500 --> 00:00:41.000]  我可以證明他們是按著力量 而且也過了力量
[00:00:41.000 --> 00:00:43.500]  自己甘心樂意的捐助
[00:00:43.500 --> 00:00:49.000]  在三的求我們 准他們在這供給聖徒的恩情上有份
[00:00:49.000 --> 00:00:53.500]  並且他們所作的 不但照我們所賞望的
[00:00:53.500 --> 00:00:59.500]  更照神的旨意 先把自己獻給主 又歸附了我們
[00:00:59.500 --> 00:01:05.500]  因此我勸提多 既然在你們中間開辦這慈慰的事
[00:01:05.500 --> 00:01:12.000]  就當辦成了 你們既然在信心 口才 知識 熱心
[00:01:12.000 --> 00:01:16.500]  和待我們的愛心上 都格外顯出滿足來
[00:01:16.500 --> 00:01:21.500]  就當在這慈慰的事上 也格外顯出滿足來
[00:01:21.500 --> 00:01:27.500]  我說者說 不是吩咐你們 乃是藉著別人的熱心
[00:01:27.500 --> 00:01:29.500]  試驗你們愛心的實在
[00:01:29.500 --> 00:01:34.500]  你們知道我們的主耶穌基督的恩典 祂本來富足
[00:01:34.500 --> 00:01:41.500]  卻為你們成了貧窮 叫你們因祂的貧窮可以成為富足
[00:01:41.500 --> 00:01:47.500]  今天早上 哥倫多後書八章一至九節的宣講
[00:01:47.500 --> 00:01:52.500]  是由我們親愛的梁家倫牧師為我們宣講 主題是慈慰的精神
[00:01:52.500 --> 00:01:54.500]  現在有請梁牧師
[00:01:54.500 --> 00:02:03.500]  各位親愛的電影姐妹平安
[00:02:03.500 --> 00:02:09.500]  我們來到第十二次講哥倫多後書
[00:02:09.500 --> 00:02:14.500]  我們看第八章 第八章到第九章
[00:02:14.500 --> 00:02:17.500]  是哥倫多後書的第二個大段落
[00:02:17.500 --> 00:02:19.500]  在這兩章的聖經裏面
[00:02:19.500 --> 00:02:28.500]  保羅呼籲哥倫多教會的電影姐妹協助他完成為耶路撒冷教會募款的任務
[00:02:28.500 --> 00:02:32.500]  我們用三次的時間來看這兩章的聖經
[00:02:32.500 --> 00:02:37.500]  保羅為耶路撒冷教會收捐款
[00:02:37.500 --> 00:02:41.500]  這是他侍奉生涯其中一件比較重要的事
[00:02:41.500 --> 00:02:48.500]  這件事可以考據的應該是在主後55年左右的時間
[00:02:48.500 --> 00:02:55.500]  由於他不只是向一間教會 並且都應該綿延了多久
[00:02:55.500 --> 00:03:00.500]  所以應該整個籌款的行動是維持了相當長的一段時間
[00:03:00.500 --> 00:03:10.500]  保羅和在耶路撒冷的濕爾斯圖和信徒群體其實沒有多少關連
[00:03:10.500 --> 00:03:12.500]  他不是他中間的一員
[00:03:12.500 --> 00:03:15.500]  他不是由使徒親自帶領信主的
[00:03:15.500 --> 00:03:19.500]  保羅在耶路撒冷復活之後被耶穌呼召
[00:03:19.500 --> 00:03:23.500]  他的使徒資格是由耶穌親自給他的
[00:03:23.500 --> 00:03:26.500]  保羅的成長背景和信主前的經歷
[00:03:26.500 --> 00:03:33.500]  使他和其他絕大多數的出身加利利的使徒其實格格不入
[00:03:33.500 --> 00:03:36.500]  保羅立志向外邦人傳福音
[00:03:36.500 --> 00:03:41.500]  並且在傳福音的過程裏建構出一套福音神學
[00:03:41.500 --> 00:03:45.500]  極大程度的擺脫了猶太教的基本
[00:03:45.500 --> 00:03:48.500]  使得多數使徒覺得不安
[00:03:48.500 --> 00:03:50.500]  他們不只是說錯 但總是有點不安
[00:03:50.500 --> 00:03:58.500]  所以保羅和耶路撒冷教會一直存在著幾微妙的緊張關係
[00:03:58.500 --> 00:04:04.500]  保羅從來沒有想過在真理 在事公策略上的讓步
[00:04:04.500 --> 00:04:06.500]  全部不一樣
[00:04:06.500 --> 00:04:08.500]  不過他總是希望做一些事情
[00:04:08.500 --> 00:04:15.500]  去表達他對耶路撒冷教會的關愛 善意 舒緩雙方的關係
[00:04:15.500 --> 00:04:21.500]  耶路撒冷有很多信徒經濟陷入困境裏
[00:04:21.500 --> 00:04:23.500]  這是長期的情況
[00:04:23.500 --> 00:04:27.500]  不是偶然 突然發生天災人禍造成的
[00:04:27.500 --> 00:04:29.500]  為什麼呢?
[00:04:29.500 --> 00:04:33.500]  因為保羅和耶路撒冷教會裏多數信徒都是出身貧困
[00:04:33.500 --> 00:04:36.500]  有密切的關係 並且他們很多是來自外地的
[00:04:36.500 --> 00:04:40.500]  十二使徒都沒有多少個是耶路撒冷人 是不是?
[00:04:40.500 --> 00:04:43.500]  他們來自外地 他們寄居在耶路撒冷
[00:04:43.500 --> 00:04:46.500]  他們很難在耶路撒冷找到工作
[00:04:46.500 --> 00:04:48.500]  找到謀生之志
[00:04:48.500 --> 00:04:50.500]  打魚的在耶路撒冷怎麼打魚呢?
[00:04:50.500 --> 00:04:51.500]  對不對?
[00:04:51.500 --> 00:04:53.500]  種植的也沒有東西可以種
[00:04:53.500 --> 00:04:55.500]  所以他們找不到工作
[00:04:55.500 --> 00:05:00.500]  因為耶路撒冷雖然不是嚴格意義的基督教全球總部
[00:05:00.500 --> 00:05:02.500]  我們可以懷疑有沒有一個這樣的總部
[00:05:02.500 --> 00:05:08.500]  不過耶路撒冷的教會確實也承擔著關顧各地教會的責任
[00:05:08.500 --> 00:05:11.500]  使徒常常要奔波各地
[00:05:11.500 --> 00:05:15.500]  那怎麼也要浪費生活費的 是不是?
[00:05:15.500 --> 00:05:17.500]  支出自然就大增
[00:05:17.500 --> 00:05:20.500]  還有 使徒在耶路撒冷
[00:05:20.500 --> 00:05:24.500]  他們首當其衝的面對猶太教的攻擊
[00:05:24.500 --> 00:05:27.500]  被捕坐牢的信徒
[00:05:27.500 --> 00:05:31.500]  以及他們家屬的生活也需要人照顧
[00:05:31.500 --> 00:05:34.500]  還有一些在家庭 在社區被迫害
[00:05:34.500 --> 00:05:38.500]  走到教會尋求庇護 尋求供養的信徒
[00:05:38.500 --> 00:05:41.500]  多數是婦女 也為數不少
[00:05:41.500 --> 00:05:43.500]  凡此種種原因
[00:05:43.500 --> 00:05:49.500]  都使耶路撒冷教會長期處於缺乏的狀態之中
[00:05:49.500 --> 00:05:54.500]  相對地 位處小阿西亞和希臘半島的教會
[00:05:54.500 --> 00:05:57.500]  雖然信徒仍然多數出身基層
[00:05:57.500 --> 00:05:59.500]  但是在商業繁盛的地區
[00:05:59.500 --> 00:06:03.500]  生活的條件總是比耶路撒冷要好 是不是?
[00:06:03.500 --> 00:06:05.500]  保羅在傳教的同時
[00:06:05.500 --> 00:06:11.500]  就立志呼籲各地的信徒為耶路撒冷貧乏的信徒捐獻
[00:06:11.500 --> 00:06:14.500]  實際上你會看到有很多處聖經記載
[00:06:14.500 --> 00:06:19.500]  保羅為耶路撒冷勸捐或收捐的故事
[00:06:19.500 --> 00:06:23.500]  包括《少林行傳》24章17節
[00:06:23.500 --> 00:06:26.500]  在哥倫多前書16章14節有提及
[00:06:26.500 --> 00:06:29.500]  《迦太書》2章10節有提及
[00:06:29.500 --> 00:06:34.500]  有趣的是 連保羅沒有親自去過的羅馬教會
[00:06:34.500 --> 00:06:36.500]  他寫羅馬書的時候
[00:06:36.500 --> 00:06:41.500]  也同樣勸教會捐助耶路撒冷
[00:06:41.500 --> 00:06:44.500]  羅馬書15章25到32節
[00:06:44.500 --> 00:06:50.500]  所以哥倫多後書8到9章只是其中一個技術
[00:06:50.500 --> 00:06:53.500]  不過因為這是用了兩章的篇幅來講
[00:06:53.500 --> 00:06:56.500]  你可以說是最長的一個技術
[00:06:56.500 --> 00:06:59.500]  要指出的是
[00:06:59.500 --> 00:07:02.500]  位處小阿西亞和希臘半島的教會
[00:07:02.500 --> 00:07:05.500]  其實多數都不是很富有
[00:07:05.500 --> 00:07:08.500]  地區好一些
[00:07:08.500 --> 00:07:11.500]  信徒多數來自社會的低層
