
[00:00:00.000 --> 00:00:04.000]  讓我們繼續以聆聽聖道敬拜
[00:00:04.000 --> 00:00:09.500]  今天的經訓是記載在詩篇95篇6至11節
[00:00:09.500 --> 00:00:12.500]  希伯來書4章1至2節
[00:00:12.500 --> 00:00:16.000]  馬太福音11章28至30節
[00:00:16.000 --> 00:00:21.000]  詩篇95章95篇1至11節
[00:00:21.000 --> 00:00:24.500]  來呀!我們要向耶和華歌唱
[00:00:24.500 --> 00:00:27.000]  向拯救我們的盆石歡呼
[00:00:27.000 --> 00:00:31.500]  我們要來感謝他用詩歌向他歡呼
[00:00:31.500 --> 00:00:37.000]  因耶和華為大神為大王超乎萬神之上
[00:00:37.000 --> 00:00:39.500]  地的深處在他手中
[00:00:39.500 --> 00:00:41.500]  山的高峰也屬他
[00:00:41.500 --> 00:00:43.500]  海洋屬他是他造的
[00:00:43.500 --> 00:00:46.500]  罕地也是他所造成的
[00:00:46.500 --> 00:00:48.500]  來呀!我們要屈身敬拜
[00:00:48.500 --> 00:00:51.500]  在做我們的耶和華面前跪下
[00:00:51.500 --> 00:00:53.500]  因為他是我們的神
[00:00:53.500 --> 00:00:55.500]  我們是他草場的羊
[00:00:55.500 --> 00:00:57.500]  是他手下的民
[00:00:57.500 --> 00:01:00.500]  唯願你們今天聽他的話
[00:01:00.500 --> 00:01:03.000]  你們不可硬著心
[00:01:03.000 --> 00:01:05.500]  像當日在米利巴
[00:01:05.500 --> 00:01:08.000]  就是在曠野的瑪薩
[00:01:08.000 --> 00:01:12.000]  那時你們的祖宗視我探我
[00:01:12.000 --> 00:01:14.500]  並且觀看我的作為
[00:01:14.500 --> 00:01:16.000]  四十年之久
[00:01:16.000 --> 00:01:18.000]  我繁衍那世代
[00:01:18.000 --> 00:01:22.000]  說:這是心裡迷糊的百姓
[00:01:22.000 --> 00:01:24.000]  竟不曉得我的作為
[00:01:24.000 --> 00:01:27.000]  所以我在路中起誓
[00:01:27.000 --> 00:01:32.000]  說:他們斷不可進入我的安息
[00:01:32.000 --> 00:01:37.000]  希伯來書四章一至二節
[00:01:37.000 --> 00:01:42.000]  我們既夢留下有進入他安息的英雄
[00:01:42.000 --> 00:01:44.000]  就當畏懼
[00:01:44.000 --> 00:01:48.000]  免得我們中間或有人似乎是講不上了
[00:01:48.000 --> 00:01:50.000]  因為有福音傳給我們
[00:01:50.000 --> 00:01:52.500]  像傳給他們一樣
[00:01:52.500 --> 00:01:56.000]  只是所聽見的道與他們無益
[00:01:56.000 --> 00:02:01.000]  因為他們沒有信心與所聽見的道調和
[00:02:01.000 --> 00:02:05.000]  萬太福音十一章二十八至三十節
[00:02:05.000 --> 00:02:08.000]  煩惱負擔重擔的人
[00:02:08.000 --> 00:02:10.000]  可以到我這裡來
[00:02:10.000 --> 00:02:12.000]  我就使你們得安息
[00:02:12.000 --> 00:02:14.000]  我心裡柔和謙卑
[00:02:14.000 --> 00:02:16.000]  你們當乎我的呃
