
[00:00:00.000 --> 00:00:08.000]  今日經訓記載於約翰福音第七章第十四至三十一節
[00:00:08.000 --> 00:00:15.000]  到了節期,耶穌上殿裡去教訓人
[00:00:15.000 --> 00:00:17.000]  猶太人就輕啟說:
[00:00:17.000 --> 00:00:21.000]  「這個人沒有學過怎麼明白書呢?」
[00:00:21.000 --> 00:00:23.000]  耶穌說:
[00:00:23.000 --> 00:00:29.000]  「我的教訓不是我自己的,乃是那差我來者的」
[00:00:29.000 --> 00:00:40.000]  「人若立志遵著他的旨意行,就必曉得這教訓或是出於神,或是我憑著自己說的」
[00:00:40.000 --> 00:00:54.000]  「人憑著自己說,是求自己的榮耀,唯有求那差他來者的榮耀,這人是真的,在他心裡沒有不義」
[00:00:54.000 --> 00:00:59.000]  「摩西豈不是全律法給你們嗎?」
[00:00:59.000 --> 00:01:07.000]  「你們卻沒有一個人守律法,為什麼想要殺我呢?」
[00:01:07.000 --> 00:01:09.000]  眾人回答說:
[00:01:09.000 --> 00:01:13.000]  「你是被鬼附著了,誰想要殺你?」
[00:01:13.000 --> 00:01:15.000]  耶穌說:
[00:01:15.000 --> 00:01:21.000]  「我作了一件事,你們都以為稀奇」
[00:01:21.000 --> 00:01:32.000]  「摩西全國禮給你們,其實不是從摩西起的,乃是從先祖起的」
[00:01:32.000 --> 00:01:38.000]  「因此,你們也在安息日給人行國禮」
[00:01:38.000 --> 00:01:45.000]  「人若在安息日行國禮,免得違背摩西的律法」
[00:01:45.000 --> 00:01:53.000]  「我在安息日,叫一個人傳言好了,你們就向我生氣嗎?」
[00:01:53.000 --> 00:02:02.000]  「不可按外貌斷定是非,總是按公平斷定是非」
[00:02:02.000 --> 00:02:07.000]  耶路撒冷人中的柔的說:
[00:02:07.000 --> 00:02:10.000]  「這不是他們想要殺的人嗎?」
[00:02:10.000 --> 00:02:16.000]  「你看他還明明的說道,他們也不向他說什麼」
[00:02:16.000 --> 00:02:20.000]  「難道官長真知道這是基督嗎?」
[00:02:20.000 --> 00:02:24.000]  「然而,我們知道這個人從哪裡來」
[00:02:24.000 --> 00:02:30.000]  「只是基督來的時候,沒有人知道他從哪裡來」
[00:02:30.000 --> 00:02:34.000]  那時耶穌在殿裡教訓人大聲說:
[00:02:34.000 --> 00:02:39.000]  「你們也知道我,也知道我從哪裡來」
[00:02:39.000 --> 00:02:45.000]  「我來並不是由於自己,但猜我來的是真的」
[00:02:45.000 --> 00:02:49.000]  「你們不認識他,我卻認識他」
[00:02:49.000 --> 00:02:56.000]  「因為我是從他來的,他也是猜了我來」
[00:02:56.000 --> 00:03:02.000]  「他們就想要抓拿耶穌,只是沒有人下手」
[00:03:02.000 --> 00:03:05.000]  「因為他的時候還沒有到」
[00:03:05.000 --> 00:03:09.000]  「但眾人中間有好些信他的說」
[00:03:09.000 --> 00:03:13.000]  「基督來的時候,他所作的神蹟」
[00:03:13.000 --> 00:03:19.000]  「豈能比這人所行的更多麼驚憤獨不」
[00:03:28.000 --> 00:03:32.000]  弟兄姊妹,預祝你們新一年新年快樂
[00:03:32.000 --> 00:03:35.000]  生活豐豐富富
[00:03:35.000 --> 00:03:40.000]  我們繼續《約翰福音》漫長的旅程
[00:03:40.000 --> 00:03:44.000]  上一次說到在駐彭捷
[00:03:44.000 --> 00:03:47.000]  耶穌本來不打算去耶路撒冷守捷
[00:03:47.000 --> 00:03:51.000]  因為恐怕猶太教當局要殺害他
[00:03:51.000 --> 00:03:54.000]  不過後來他仍然低調去了
[00:03:54.000 --> 00:03:57.000]  不過像耶穌這樣的風頭人物
[00:03:57.000 --> 00:04:00.000]  去到哪裡都惹人注目
[00:04:00.000 --> 00:04:02.000]  要低調也很難
[00:04:02.000 --> 00:04:07.000]  這一段記載了耶路撒冷所引起的很多爭議
[00:04:07.000 --> 00:04:10.000]  耶穌真是一個搞亂天下的人
[00:04:10.000 --> 00:04:14.000]  比保羅的搞亂天下還要早很多
[00:04:14.000 --> 00:04:19.000]  這一趟有幾個風波
[00:04:19.000 --> 00:04:25.000]  第一波的爭議出現在耶穌和一班猶太人中間
[00:04:25.000 --> 00:04:29.000]  爭論的焦點是耶穌說到的權威
