
[00:00:00.000 --> 00:00:04.000]  讓我們繼續以聆聽聖道去敬拜我們的主
[00:00:04.000 --> 00:00:07.280]  首先我們由邱小英姐妹為我們讀出
[00:00:07.280 --> 00:00:10.880]  耶利米書第20章7到18節
[00:00:10.880 --> 00:00:14.760]  接著陳貫成牧師會為我們宣講
[00:00:14.760 --> 00:00:16.080]  他的題目是
[00:00:16.080 --> 00:00:22.480]  從聖經看喜 勞 哀 樂 之告別憂愁
[00:00:22.480 --> 00:00:34.480]  (教育)
[00:00:34.480 --> 00:00:36.480]  今日頌道的經文是在
[00:00:36.480 --> 00:00:40.480]  耶利米書第20章7至18節
[00:00:40.480 --> 00:00:46.480]  記載在舊約聖經的1053至54頁
[00:00:46.480 --> 00:00:50.480]  耶利米書20章7節
[00:00:50.480 --> 00:00:54.480]  耶和華啊!你曾勸導我
[00:00:54.480 --> 00:00:56.480]  我也聽了你的勸導
[00:00:56.480 --> 00:01:00.480]  你給我有力量且勝了我
[00:01:00.480 --> 00:01:02.480]  我終日成為笑話
[00:01:02.480 --> 00:01:04.480]  人人都戲弄我
[00:01:04.480 --> 00:01:09.480]  我每逢趕弄的時候就發出哀聲
[00:01:09.480 --> 00:01:13.480]  我喊叫說:有強暴和毀滅
[00:01:13.480 --> 00:01:17.480]  因為耶和華的話終日成了我的靈欲
[00:01:17.480 --> 00:01:20.480]  既持
[00:01:20.480 --> 00:01:24.480]  我若說我不再提耶和華
[00:01:24.480 --> 00:01:27.480]  也不奉他的名講論
[00:01:27.480 --> 00:01:31.480]  我便心裡覺得似乎有燒著的火
[00:01:31.480 --> 00:01:33.480]  閉塞在我骨中
[00:01:33.480 --> 00:01:35.480]  我就含忍不住
[00:01:35.480 --> 00:01:38.480]  不能自禁
[00:01:38.480 --> 00:01:41.480]  我聽見了許多人的殘暴
[00:01:41.480 --> 00:01:43.480]  四圍都是驚嚇
[00:01:43.480 --> 00:01:47.480]  就算我知己的朋友也都窺探我
[00:01:47.480 --> 00:01:49.480]  怨我跌倒
[00:01:49.480 --> 00:01:53.480]  說:告他吧!我們也要告他
[00:01:53.480 --> 00:01:55.480]  或者他被引誘
[00:01:55.480 --> 00:01:57.480]  我們就能勝他
[00:01:57.480 --> 00:01:59.480]  在他身上報仇
[00:01:59.480 --> 00:02:03.480]  然而耶和華與我同在
[00:02:03.480 --> 00:02:06.480]  好像甚可怕的勇士
[00:02:06.480 --> 00:02:10.480]  因此逼迫我的必都半跌
[00:02:10.480 --> 00:02:12.480]  不能得勝
[00:02:12.480 --> 00:02:15.480]  我們必大大蒙羞
[00:02:15.480 --> 00:02:18.480]  就是受永不忘記的羞辱
[00:02:18.480 --> 00:02:22.480]  因為他們行事沒有智慧
[00:02:22.480 --> 00:02:24.480]  試驗二人
[00:02:24.480 --> 00:02:28.480]  察看人肺腑深長的萬鈞之耶和華
[00:02:28.480 --> 00:02:32.480]  求你容我見你在他們身上報仇
[00:02:32.480 --> 00:02:37.480]  因我將我的案件向你稟明了
[00:02:37.480 --> 00:02:39.480]  你們要向耶和華唱歌
