
[00:00:00.000 --> 00:00:02.520]  十四章一至九節
[00:00:02.520 --> 00:00:07.520]  舊約時詩記第十四章一至九節
[00:00:07.520 --> 00:00:10.760]  在舊約聖經三百一十八頁
[00:00:10.760 --> 00:00:12.960]  舊約聖經三百一十八頁
[00:00:12.960 --> 00:00:14.480]  請聽我讀出
[00:00:14.480 --> 00:00:16.560]  第十四章一節
[00:00:16.560 --> 00:00:18.680]  參孫下到亭拿
[00:00:18.680 --> 00:00:21.320]  在那裡看見一個女子
[00:00:21.320 --> 00:00:23.680]  是非利士人的女兒
[00:00:23.680 --> 00:00:27.080]  參孫上來稟告他父母說
[00:00:27.080 --> 00:00:29.800]  我在亭拿看見一個女子
[00:00:29.880 --> 00:00:32.160]  是非利士人的女兒
[00:00:32.160 --> 00:00:34.920]  願你們給我娶來為妻
[00:00:34.920 --> 00:00:36.400]  他父母說
[00:00:36.400 --> 00:00:38.400]  在你弟兄的女兒中
[00:00:38.400 --> 00:00:40.440]  或在本國的民中
[00:00:40.440 --> 00:00:42.400]  豈沒有一個女子
[00:00:42.400 --> 00:00:43.760]  何至你去
[00:00:43.760 --> 00:00:47.440]  在未受國禮的非利士人中娶妻呢?
[00:00:47.440 --> 00:00:49.680]  參孫對他父親說
[00:00:49.680 --> 00:00:52.080]  願你給我娶那女子
[00:00:52.080 --> 00:00:53.760]  因我喜悅她
[00:00:53.760 --> 00:00:56.160]  他的父母卻不知道
[00:00:56.160 --> 00:00:58.160]  這是出於耶和華
[00:00:58.360 --> 00:01:01.560]  因為他找機會攻擊非利士人
[00:01:01.560 --> 00:01:03.560]  那時非利士人
[00:01:03.560 --> 00:01:05.280]  核製以色列人
[00:01:05.280 --> 00:01:09.080]  參孫跟他父母下亭拿去
[00:01:09.080 --> 00:01:11.360]  到了亭拿的葡萄園
[00:01:11.360 --> 00:01:13.680]  見有一隻笑臟獅子
[00:01:13.680 --> 00:01:15.080]  向他嘲笑
[00:01:15.080 --> 00:01:18.640]  耶和華的靈大大感動參孫
[00:01:18.640 --> 00:01:21.040]  他雖然身無氣械
[00:01:21.040 --> 00:01:23.040]  卻將獅子撕裂
[00:01:23.040 --> 00:01:25.720]  如同撕裂山羊羔一樣
[00:01:26.120 --> 00:01:29.240]  他行者是並沒有告訴父母
[00:01:29.240 --> 00:01:32.240]  參孫下去與女子說話
[00:01:32.240 --> 00:01:33.640]  就喜悅她
[00:01:33.640 --> 00:01:35.400]  過了些日子
[00:01:35.400 --> 00:01:38.000]  再下去要娶那女子
[00:01:38.000 --> 00:01:41.560]  轉向道旁要看死屍
[00:01:41.560 --> 00:01:43.680]  見有一群瘋子
[00:01:43.680 --> 00:01:45.640]  黃脈在死屍之內
[00:01:45.640 --> 00:01:47.400]  就用手取脈
[00:01:47.400 --> 00:01:49.200]  扯起扯走
[00:01:49.200 --> 00:01:51.000]  到了父母那裡
[00:01:51.000 --> 00:01:52.400]  給他父母
[00:01:52.400 --> 00:01:54.000]  他們也吃了
[00:01:54.160 --> 00:01:56.520]  只善沒有告訴者物
[00:01:56.520 --> 00:01:59.360]  是從死屍之內取來的
[00:01:59.360 --> 00:02:13.080]  弟兄姊妹平安
[00:02:13.080 --> 00:02:17.920]  上星期陳明全牧師已經看了
[00:02:17.920 --> 00:02:21.040]  參孫的夢照和出生
[00:02:21.040 --> 00:02:23.480]  今天我們繼續看下去
[00:02:23.960 --> 00:02:26.320]  話說回來
[00:02:26.320 --> 00:02:28.880]  假如我們對參孫這個人物
[00:02:28.880 --> 00:02:30.080]  不太認識的話
[00:02:30.080 --> 00:02:32.880]  假如我們沒有看到今天的經文
[00:02:32.880 --> 00:02:35.560]  不知道參孫長大後
[00:02:35.560 --> 00:02:37.000]  到底會發生什麼事
[00:02:37.000 --> 00:02:39.880]  其實我們相信他和
[00:02:39.880 --> 00:02:42.600]  薩姆爾或斯贈約翰
[00:02:42.600 --> 00:02:48.440]  都會成為一番作為的祭司
[00:02:48.440 --> 00:02:51.880]  因為他確實有潛質和條件
[00:02:52.320 --> 00:02:56.480]  畢竟他在母胎成形之前
[00:02:56.480 --> 00:02:58.160]  上帝已經揀選了他
[00:02:58.160 --> 00:03:00.840]  成為一個拿洗人終身的
[00:03:00.840 --> 00:03:02.920]  來給上帝使用
[00:03:02.920 --> 00:03:05.240]  所以在我們的期望裡
[00:03:05.240 --> 00:03:09.880]  參孫將會在上帝的計劃裡
[00:03:09.880 --> 00:03:11.160]  大有一番作為
[00:03:11.160 --> 00:03:12.400]  不過很可惜
[00:03:12.400 --> 00:03:13.680]  今天我們看到的經文
[00:03:13.680 --> 00:03:17.240]  你發覺參孫有一個致命的缺點
[00:03:17.240 --> 00:03:18.480]  是什麼?
[00:03:18.480 --> 00:03:22.200]  他很任我行
[00:03:22.600 --> 00:03:24.200]  很惡行惡掃
[00:03:24.200 --> 00:03:26.200]  你看到他的行為模式
[00:03:26.200 --> 00:03:30.200]  基本上是受到自己的欲念支配
[00:03:30.200 --> 00:03:32.440]  他看到想要的東西
[00:03:32.440 --> 00:03:33.680]  就會伸手去拿
[00:03:33.680 --> 00:03:35.840]  想到想做的事情
[00:03:35.840 --> 00:03:37.040]  就會馬上去做
[00:03:37.040 --> 00:03:40.800]  你看到他為了滿足得到的事物
[00:03:40.800 --> 00:03:43.800]  他可以超越很多的規範
