
[00:00:00.000 --> 00:00:20.000]  《聖經》第七十一篇 五至十八節
[00:00:21.000 --> 00:00:26.000]  主耶和華,你是我所盼望的,
[00:00:26.000 --> 00:00:31.000]  從我年幼,你是我所倚靠的。
[00:00:31.000 --> 00:00:39.000]  我從出母胎被你扶持,使我出母胎的是你,
[00:00:39.000 --> 00:00:45.000]  我必常常讚美你。許多人以我為怪,
[00:00:45.000 --> 00:00:52.000]  但你是我堅固的避難所。你的讚美,你的榮耀,
[00:00:52.000 --> 00:01:01.000]  終日必滿了我的口。我年老的時候,求你不要丟棄我;
[00:01:01.000 --> 00:01:07.000]  我力氣衰弱的時候,求你不要離棄我。
[00:01:07.000 --> 00:01:16.000]  我的仇敵議論我,那些窺探要害我命的彼此相議,說:
[00:01:16.000 --> 00:01:26.000]  神已經離棄他,我們要追趕他,捉拿他吧,因為沒有人搭救。
[00:01:26.000 --> 00:01:34.000]  神啊,求你不要遠離我;我的神啊,求你速速幫助我;
[00:01:34.000 --> 00:01:45.000]  願你與我性命為敵的羞愧避滅;願你謀害我的受辱蒙羞。
[00:01:45.000 --> 00:01:52.000]  我卻要常常盼望,並要越發讚美你。
[00:01:52.000 --> 00:02:01.000]  我的口終日要述說你的公義和你的救恩,因我不計其數。
[00:02:01.000 --> 00:02:09.000]  我要來說主耶和華大能的事,我單要提說你的公義。
[00:02:09.000 --> 00:02:20.000]  神啊,自我年幼時,你就教訓我,直到如今,我傳揚你奇妙的作為。
[00:02:20.000 --> 00:02:28.000]  神啊,我到年老發白的時候,求你不要離棄我,
[00:02:28.000 --> 00:02:37.000]  讓我將你的能力指示下代,將你的大能指示後世的人。
[00:02:37.000 --> 00:02:39.000]  聖經獨筆。
[00:02:48.000 --> 00:02:51.000]  等姐妹平安。
[00:02:51.000 --> 00:03:02.000]  今日是長者日,祝願可愛的長者平安喜樂。
[00:03:02.000 --> 00:03:07.000]  我也是在這個行列,包括我自己也要祝願。
[00:03:07.000 --> 00:03:13.000]  今日在坊間都有很多優惠,不知道大家知不知道。
[00:03:13.000 --> 00:03:23.000]  這些是對長者的優惠和回報。
[00:03:23.000 --> 00:03:28.000]  大臣給年長者厚厚的福氣。
[00:03:28.000 --> 00:03:35.000]  剛才聽到師班出來獻頌,那裏有十多位年長者,
[00:03:35.000 --> 00:03:39.000]  你知不知道那裏加起來有多少歲呢?
[00:03:39.000 --> 00:03:44.000]  以我粗略平均計算,其實已經過了千歲了。
[00:03:44.000 --> 00:03:49.000]  所以剛才的獻頌可以說是千歲獻頌,
[00:03:49.000 --> 00:03:53.000]  讓他們的歌聲重讚歸給上帝,
[00:03:53.000 --> 00:03:58.000]  因為可以帶領他們經歷人生的歲月。
[00:03:58.000 --> 00:04:00.000]  我們一起來禱告吧。
[00:04:00.000 --> 00:04:04.000]  天父上帝,我們獻上感謝,獻上讚美。
[00:04:04.000 --> 00:04:08.000]  生命的旅程是在上帝祢自己的掌管裏面,
[00:04:08.000 --> 00:04:11.000]  無論順逆,起跌高低,
[00:04:11.000 --> 00:04:15.000]  主我們深信祢託戴我們一生。
[00:04:15.000 --> 00:04:20.000]  主願上帝,祢的恩典厚厚的在我們身上,
[00:04:20.000 --> 00:04:26.000]  我們不怕失迷,不怕在艱難、風雨之中,
[00:04:26.000 --> 00:04:29.000]  因為祢常常的與我們同在。
[00:04:29.000 --> 00:04:32.000]  主祈求祢的話語成為我們的幫助,
