
[00:00:00.000 --> 00:00:07.800]  今天經文是在《馬可福音》第八章二十二節到九章一節
[00:00:07.800 --> 00:00:14.000]  在我們教會聖經的新約第五十九頁
[00:00:14.000 --> 00:00:18.000]  找到的話請聽我突出
[00:00:18.000 --> 00:00:27.000]  他們來到白菜大,有人帶一個盒子來,求耶穌摸他
[00:00:27.000 --> 00:00:39.000]  耶穌拉著盒子的手,領他到村外,就套唾沫在他眼睛上,按手在他身上,問他說:你看見什麼了?
[00:00:39.000 --> 00:00:47.000]  他就抬頭一看,說:我看見人了,他們好像樹木,並且行走
[00:00:47.000 --> 00:00:57.000]  隨後又按手在他眼睛上,他定眼一看,做復了緣,樣樣都看得清楚了
[00:00:57.000 --> 00:01:03.000]  耶穌打發他回家,說:連這村子你不要進去
[00:01:03.000 --> 00:01:14.000]  耶穌和門徒出去,坐凱撒利亞菲律比的村莊去,在路上問門徒說:人說我是誰?
[00:01:14.000 --> 00:01:24.000]  他們說:有人說是斯森的約翰,有人說是以利亞,又有人說是先知裡的一位
[00:01:24.000 --> 00:01:28.000]  又問他們說:你們說我是誰?
[00:01:28.000 --> 00:01:36.000]  彼得回答說:你是基督,耶穌就禁戒他們,不要告訴人
[00:01:36.000 --> 00:01:50.000]  從此,他教訓他們說:人子必須受許多的苦,被長老、祭司長和民事氣絕,並且被殺,過三天復活
[00:01:50.000 --> 00:01:56.000]  耶穌明明的說者說:彼得就拉著他,勸他
[00:01:56.000 --> 00:02:04.000]  耶穌轉過來,看著門徒,就責備彼得,說:撒旦,退我後面去吧
[00:02:04.000 --> 00:02:09.000]  因為你不體諒神的意思,只體貼人的意思
[00:02:09.000 --> 00:02:21.000]  於是叫眾人和門徒來,對他們說:若有人要跟從我,就當捨己,背起他的十字架來跟從我
[00:02:21.000 --> 00:02:27.000]  因為凡要救自己生命的,必喪掉生命
[00:02:27.000 --> 00:02:32.000]  凡為我和福音喪掉生命的,必救了生命
[00:02:32.000 --> 00:02:39.000]  人就算賺了全世界,賠上自己的生命,有什麼益處呢?
[00:02:39.000 --> 00:02:44.000]  人還能拿什麼換生命呢?
[00:02:44.000 --> 00:02:51.000]  凡在這淫亂惡毒的世界,把我和我的道當可恥的
[00:02:51.000 --> 00:02:59.000]  人子在他父的榮耀裡,和眾天使降臨的時候,也要把那人當可恥的
[00:02:59.000 --> 00:03:12.000]  耶穌又對他們說:我實在告誓你們,站在這裡的,有人在沒嘗死味以前,必須看見神的國大有能力降臨
[00:03:12.000 --> 00:03:23.000]  (主)請姐妹平安
[00:03:23.000 --> 00:03:24.000]  (弟弟)平安
