
[00:00:00.000 --> 00:00:05.000]  我們以聆聽聖道敬拜
[00:00:05.000 --> 00:00:07.000]  今日的經訓是在
[00:00:07.000 --> 00:00:12.000]  《哥羅西書》三章十八至四章五節
[00:00:12.000 --> 00:00:15.000]  你們作妻子的
[00:00:15.000 --> 00:00:17.000]  當信服自己的丈夫
[00:00:17.000 --> 00:00:20.000]  這在主裡面是相宜的
[00:00:20.000 --> 00:00:22.000]  你們作丈夫的
[00:00:22.000 --> 00:00:24.000]  要愛你們的妻子
[00:00:24.000 --> 00:00:26.000]  不可輔待他們
[00:00:26.000 --> 00:00:28.000]  你們作兒女的
[00:00:28.000 --> 00:00:31.000]  要凡事聽從父母
[00:00:31.000 --> 00:00:34.000]  因為這是主所喜悅的
[00:00:34.000 --> 00:00:36.000]  你們作父親的
[00:00:36.000 --> 00:00:38.000]  不要惹兒女的氣
[00:00:38.000 --> 00:00:41.000]  恐怕他們失了志氣
[00:00:41.000 --> 00:00:43.000]  你們作婦人的
[00:00:43.000 --> 00:00:46.000]  要凡事聽從你們育身的主人
[00:00:46.000 --> 00:00:49.000]  不要只在眼前侍奉
[00:00:49.000 --> 00:00:51.000]  像是土人喜歡的
[00:00:51.000 --> 00:00:55.000]  總要全心誠實敬畏主
[00:00:55.000 --> 00:00:59.000]  無論作甚麼都要從心裡作
[00:00:59.000 --> 00:01:01.000]  像是給主作的
[00:01:01.000 --> 00:01:03.000]  不是給人作的
[00:01:03.000 --> 00:01:05.000]  因你們知道從主那裡
[00:01:05.000 --> 00:01:08.000]  必得著基業為賞賜
[00:01:08.000 --> 00:01:11.000]  你們所侍奉的乃是主基督
[00:01:11.000 --> 00:01:14.000]  那行不義的必受不義的報應
[00:01:14.000 --> 00:01:17.000]  主並不偏待人
[00:01:17.000 --> 00:01:19.000]  你們作主人的
[00:01:19.000 --> 00:01:21.000]  要公公平平的待僕人
[00:01:21.000 --> 00:01:26.000]  因為知道你們也有一位主在天上
[00:01:26.000 --> 00:01:28.000]  你們要行切禱告
[00:01:28.000 --> 00:01:30.000]  在此警醒感恩
[00:01:30.000 --> 00:01:32.000]  也要為我們禱告
[00:01:32.000 --> 00:01:35.000]  求神給我們開傳道的門
[00:01:35.000 --> 00:01:38.000]  能以講基督的奧秘
[00:01:38.000 --> 00:01:40.000]  叫我按著所該說的話
[00:01:40.000 --> 00:01:42.000]  將這奧秘發明出來
[00:01:42.000 --> 00:01:44.000]  你們要愛惜光陰
[00:01:44.000 --> 00:01:48.000]  用智慧與外人相交
[00:01:48.000 --> 00:01:51.000]  願神的話語常在我們心裡
[00:01:51.000 --> 00:01:55.000]  弟兄姊妹平安
[00:01:55.000 --> 00:01:58.000]  活出基督的生命
[00:01:58.000 --> 00:02:02.000]  不是靠知道多少的神學理論
[00:02:02.000 --> 00:02:04.000]  而是在日常生活中
[00:02:04.000 --> 00:02:07.000]  在最親近的人的面前
[00:02:07.000 --> 00:02:11.000]  很切實地活出主的見證
[00:02:11.000 --> 00:02:14.000]  上個主日Ray牧師提醒我們
[00:02:14.000 --> 00:02:17.000]  既然與基督一同復活
[00:02:17.000 --> 00:02:19.000]  就要脫去舊人
[00:02:19.000 --> 00:02:21.000]  穿上新人
[00:02:21.000 --> 00:02:24.000]  讓基督的平安作決定
[00:02:24.000 --> 00:02:28.000]  今天我們看《哥羅西書》三章十八節
[00:02:28.000 --> 00:02:30.000]  至四章一節
[00:02:30.000 --> 00:02:32.000]  上半部分保羅說
[00:02:32.000 --> 00:02:34.000]  這個新人的樣式
[00:02:34.000 --> 00:02:39.000]  就是要從家庭生活開始實踐出來
[00:02:39.000 --> 00:02:40.000]  為什麼呢?
