
[00:00:00.000 --> 00:00:06.520]  以下跟大家讀出的經文是在舊約《新命記》第四章一至十四節
[00:00:06.520 --> 00:00:14.120]  是在大家手上的聖經舊約的218至219頁
[00:00:14.120 --> 00:00:16.420]  聖經這樣說:
[00:00:16.420 --> 00:00:21.620]  「以色列人啊,現在我所教訓你們的律例殿章
[00:00:21.620 --> 00:00:25.520]  你們要聽從遵行,好叫你們存活
[00:00:25.520 --> 00:00:31.460]  得以進入耶和華你們列祖之神所賜給你們的地
[00:00:31.460 --> 00:00:33.460]  承受遺孽
[00:00:33.460 --> 00:00:38.460]  所吩咐你們的話,你們不可加添,也不可刪減
[00:00:38.460 --> 00:00:41.660]  好叫你們遵守我所吩咐的
[00:00:41.660 --> 00:00:45.260]  就是耶和華你們神的命令
[00:00:45.260 --> 00:00:50.660]  耶和華因巴力比爾的事所行的,你們親眼看見了
[00:00:50.660 --> 00:00:56.960]  凡隨從巴力比爾的人,耶和華你們的神都從你們中間除滅了
[00:00:56.960 --> 00:01:03.760]  唯有你們專靠耶和華你們神的人,今日全都存活
[00:01:03.760 --> 00:01:09.960]  我照著耶和華我神所吩咐的,將律例殿章教訓你們
[00:01:09.960 --> 00:01:14.460]  使你們在所有進去得遺孽的地上遵行
[00:01:14.460 --> 00:01:17.960]  所以你們要謹守遵行
[00:01:17.960 --> 00:01:22.960]  這就是你們在萬民眼前的智慧聰明
[00:01:22.960 --> 00:01:26.460]  他們聽見這一切律例必說
[00:01:26.460 --> 00:01:29.960]  這大國的人真是有智慧有聰明
[00:01:29.960 --> 00:01:33.960]  哪一大國的人有神與他們相近
[00:01:33.960 --> 00:01:39.960]  像耶和華我們的神在我們求告他的時候與我們相近呢?
[00:01:39.960 --> 00:01:44.960]  由哪一大國有這樣公義的律例、殿章
[00:01:44.960 --> 00:01:49.960]  像我今日在你們面前所陳明的這一切律法呢?
[00:01:49.960 --> 00:01:54.960]  你只要謹慎,殷勤保守你的心力
[00:01:54.960 --> 00:01:58.960]  免得忘記你親眼所看見的事
[00:01:58.960 --> 00:02:02.960]  又免得你一生只是離開你的心
[00:02:02.960 --> 00:02:06.960]  總要傳給你的子子孫孫
[00:02:06.960 --> 00:02:11.960]  你在可列山站在耶和華你神面前的那一天
[00:02:11.960 --> 00:02:15.960]  耶和華對我說:你為我焦聚百姓
[00:02:15.960 --> 00:02:17.960]  我要叫他們聽見我的話
[00:02:17.960 --> 00:02:20.960]  使他們存活在世的日子
[00:02:20.960 --> 00:02:22.960]  可以學習敬畏我
[00:02:22.960 --> 00:02:25.960]  又可以教訓兒女這樣行
[00:02:25.960 --> 00:02:29.960]  那時你們近前來站在山下
[00:02:29.960 --> 00:02:31.960]  山上有火焰沖天
[00:02:31.960 --> 00:02:35.960]  並有昏黑、密雲、幽暗
[00:02:35.960 --> 00:02:38.960]  耶和華從火焰中對你們說話
[00:02:38.960 --> 00:02:42.960]  你們只聽見聲音,卻沒有看見形象
[00:02:42.960 --> 00:02:47.960]  他將所吩咐你們當守的約指示你們
[00:02:47.960 --> 00:02:49.960]  就是十條戒
[00:02:49.960 --> 00:02:53.960]  並將這戒寫在兩塊石板上
[00:02:53.960 --> 00:02:54.960]  十四節
[00:02:54.960 --> 00:03:00.960]  那時耶和華又吩咐我將律例、殿章教訓你們
[00:03:00.960 --> 00:03:05.960]  使你們在所有過去得遺孽的地上遵行
[00:03:05.960 --> 00:03:17.960]  丁姐妹新年快樂
[00:03:17.960 --> 00:03:20.960]  在新的一年,恭祝大家身體健康
[00:03:20.960 --> 00:03:22.960]  生命更上一層樓
[00:03:22.960 --> 00:03:26.960]  今日我們讀這段新命記
[00:03:26.960 --> 00:03:31.960]  是關於祝福及重要願景的經文
[00:03:31.960 --> 00:03:33.960]  在我們理解這段經文前
[00:03:33.960 --> 00:03:35.960]  有一個片段
[00:03:35.960 --> 00:03:37.960]  早幾天我在澳洲回來
[00:03:37.960 --> 00:03:39.960]  在澳洲回來時
[00:03:39.960 --> 00:03:42.960]  飛機機師通常會有一段廣播
[00:03:42.960 --> 00:03:44.960]  將要降落
[00:03:44.960 --> 00:03:48.960]  降落前,機師講完所有資料後
[00:03:48.960 --> 00:03:50.960]  用英文說「恭喜發財」
[00:03:50.960 --> 00:03:54.960]  然後整個飛機的人都在笑
[00:03:54.960 --> 00:03:57.960]  有一個虛構片段
[00:03:57.960 --> 00:04:00.960]  小朋友聽到「恭喜發財」
[00:04:00.960 --> 00:04:03.960]  小朋友問爸爸
[00:04:03.960 --> 00:04:06.960]  爸爸,為何平時你跟我說「恭喜」
[00:04:06.960 --> 00:04:08.960]  你沒有說「恭喜我發財」
[00:04:08.960 --> 00:04:11.960]  小朋友問是有道理的
[00:04:11.960 --> 00:04:14.960]  我們街上廣東人或香港人
[00:04:14.960 --> 00:04:17.960]  一見到人,新年打招呼就是「恭喜發財」
[00:04:17.960 --> 00:04:20.960]  但不會見爸爸和兒子「恭喜發財」
[00:04:20.960 --> 00:04:25.960]  一個爸爸聽到這句說話
[00:04:25.960 --> 00:04:28.960]  爸爸很有智慧地回答
[00:04:28.960 --> 00:04:32.960]  兒子,其實你人生需要的不是發財
[00:04:32.960 --> 00:04:35.960]  你人生需要的是智慧
[00:04:35.960 --> 00:04:37.960]  所以你要讀書聰明伶俐
[00:04:37.960 --> 00:04:39.960]  繼續有好的成長
[00:04:39.960 --> 00:04:41.960]  這就是爸爸對你的祝願
[00:04:41.960 --> 00:04:43.960]  是一個這樣的小片段
[00:04:43.960 --> 00:04:45.960]  不過你會見到
[00:04:45.960 --> 00:04:49.960]  其實一般在街上的祝福語
[00:04:49.960 --> 00:04:52.960]  和有關係緊密的祝福語
[00:04:52.960 --> 00:04:56.960]  兩個內容具體是有不同的
[00:04:56.960 --> 00:04:59.960]  有關係的祝福語會杜毀一些
[00:04:59.960 --> 00:05:01.960]  和知道對象的需要
[00:05:01.960 --> 00:05:03.960]  一般來說,你不知道對方
[00:05:03.960 --> 00:05:04.960]  就會說一些比較行
[00:05:04.960 --> 00:05:08.960]  或是世界價值所追求的祝福語
[00:05:08.960 --> 00:05:11.960]  你用這個角度來看
[00:05:11.960 --> 00:05:13.960]  今天在《新明記》第四章
[00:05:13.960 --> 00:05:17.960]  你就會明白摩西所說的這番說話
[00:05:17.960 --> 00:05:19.960]  是一個度身訂做
[00:05:19.960 --> 00:05:22.960]  為新一代的以色列子民
[00:05:22.960 --> 00:05:25.960]  來送上的一個祝福和一個糞便
[00:05:25.960 --> 00:05:28.960]  希望今天我們都拿了這段經文
[00:05:28.960 --> 00:05:31.960]  由《新明記》第四章一至十四節
[00:05:31.960 --> 00:05:33.960]  我們理解一下將要進入
[00:05:33.960 --> 00:05:34.960]  去得地為業
[00:05:34.960 --> 00:05:37.960]  將要安居樂業的這班以色列人
[00:05:37.960 --> 00:05:40.960]  摩西用什麼樣的勸勉來祝福他們
[00:05:40.960 --> 00:05:43.960]  我們先祈禱求上帝幫助
[00:05:43.960 --> 00:05:45.960]  上主願你幫助我們
[00:05:45.960 --> 00:05:47.960]  讓我們在新春的日子
[00:05:47.960 --> 00:05:50.960]  我們思想上帝你賜下的福氣
[00:05:50.960 --> 00:05:51.960]  又讓我們今天
[00:05:51.960 --> 00:05:53.960]  我們一同頂展會來聚集
[00:05:53.960 --> 00:05:55.960]  我們不單歡慶相聚
[00:05:55.960 --> 00:05:58.960]  也一同領受你的話語
[00:05:58.960 --> 00:06:00.960]  求你賜我們心靈悟性
[00:06:00.960 --> 00:06:03.960]  一起來明白你對我們所說的話
[00:06:03.960 --> 00:06:05.960]  也賜福給孫子說的
[00:06:05.960 --> 00:06:08.960]  讓孩子所說的話忠於聖經
[00:06:08.960 --> 00:06:12.960]  按著真理來頂展會領受
[00:06:12.960 --> 00:06:14.960]  讓我們在生活裡一起實踐
[00:06:14.960 --> 00:06:15.960]  恭敬將來的時間交託
[00:06:15.960 --> 00:06:16.960]  願你賜福
[00:06:16.960 --> 00:06:18.960]  獻上禱告奉求基督耶穌得聖的聖名
[00:06:18.960 --> 00:06:19.960]  Amen
[00:06:19.960 --> 00:06:23.960]  今天我們看的第四章一至十四節
[00:06:23.960 --> 00:06:25.960]  我們分為三個段落
[00:06:25.960 --> 00:06:28.960]  第一個段落是第一節至第四節
[00:06:28.960 --> 00:06:31.960]  這是整個生命記裡面
[00:06:31.960 --> 00:06:33.960]  一個很重要的神學觀念
[00:06:33.960 --> 00:06:35.960]  就叫做新典神學
[00:06:35.960 --> 00:06:37.960]  我先讀一段經文來聽
[00:06:37.960 --> 00:06:38.960]  以色列人
[00:06:38.960 --> 00:06:41.960]  現在我所教訓你們的律例典章
[00:06:41.960 --> 00:06:43.960]  你們要聽從進行
[00:06:43.960 --> 00:06:45.960]  好叫你們存活
[00:06:45.960 --> 00:06:48.960]  得以進入耶和華你們列祖之神
[00:06:48.960 --> 00:06:50.960]  所賜給你們的地
[00:06:50.960 --> 00:06:51.960]  承受為業
[00:06:51.960 --> 00:06:52.960]  所吩咐你們的
[00:06:52.960 --> 00:06:55.960]  說你們不可加添也不可刪減
[00:06:55.960 --> 00:06:57.960]  好叫你們遵守我所吩咐的
[00:06:57.960 --> 00:07:00.960]  就使耶和華你們神的命令
[00:07:00.960 --> 00:07:03.960]  耶和華因巴力比爾的事所行的
[00:07:03.960 --> 00:07:05.960]  你們親眼看見了
[00:07:05.960 --> 00:07:07.960]  凡隨從巴力比爾的人
[00:07:07.960 --> 00:07:09.960]  耶和華你們的神
[00:07:09.960 --> 00:07:11.960]  都從你們中間除滅了
[00:07:11.960 --> 00:07:14.960]  唯有你們專靠耶和華你們神的人
[00:07:14.960 --> 00:07:17.960]  今日全都存活
[00:07:17.960 --> 00:07:21.960]  在這裡其實是在說一個因果關係
[00:07:21.960 --> 00:07:25.960]  這個因果關係就是貫穿了舊約裡面
[00:07:25.960 --> 00:07:29.960]  由生命記到列王紀裡面
[00:07:29.960 --> 00:07:31.960]  這幾個篇幅裡面
[00:07:31.960 --> 00:07:32.960]  幾個聖經裡面
[00:07:32.960 --> 00:07:34.960]  一個很重要的神學觀念
[00:07:34.960 --> 00:07:36.960]  就叫做新典神學
[00:07:36.960 --> 00:07:38.960]  新典神學在說什麼呢
[00:07:38.960 --> 00:07:40.960]  就是說在生命記裡面
[00:07:40.960 --> 00:07:47.960]  摩西將一個上帝與子民關係的賜福和和幻
[00:07:47.960 --> 00:07:51.960]  這個生命裡面的因與果
[00:07:51.960 --> 00:07:53.960]  就表達了出來
[00:07:53.960 --> 00:07:54.960]  其實這個因與果
[00:07:54.960 --> 00:07:58.960]  建基於一個盟約的邏輯
[00:07:58.960 --> 00:08:01.960]  上帝與他的子民納約
[00:08:01.960 --> 00:08:04.960]  上帝對於納約的子民
[00:08:04.960 --> 00:08:06.960]  他是有要求的
[00:08:06.960 --> 00:08:08.960]  同樣納約的子民
[00:08:08.960 --> 00:08:11.960]  因為與上帝有一個這樣的納約關係
[00:08:11.960 --> 00:08:14.960]  上帝就將一個應許之地
[00:08:14.960 --> 00:08:16.960]  應許的福氣
[00:08:16.960 --> 00:08:18.960]  贈予
[00:08:18.960 --> 00:08:21.960]  送予給以色列民
[00:08:21.960 --> 00:08:24.960]  所以這是一個盟約的關係
[00:08:24.960 --> 00:08:27.960]  不過說盟約或者說約
[00:08:27.960 --> 00:08:30.960]  很多時候我們會有些誤解
