
[00:00:00.000 --> 00:00:03.760]  今日的經訓是記載在《約書亞記》
[00:00:03.760 --> 00:00:05.760]  十章一至十五節
[00:00:05.760 --> 00:00:07.760]  程序表已經刊載了
[00:00:07.760 --> 00:00:11.260]  或者可以在我們的屏幕看到
[00:00:11.260 --> 00:00:15.260]  《約書亞記》十章一至十五節
[00:00:15.260 --> 00:00:20.260]  耶路撒冷王亞多尼西德
[00:00:20.260 --> 00:00:23.260]  聽見約書亞奪了艾城
[00:00:23.260 --> 00:00:25.260]  進行毀滅
[00:00:25.260 --> 00:00:29.260]  怎樣待耶利哥和耶利哥的王
[00:00:29.260 --> 00:00:32.260]  也照樣待艾城和艾城的王
[00:00:32.260 --> 00:00:35.260]  又聽見姬遍的居民
[00:00:35.260 --> 00:00:37.260]  與以色列人納了和約
[00:00:37.260 --> 00:00:39.260]  住在他們中間
[00:00:39.260 --> 00:00:41.260]  就甚懼怕
[00:00:41.260 --> 00:00:44.260]  因為姬遍是一座大城
[00:00:44.260 --> 00:00:48.260]  如都城一般比艾城更大
[00:00:48.260 --> 00:00:52.260]  並且城內的人都是勇士
[00:00:52.260 --> 00:00:55.260]  所以耶路撒冷王亞多尼西德
[00:00:55.260 --> 00:00:59.260]  打發人去見希伯倫王可咸
[00:00:59.260 --> 00:01:01.260]  耶末王彼蘭
[00:01:01.260 --> 00:01:04.260]  拉吉王瓦非亞
[00:01:04.260 --> 00:01:09.260]  和伊基倫王底碧雪
[00:01:09.260 --> 00:01:12.260]  求你們上來幫助我
[00:01:12.260 --> 00:01:14.260]  我們好功打姬遍
[00:01:14.260 --> 00:01:20.260]  因為他們與約書亞和以色列人納了和約
[00:01:20.260 --> 00:01:23.260]  於是五個阿摩尼王
[00:01:23.260 --> 00:01:26.260]  就是耶路撒冷王
[00:01:26.260 --> 00:01:27.260]  希伯倫王
[00:01:27.260 --> 00:01:29.260]  耶末王
[00:01:29.260 --> 00:01:30.260]  拉吉王
[00:01:30.260 --> 00:01:32.260]  伊基倫王
[00:01:32.260 --> 00:01:33.260]  大家聚集
[00:01:33.260 --> 00:01:36.260]  率領他們的眾軍上去
[00:01:36.260 --> 00:01:39.260]  對著姬遍安營
[00:01:39.260 --> 00:01:41.260]  攻打姬遍
[00:01:41.260 --> 00:01:45.260]  姬遍人就打發往吉格的營中
[00:01:45.260 --> 00:01:47.260]  去見約書亞
[00:01:47.260 --> 00:01:51.260]  說:你不要就手不顧你的僕人
[00:01:51.260 --> 00:01:54.260]  求你速速上來拯救我們
[00:01:54.260 --> 00:01:56.260]  幫助我們
[00:01:56.260 --> 00:02:00.260]  因為住在山地阿摩尼人的諸王
[00:02:00.260 --> 00:02:03.260]  都聚集攻擊我們
[00:02:03.260 --> 00:02:07.260]  於是約書亞和他一切兵兵
