
[00:00:00.000 --> 00:00:05.520]  今日經訓是記載在哥倫多後書9章1至15節
[00:00:05.520 --> 00:00:08.640]  新約聖經252頁
[00:00:08.640 --> 00:00:10.960]  新約聖經252頁
[00:00:10.960 --> 00:00:14.240]  哥倫多後書9章1至15節
[00:00:14.240 --> 00:00:19.840]  「論道攻及聖徒的事
[00:00:19.840 --> 00:00:22.000]  我不必寫信給你們
[00:00:22.000 --> 00:00:24.560]  因為我知道你們樂意的心
[00:00:24.560 --> 00:00:27.680]  常對馬其頓人誇獎你們
[00:00:27.680 --> 00:00:31.760]  說:『阿該亞人預備好了,已經有一年了
[00:00:31.760 --> 00:00:36.320]  並且你們的熱心激動了許多人
[00:00:36.320 --> 00:00:38.960]  但我打發那幾位弟兄去
[00:00:38.960 --> 00:00:42.080]  要叫你們照我的話預備妥當
[00:00:42.080 --> 00:00:47.040]  免得我們在這事上誇獎你們的話落了空
[00:00:47.040 --> 00:00:49.920]  萬一有馬其頓人與我同去
[00:00:49.920 --> 00:00:51.680]  見你們沒有預備
[00:00:51.680 --> 00:00:55.840]  就叫我們所確信的反誠了羞愧
[00:00:55.840 --> 00:00:59.200]  你們羞愧更不用說了
[00:00:59.200 --> 00:01:04.880]  因此,我想不得不求那幾位弟兄先到你們那裡去
[00:01:04.880 --> 00:01:08.640]  把從前所應許的捐資預備妥當
[00:01:08.640 --> 00:01:12.080]  就顯出你們所捐的是出於樂意
[00:01:12.080 --> 00:01:15.040]  不是出於勉強
[00:01:15.040 --> 00:01:18.400]  少眾的少收,多眾的多收
[00:01:18.400 --> 00:01:20.160]  這話是真的
[00:01:20.160 --> 00:01:23.040]  各人要隨本心所著定的
[00:01:23.040 --> 00:01:25.520]  不要作難,不要勉強
[00:01:25.520 --> 00:01:29.760]  因為捐得樂意的人是神所喜悅的
[00:01:29.760 --> 00:01:33.760]  神能將各樣的恩惠多多的加給你們
[00:01:33.760 --> 00:01:36.720]  使你們凡事上上充足
[00:01:36.720 --> 00:01:40.560]  能多行各樣善事如經上所記
[00:01:40.560 --> 00:01:43.600]  他施捨錢財,周濟貧窮
[00:01:43.600 --> 00:01:47.920]  他的仁義傳道永遠
[00:01:47.920 --> 00:01:51.840]  那似眾給撒種的,似糧給人吃的
[00:01:51.840 --> 00:01:55.280]  必多多加給你們種地的種子
[00:01:55.280 --> 00:01:57.840]  又增添你們仁義的果子
[00:01:57.840 --> 00:02:01.680]  叫你們凡事富足,可以多多施捨
[00:02:01.680 --> 00:02:05.520]  就藉著我們使感謝歸於神
[00:02:05.520 --> 00:02:07.840]  因為辦這功級的事
[00:02:07.840 --> 00:02:10.400]  不但補聖徒的缺乏
[00:02:10.400 --> 00:02:13.840]  而且叫許多人越發感謝神
[00:02:13.840 --> 00:02:17.360]  他們從這功級的事上得了憑據
[00:02:17.360 --> 00:02:21.120]  知道你們承認基督信服他的福音
[00:02:21.120 --> 00:02:27.760]  多多捐錢給他們和眾人
[00:02:27.760 --> 00:02:30.080]  便將榮耀歸於神
[00:02:30.080 --> 00:02:32.960]  他們也因神極大的恩賜
