
[00:00:00.000 --> 00:00:03.000]  (主席)今日重讀的經文有兩段
[00:00:03.000 --> 00:00:09.000]  分別是《馬太福音》21章33至46節
[00:00:09.000 --> 00:00:14.000]  和詩篇118篇22至25節
[00:00:14.000 --> 00:00:16.000]  請聽我讀出
[00:00:16.000 --> 00:00:21.000]  《馬太福音》21章33至46節
[00:00:21.000 --> 00:00:25.000]  你們再聽一個比喻
[00:00:25.000 --> 00:00:29.000]  有個家主栽了一個葡萄園
[00:00:29.000 --> 00:00:32.000]  周圍圈上泥巴
[00:00:32.000 --> 00:00:35.000]  裏面掛了一個壓酒池
[00:00:35.000 --> 00:00:37.000]  蓋了一座樓
[00:00:37.000 --> 00:00:41.000]  租給員戶就往外國去了
[00:00:41.000 --> 00:00:44.000]  收果子的時候近了
[00:00:44.000 --> 00:00:50.000]  就打發僕人到員戶那裏去收果子
[00:00:50.000 --> 00:00:54.000]  員戶拿著僕人打了一個
[00:00:54.000 --> 00:00:55.000]  殺了一個
[00:00:55.000 --> 00:00:58.000]  用石頭打死一個
[00:00:58.000 --> 00:01:03.000]  員主又打發別的僕人去
[00:01:03.000 --> 00:01:05.000]  比先前更多
[00:01:05.000 --> 00:01:09.000]  員戶還是照樣待他們
[00:01:09.000 --> 00:01:14.000]  後來打發他的兒子到他們那裏去
[00:01:14.000 --> 00:01:19.000]  意思說他們必尊敬我的兒子
[00:01:19.000 --> 00:01:24.000]  不料員戶看見他兒子就彼此說
[00:01:24.000 --> 00:01:28.000]  這是承受產業的泥巴
[00:01:28.000 --> 00:01:32.000]  我們殺他佔他的產業
[00:01:32.000 --> 00:01:37.000]  他們就拿著他推出葡萄園外殺了
[00:01:37.000 --> 00:01:43.000]  員主來的時候要怎樣處置這些員戶呢?
[00:01:43.000 --> 00:01:49.000]  他們說要下毒手除滅那些惡人
[00:01:49.000 --> 00:01:56.000]  將葡萄園另租給那按著時候交果子的員戶
[00:01:56.000 --> 00:01:58.000]  耶穌說
[00:01:58.000 --> 00:02:00.000]  經上寫著
[00:02:00.000 --> 00:02:06.000]  將人所棄的石頭已作了房閣的頭塊石頭
[00:02:06.000 --> 00:02:09.000]  這是主所作的
[00:02:09.000 --> 00:02:12.000]  在我們眼中看為稀奇
[00:02:12.000 --> 00:02:15.000]  這經你們沒有念過嗎?
[00:02:15.000 --> 00:02:18.000]  所以我告訴你們
[00:02:18.000 --> 00:02:21.000]  神的國必從你們奪去
[00:02:21.000 --> 00:02:25.000]  次級那能結果子的百姓
[00:02:25.000 --> 00:02:29.000]  誰掉在這石頭上必要奪誰
[00:02:29.000 --> 00:02:32.000]  這石頭掉在誰的身上
[00:02:32.000 --> 00:02:36.000]  就要把誰砸得稀爛
[00:02:36.000 --> 00:02:41.000]  祭司長和法利賽人聽見他的比喻
[00:02:41.000 --> 00:02:45.000]  就看出他是指著他們說的
[00:02:45.000 --> 00:02:48.000]  他們想要捉拿他
[00:02:48.000 --> 00:02:50.000]  只是怕眾人
[00:02:50.000 --> 00:02:54.000]  因為眾人以他為先知
[00:02:54.000 --> 00:02:59.000]  詩篇118篇22至25節
[00:02:59.000 --> 00:03:06.000]  將人所棄的石頭已成了房閣的頭塊石頭
[00:03:06.000 --> 00:03:08.000]  這是耶和華所作的
[00:03:08.000 --> 00:03:12.000]  在我們眼中看為稀奇
[00:03:12.000 --> 00:03:15.000]  這是耶和華所定的日子
[00:03:15.000 --> 00:03:18.000]  我們在其中要高興歡喜
[00:03:18.000 --> 00:03:21.000]  耶和華求你拯救
[00:03:21.000 --> 00:03:25.000]  耶和華求你使我們亨通
[00:03:25.000 --> 00:03:27.000]  聖經獨筆
[00:03:27.000 --> 00:03:35.000]  請姐妹平安
[00:03:35.000 --> 00:03:40.000]  今天已經是張臨奇的第二個主日
[00:03:40.000 --> 00:03:42.000]  換句話說
[00:03:42.000 --> 00:03:46.000]  距離聖誕節的日子再近一步
[00:03:46.000 --> 00:03:47.000]  按照教會的傳統
[00:03:47.000 --> 00:03:51.000]  張臨奇有兩個重要的意義
[00:03:51.000 --> 00:03:53.000]  或兩層的意義
[00:03:53.000 --> 00:03:55.000]  都是與預備有關
