
[00:00:00.000 --> 00:00:17.000]  今日經訓於《新約聖經》第129頁,約翰福音第4章5-15
[00:00:17.000 --> 00:00:20.000]  請聽我讀出
[00:00:20.000 --> 00:00:39.000]  於是到了撒瑪利亞的一座城,名叫聚迦,靠近瓦國給他兒子約瑟的那塊地,在那裡有瓦國井,耶穌因走路困倦,就坐在井旁。
[00:00:39.000 --> 00:00:54.000]  那時約有誤證,有一個撒瑪利亞的婦人來打水,耶穌對她說:「請你給我水喝。」那時門徒進城買食物去了。
[00:00:54.000 --> 00:01:08.000]  撒瑪利亞的婦人對他說:「你既是猶太人,怎麼向我一個撒瑪利亞人要水喝呢?」原來猶太人和撒瑪利亞人沒有來往。
[00:01:08.000 --> 00:01:20.000]  耶穌回答說:「你若知道神的恩賜,我對你說給我水喝的是誰,你必早求他,他也必早給了你活水。」
[00:01:20.000 --> 00:01:29.000]  婦人說:「先生,我有打水的器皿,井有心,你往哪裡得活水呢?」
[00:01:29.000 --> 00:01:41.000]  「我們的祖宗瓦國將這井留給我們,他自己和兒子,並生畜也都喝這井裡的水,難道你比他還大嗎?」
[00:01:41.000 --> 00:01:57.000]  耶穌回答說:「凡喝這水的,還要再喝。人若喝我所賜的水,就永遠不喝。我所賜的水,要在他裡頭成為泉源,直湧到永生。」
[00:01:57.000 --> 00:02:14.000]  婦人說:「先生,請把這水賜給我,叫我不喝,也不用來這麼遠打水。」
[00:02:14.000 --> 00:02:17.000]  各位觀眾,早安!
[00:02:17.000 --> 00:02:27.000]  看聖經是很長的,我們讀經只是讀了其中一部分,因為如果讀完整張聖經就太過冗長了。
[00:02:27.000 --> 00:02:39.000]  耶穌在瓦國井旁和婦人談道的故事,我們都很熟悉的,這是一個內容很豐富的故事,可以從不同的角度去詮釋去理解。
[00:02:39.000 --> 00:02:48.000]  例如,有人就耶穌一句話,建立起他們的崇拜神學,這樣算不算是小題大做呢?可以相確的。
[00:02:48.000 --> 00:02:59.000]  不過,今天我們只是專注去看,這是一個談道的故事,用我們慣常的說法,耶穌是向一個陌生的婦人傳福音。
