
[00:00:00.000 --> 00:00:04.040]  接著我們繼續以聆聽聖道去敬拜我們的主
[00:00:04.040 --> 00:00:11.240]  今日的經訓是在《馬可福音》10章17至22節
[00:00:11.240 --> 00:00:17.960]  耶穌出來行路的時候
[00:00:17.960 --> 00:00:20.160]  有一個人跑來
[00:00:20.160 --> 00:00:22.960]  跪在他面前
[00:00:22.960 --> 00:00:24.680]  問他說
[00:00:25.640 --> 00:00:31.880]  良善的夫子,我當作什麼事才可以承受永生?
[00:00:31.880 --> 00:00:34.960]  耶穌對他說
[00:00:34.960 --> 00:00:38.560]  你為什麼稱我是良善的?
[00:00:38.560 --> 00:00:44.680]  除了神一位之外,再沒有良善的
[00:00:44.680 --> 00:00:49.120]  誡命你是曉得的
[00:00:49.120 --> 00:00:50.960]  不可殺人
[00:00:50.960 --> 00:00:52.720]  不可姦淫
[00:00:52.720 --> 00:00:54.360]  不可偷盜
[00:00:54.560 --> 00:00:56.360]  不可作假見證
[00:00:56.360 --> 00:00:58.320]  不可窺婦人
[00:00:58.320 --> 00:01:00.680]  當孝敬父母
[00:01:00.680 --> 00:01:03.640]  他對耶穌說
[00:01:03.640 --> 00:01:10.000]  夫子,這一切我從小都遵守了
[00:01:10.000 --> 00:01:13.760]  耶穌看著他
[00:01:13.760 --> 00:01:15.280]  就愛他
[00:01:15.280 --> 00:01:16.480]  對他說
[00:01:16.480 --> 00:01:19.200]  你還缺少一件
[00:01:19.200 --> 00:01:23.600]  去變賣你所有的分級窮人
[00:01:24.160 --> 00:01:26.840]  就必有財寶在天上
[00:01:26.840 --> 00:01:31.080]  你還要來跟從我?
[00:01:31.080 --> 00:01:34.360]  他聽見這話
[00:01:34.360 --> 00:01:36.440]  念想就變了色
[00:01:36.440 --> 00:01:39.680]  悠悠愁愁的走了
[00:01:39.680 --> 00:01:43.360]  因為他的產業很多
[00:01:43.360 --> 00:01:50.400]  今天,陳冠成牧師會為我們宣講上帝的訊息
[00:01:50.720 --> 00:01:54.720]  題目是「感動還需感動?」
[00:01:54.720 --> 00:02:03.720]  弟兄姊妹平安
[00:02:03.720 --> 00:02:10.360]  還有差不多兩個星期就到復活節
[00:02:10.360 --> 00:02:14.720]  所以今天很想和大家看一段關於耶穌基督
[00:02:14.720 --> 00:02:19.640]  他在踏上耶路撒冷受苦之旅其中一個經歷
[00:02:20.320 --> 00:02:22.960]  其實這段經文我們都很熟悉
[00:02:22.960 --> 00:02:25.920]  不單止馬可科音
[00:02:25.920 --> 00:02:29.200]  馬太科音和路加科音都有記載這段經歷
[00:02:29.200 --> 00:02:33.000]  經文裡說到有一個人來找耶穌
[00:02:33.000 --> 00:02:35.400]  馬太科音補充了一些資料
[00:02:35.400 --> 00:02:36.720]  說他其實是一個年輕人
[00:02:36.720 --> 00:02:39.200]  路加科音說他是做官的
[00:02:39.200 --> 00:02:43.560]  而馬可科音說故事的結尾
[00:02:43.560 --> 00:02:45.640]  交代了他有很多產業
[00:02:45.640 --> 00:02:47.040]  是一個富有的人
[00:02:47.720 --> 00:02:52.400]  他擁有我們說令人羨慕的生活條件
[00:02:52.400 --> 00:02:55.200]  不過他覺得自己欠缺一件事
[00:02:55.200 --> 00:02:56.640]  沒有永生的把握
[00:02:56.640 --> 00:02:59.720]  於是他專程來向耶穌求教
[00:02:59.720 --> 00:03:03.480]  我們看到整個圖畫都很特別
[00:03:03.480 --> 00:03:07.880]  他很主動來找耶穌
[00:03:07.880 --> 00:03:09.760]  但來到最後
[00:03:09.760 --> 00:03:12.640]  他又很憂愁地離開了耶穌
[00:03:12.640 --> 00:03:15.320]  當你看到這個情景
[00:03:15.320 --> 00:03:17.360]  讓你想起什麼呢?
[00:03:17.960 --> 00:03:20.840]  話說在一個聚會裡
[00:03:20.840 --> 00:03:22.320]  有一群社會賢達
[00:03:22.320 --> 00:03:23.240]  有一些學者
[00:03:23.240 --> 00:03:25.160]  甚至有一些教會的牧者
[00:03:25.160 --> 00:03:26.040]  他們聚首一堂
[00:03:26.040 --> 00:03:28.680]  雖然他們的職業都不同
[00:03:28.680 --> 00:03:31.240]  但他們都有一個共通點
[00:03:31.240 --> 00:03:33.640]  就是他們經常會去到不同的地方
[00:03:33.640 --> 00:03:35.400]  來跟別人分享
[00:03:35.400 --> 00:03:38.360]  如何讓自己的人生更加精彩
[00:03:38.360 --> 00:03:43.600]  其中有一個人在當中半開玩笑地說
[00:03:43.600 --> 00:03:47.200]  我們每一年在台上都對著不少人
[00:03:47.200 --> 00:03:50.640]  甚至乎有千上萬的人來說話
[00:03:50.640 --> 00:03:52.520]  但大家覺得
[00:03:52.520 --> 00:03:54.880]  有多少人聽完我們說話之後
[00:03:54.880 --> 00:03:56.880]  真的願意跟著去做呢?
[00:03:56.880 --> 00:04:00.120]  大家就靜了一靜
[00:04:00.120 --> 00:04:03.320]  之後陸續有人開口
[00:04:03.320 --> 00:04:05.680]  有人說我猜有兩成左右
[00:04:05.680 --> 00:04:08.440]  有人說我猜只有一成
[00:04:08.440 --> 00:04:11.640]  也有人說我猜百分之一左右
[00:04:11.640 --> 00:04:14.200]  事實上他們都很認同
[00:04:14.200 --> 00:04:16.680]  就是很多人聽到他們的分享之後
[00:04:16.680 --> 00:04:17.880]  真的深受感動
[00:04:17.880 --> 00:04:21.280]  但亦都慨嘆可能只有少數的人
[00:04:21.280 --> 00:04:23.000]  生命有所改變
[00:04:23.000 --> 00:04:25.240]  我想正如今日
[00:04:25.240 --> 00:04:28.040]  無數的人都深被耶穌的教導
[00:04:28.040 --> 00:04:30.320]  被祂的言行為之感動
[00:04:30.320 --> 00:04:34.760]  但又有多少人願意遵行耶穌的吩咐呢?
[00:04:34.760 --> 00:04:38.840]  當然我們沒有統計過有多少人
[00:04:38.840 --> 00:04:40.840]  但我盼望
[00:04:40.840 --> 00:04:42.280]  我們都是其中的一個
[00:04:42.840 --> 00:04:44.840]  就如今日這個講題所說
[00:04:44.840 --> 00:04:46.720]  我們不單對耶穌的吩咐
[00:04:46.720 --> 00:04:47.880]  對祂的教導
[00:04:47.880 --> 00:04:49.400]  不只是感動
[00:04:49.400 --> 00:04:54.560]  更加勇敢地用行動來實踐
[00:04:54.560 --> 00:04:57.520]  以行動來回應所聽到的道
[00:04:57.520 --> 00:05:00.200]  所以為此我們一起先有個祈禱
[00:05:00.200 --> 00:05:01.880]  我們交託給上帝幫助我們
[00:05:01.880 --> 00:05:05.120]  聖靈啊,願祢與我們同在
[00:05:05.120 --> 00:05:07.440]  讓我們真是柔和謙卑
[00:05:07.440 --> 00:05:10.360]  讓我們有悟性能夠明白
[00:05:10.360 --> 00:05:11.440]  聖經的真理
[00:05:11.440 --> 00:05:13.640]  耶穌祢對我們的教導和吩咐
[00:05:13.640 --> 00:05:17.320]  也讓我們不單單只心裏有感動
[00:05:17.320 --> 00:05:22.520]  更加讓我們願意用行動來回應祢
[00:05:22.520 --> 00:05:24.880]  切切實實地跟隨祢
[00:05:24.880 --> 00:05:28.000]  為此我們同心獻上我們的祈禱
[00:05:28.000 --> 00:05:29.520]  靠上帝幫助我們
[00:05:29.520 --> 00:05:30.640]  奉基督耶穌
[00:05:30.640 --> 00:05:32.040]  祢的冥之來祈求
[00:05:32.040 --> 00:05:33.040]  阿們
