
[00:00:00.000 --> 00:00:17.000]  《一路人情》 詞:陳家麗 曲:陳家麗
[00:00:17.000 --> 00:00:31.000]  一路人情 你是人 附著我走情路
[00:00:31.000 --> 00:00:44.000]  天天教我 怎約求吻 永不離婚夫的
[00:00:44.000 --> 00:00:57.000]  做我心知己知 做我甘愛你曾甘
[00:00:57.000 --> 00:01:11.000]  做我孤獨並犧牲 不變甘愛負責
[00:01:11.000 --> 00:01:27.000]  吻住情愛你
[00:01:27.000 --> 00:01:40.000]  一路人情 你是人 附著我走情路
[00:01:40.000 --> 00:01:52.000]  天天教我 怎約求吻 永不離婚夫的
[00:01:52.000 --> 00:02:05.000]  做我心知己知 做我甘愛你曾甘
[00:02:05.000 --> 00:02:18.000]  做我孤獨並犧牲 不變甘愛負責
[00:02:18.000 --> 00:02:36.000]  吻住情愛你
[00:02:36.000 --> 00:02:53.000]  我冥冥地追魂鎖 忘詞真自由 從誰淚光釋放
[00:02:53.000 --> 00:03:05.000]  做我心知己知 做我甘愛你曾甘
[00:03:05.000 --> 00:03:18.000]  做我孤獨並犧牲 不變甘愛負責
[00:03:18.000 --> 00:03:39.000]  吻住情愛你
[00:03:39.000 --> 00:03:56.000]  我冥冥地追魂鎖 忘詞真自由 從誰淚光釋放
[00:03:56.000 --> 00:04:10.000]  今天經訓是《馬可福音》8章27-35節 新約聖經59頁
[00:04:10.000 --> 00:04:16.000]  耶穌和門徒出去往愛薩利亞 菲勒比的村莊去
[00:04:16.000 --> 00:04:22.000]  在路上問門徒說 人說我是誰 他們說
[00:04:22.000 --> 00:04:26.000]  有人說是施浸的約翰 有人說是以利亞
[00:04:26.000 --> 00:04:35.000]  又有人說是先知女的一位 又問他們說 你們說我是誰
[00:04:35.000 --> 00:04:43.000]  彼得回答說 你是基督 耶穌就禁戒他們 不要告訴人
[00:04:43.000 --> 00:04:48.000]  從此他教訓他們說 人只必須受許多的苦
[00:04:48.000 --> 00:04:56.000]  被長老 祭司長和民事氣絕 並且被殺 過三天復活
[00:04:56.000 --> 00:05:01.000]  耶穌明明的說者說 彼得就拉著他 勸他
[00:05:01.000 --> 00:05:08.000]  耶穌轉過來向著門徒 就責備彼得說 撒旦 退我後邊去吧
[00:05:08.000 --> 00:05:13.000]  因為你不體貼神的意思 只體貼人的意思
[00:05:13.000 --> 00:05:20.000]  於是叫眾人和門徒來 對他們說 若有人要跟從我 就當社己
[00:05:20.000 --> 00:05:28.000]  背起他的十字架來跟從我 因為凡要救自己生命的 必喪掉生命
[00:05:28.000 --> 00:05:33.000]  凡為我和福音喪掉生命的 必救了生命
[00:05:42.000 --> 00:05:44.000]  頂姐妹平安
[00:05:44.000 --> 00:05:51.000]  就著今天這個講題 想先問大家一個問題
[00:05:51.000 --> 00:05:56.000]  你覺得你是否一個成功的人士?
[00:05:56.000 --> 00:05:58.000]  通常沒有人夠膽回答
[00:05:58.000 --> 00:06:01.000]  沒有人夠膽這麼承認自己是成功人士
[00:06:01.000 --> 00:06:03.000]  轉到另一個問題
[00:06:03.000 --> 00:06:07.000]  在你而言 你覺得甚麼為之成功?
[00:06:07.000 --> 00:06:10.000]  心裏可能開始有點盤算
[00:06:10.000 --> 00:06:16.000]  可能我要有甚麼物質或身份 就代表成功
[00:06:16.000 --> 00:06:20.000]  就著這個題目 我問AI
[00:06:20.000 --> 00:06:26.000]  大家幾個字都同意 2006年成功定義排行榜
[00:06:26.000 --> 00:06:28.000]  你猜第一位是甚麼?
[00:06:28.000 --> 00:06:30.000]  你猜猜
[00:06:30.000 --> 00:06:32.000]  猜到嗎?
[00:06:32.000 --> 00:06:40.000]  成功的定義 第一位是身心健康和快樂
[00:06:40.000 --> 00:06:42.000]  你覺不覺得?
[00:06:42.000 --> 00:06:44.000]  你覺不覺得現在多了很多講
[00:06:44.000 --> 00:06:48.000]  裏面這幾年講的不是身體健康這麼簡單
[00:06:48.000 --> 00:06:51.000]  心靈健康 或者是情緒也要健康
[00:06:51.000 --> 00:06:53.000]  現在很流行的一個字叫情緒
[00:06:53.000 --> 00:06:55.000]  給你一些情緒價值
[00:06:55.000 --> 00:06:58.000]  又或者幸福感這幾個字在這幾年很流行
[00:06:58.000 --> 00:07:00.000]  這是第一位
[00:07:00.000 --> 00:07:02.000]  第二位知不知道是甚麼?
[00:07:02.000 --> 00:07:06.000]  第二位就是工作和生活平衡
[00:07:06.000 --> 00:07:08.000]  我們用英文講就是甚麼?
[00:07:08.000 --> 00:07:11.000]  work life balance
[00:07:11.000 --> 00:07:14.000]  原來不只是工作 不是工作最重要
[00:07:14.000 --> 00:07:17.000]  原來我個人的需要或者家裡的需要都很重要
[00:07:17.000 --> 00:07:21.000]  所以你發現一有假期香港人就會怎樣?
[00:07:21.000 --> 00:07:23.000]  大家都答到了
[00:07:23.000 --> 00:07:27.000]  有人說可能你一年多過四次旅行
[00:07:27.000 --> 00:07:30.000]  有沒有人? 你已經是一個成功人士
[00:07:30.000 --> 00:07:32.000]  如果按照這件事講
[00:07:32.000 --> 00:07:36.000]  你去六次 你超級成功
[00:07:36.000 --> 00:07:39.000]  第三 第三是甚麼?
[00:07:39.000 --> 00:07:45.000]  第三就是財務穩定和自由
[00:07:45.000 --> 00:07:47.000]  財富依然是重要的
[00:07:47.000 --> 00:07:50.000]  不過目標不是為了大富大貴
[00:07:50.000 --> 00:07:52.000]  而是為了甚麼?
[00:07:52.000 --> 00:07:57.000]  夠就夠了 是的 我財富自由
[00:07:57.000 --> 00:07:59.000]  下一句是甚麼?
[00:07:59.000 --> 00:08:03.000]  我可以實現一下自己的人生夢想
[00:08:03.000 --> 00:08:05.000]  所以你又發現現在有時電視
[00:08:05.000 --> 00:08:09.000]  我昨天無端端看電視講怎樣退休
[00:08:09.000 --> 00:08:12.000]  講去哪裏退休比較划算
[00:08:12.000 --> 00:08:14.000]  講的人你知不知道多少歲?
[00:08:14.000 --> 00:08:16.000]  五十歲都未夠
[00:08:16.000 --> 00:08:18.000]  三十多歲就想退休
[00:08:18.000 --> 00:08:20.000]  即是想我不一定要很多錢
[00:08:20.000 --> 00:08:22.000]  如果在某個地方退休
[00:08:22.000 --> 00:08:24.000]  我有某個數目就可以了
[00:08:24.000 --> 00:08:27.000]  不需要很富貴 但是財務自由
[00:08:27.000 --> 00:08:29.000]  不需要為了房子做奴隸
[00:08:29.000 --> 00:08:31.000]  不需要為了工作做奴隸
[00:08:31.000 --> 00:08:33.000]  第四 第四是甚麼?
[00:08:33.000 --> 00:08:36.000]  第四即是傳統一點 甚麼為之成功?
[00:08:36.000 --> 00:08:39.000]  就是對社會有影響力
[00:08:39.000 --> 00:08:40.000]  得到人認同
[00:08:40.000 --> 00:08:42.000]  比較近我們傳統所講
