
[00:00:00.000 --> 00:00:06.000]  讓我們一起繼續以聆聽聖道去敬拜我們的神
[00:00:06.000 --> 00:00:14.000]  今日所選的經訓在路加福音第九章五十一至六十二節
[00:00:14.000 --> 00:00:21.000]  路加福音第九章五十一節
[00:00:21.000 --> 00:00:25.000]  耶穌被接上升的日子將到
[00:00:25.000 --> 00:00:30.000]  他就定義向耶路撒冷去
[00:00:30.000 --> 00:00:34.000]  便打發使者在他前頭走
[00:00:34.000 --> 00:00:37.000]  他們到了撒瑪利亞的一個村莊
[00:00:37.000 --> 00:00:40.000]  要為他預備
[00:00:40.000 --> 00:00:43.000]  那裡的人不接待他
[00:00:43.000 --> 00:00:47.000]  因他面向耶路撒冷去
[00:00:47.000 --> 00:00:51.000]  他的門徒雅各約翰看見了
[00:00:51.000 --> 00:00:58.000]  就說:「主啊,你要我們吩咐火從天上降下來
[00:00:58.000 --> 00:01:03.000]  消滅他們,像以利亞所作的魔?」
[00:01:03.000 --> 00:01:08.000]  耶穌轉身擲避兩個門徒說
[00:01:08.000 --> 00:01:13.000]  「你們的心如何?你們並不知道
[00:01:13.000 --> 00:01:17.000]  人子來不是要滅人的性命
[00:01:17.000 --> 00:01:20.000]  是要救人的性命
[00:01:20.000 --> 00:01:25.000]  說著就往別的村莊去了」
[00:01:25.000 --> 00:01:29.000]  他們走路的時候
[00:01:29.000 --> 00:01:32.000]  有一個人對耶穌說
[00:01:32.000 --> 00:01:37.000]  「你無論往哪裡去,我要跟從你」
[00:01:37.000 --> 00:01:39.000]  耶穌說
[00:01:39.000 --> 00:01:44.000]  「湖裡有洞,天空的飛鳥有窩
[00:01:44.000 --> 00:01:48.000]  只是人子沒有枕頭的地方」
[00:01:48.000 --> 00:01:51.000]  又對一個人說
[00:01:51.000 --> 00:01:53.000]  「跟從我來」
[00:01:53.000 --> 00:01:55.000]  那人說
[00:01:55.000 --> 00:02:00.000]  「主,容我先回去埋葬我的父親」
[00:02:00.000 --> 00:02:02.000]  耶穌說
[00:02:02.000 --> 00:02:06.000]  「任憑死人埋葬他們的死人
[00:02:06.000 --> 00:02:10.000]  你只管去傳揚神國的道」
[00:02:10.000 --> 00:02:13.000]  又有一人說
[00:02:13.000 --> 00:02:16.000]  「主,我要跟從你
[00:02:16.000 --> 00:02:21.000]  但容我先去賜別我家裡的人」
[00:02:21.000 --> 00:02:23.000]  耶穌說
[00:02:23.000 --> 00:02:26.000]  「手扶著泥向後看的
[00:02:26.000 --> 00:02:29.000]  不配進神的國」
[00:02:29.000 --> 00:02:35.000]  弟兄姊妹
[00:02:35.000 --> 00:02:40.000]  我們今天繼續《門徒生命曆》這個系列
[00:02:40.000 --> 00:02:42.000]  不知道大家還記不記得第一講
[00:02:42.000 --> 00:02:45.000]  陳明泉牧師分享到
[00:02:45.000 --> 00:02:48.000]  《路加福音》第九章五十一節
[00:02:48.000 --> 00:02:51.000]  至第十九章四十四節
[00:02:51.000 --> 00:02:57.000]  被譽為在《路加福音》裡的旅途敘事
[00:02:57.000 --> 00:03:00.000]  是指耶穌和一群門徒上耶路撒冷
[00:03:00.000 --> 00:03:06.000]  成就救恩的這段路途的事蹟和教訓
[00:03:06.000 --> 00:03:08.000]  我還記得他當時比喻
[00:03:08.000 --> 00:03:13.000]  這就像一個公路電影一樣
[00:03:13.000 --> 00:03:18.000]  其實公路電影是一種將故事背景
[00:03:18.000 --> 00:03:22.000]  設定在旅途上的一種電影的類型
[00:03:22.000 --> 00:03:28.000]  主角通常會為了某些緣故而踏上這個路途
[00:03:28.000 --> 00:03:30.000]  這個與別不同的路途
[00:03:30.000 --> 00:03:34.000]  他們可能有些會為了逃避現實
[00:03:34.000 --> 00:03:37.000]  有些說要尋找自我
[00:03:37.000 --> 00:03:40.000]  或者他們想完成特定的任務
[00:03:40.000 --> 00:03:42.000]  而踏上這個旅途
[00:03:42.000 --> 00:03:48.000]  往往劇情的重點不在於它的終點
[00:03:48.000 --> 00:03:52.000]  而是在於在途中他們所遇見的人
[00:03:52.000 --> 00:03:53.000]  遇見的事
[00:03:53.000 --> 00:04:00.000]  以至如何深刻地改變主角的內心世界
[00:04:00.000 --> 00:04:03.000]  其實也很相似
[00:04:03.000 --> 00:04:05.000]  同樣在現實裡
[00:04:05.000 --> 00:04:08.000]  我們這一群作為耶穌基督的門徒
[00:04:08.000 --> 00:04:11.000]  也有一些相似的地方
[00:04:11.000 --> 00:04:14.000]  就是在我們人生的旅途上
[00:04:14.000 --> 00:04:17.000]  我們遇上了我們的耶穌
[00:04:17.000 --> 00:04:23.000]  就開始了一條不一樣的屬靈天路
[00:04:23.000 --> 00:04:28.000]  而在這一段跟從耶穌基督的旅途上
[00:04:28.000 --> 00:04:32.000]  我們會同樣不斷地碰到很多人和事
[00:04:32.000 --> 00:04:34.000]  甚至像我們現在這樣
