
[00:00:00.000 --> 00:00:09.000]  今日重讀的經訓是記載在希伯來書4章14節至5章10節
[00:00:09.000 --> 00:00:15.000]  希伯來書4章14節
[00:00:15.000 --> 00:00:21.000]  我們既然有一位已經升入高天尊榮的大祭司
[00:00:21.000 --> 00:00:28.000]  就是神的兒子耶穌便當持定所承認的道
[00:00:29.000 --> 00:00:33.000]  因我們的大祭司並非不能體恤我們的軟弱
[00:00:33.000 --> 00:00:37.000]  他也曾凡事受過試探
[00:00:37.000 --> 00:00:42.000]  與我們一樣 只是他沒有犯罪
[00:00:42.000 --> 00:00:49.000]  所以我們只管坦然無懼地來到施恩的寶座前
[00:00:50.000 --> 00:00:59.000]  為的是要得連率 蒙恩維 作隨時的幫助
[00:00:59.000 --> 00:01:01.000]  第五章
[00:01:01.000 --> 00:01:08.000]  凡從人間挑選的大祭司是奉派替人辦理屬神的事
[00:01:08.000 --> 00:01:12.000]  為要獻上禮物和贖罪祭
[00:01:12.000 --> 00:01:17.000]  他能體諒濫愚蒙的和失迷的人
[00:01:18.000 --> 00:01:21.000]  因為他自己也是被軟弱所困
[00:01:21.000 --> 00:01:27.000]  故此他理當為百姓和自己獻祭贖罪
[00:01:27.000 --> 00:01:32.000]  這大祭司的尊榮沒有人自取
[00:01:32.000 --> 00:01:37.000]  惟要蒙神所召 像亞倫一樣
[00:01:37.000 --> 00:01:43.000]  如此 基督也不是自取榮耀作大祭司
[00:01:43.000 --> 00:01:46.000]  乃是在乎向他說
[00:01:47.000 --> 00:01:52.000]  「你是我的兒子 我今日生你的那一位」
[00:01:52.000 --> 00:01:56.000]  就如經上又有一處說
[00:01:56.000 --> 00:02:02.000]  「你是照著墨跡使得的等次永遠為祭司」
[00:02:02.000 --> 00:02:05.000]  基督在肉體的時候
[00:02:05.000 --> 00:02:08.000]  既大聲哀哭 流淚禱告
[00:02:08.000 --> 00:02:11.000]  懇求那能救他免死的主
[00:02:11.000 --> 00:02:15.000]  就因他的虔誠蒙了英雲
[00:02:16.000 --> 00:02:18.000]  他雖然為兒子
[00:02:18.000 --> 00:02:22.000]  還是因所受的苦難學了信從
[00:02:22.000 --> 00:02:25.000]  他既得以完全
[00:02:25.000 --> 00:02:31.000]  就為凡信從他的人成了永遠得贖的根源
[00:02:31.000 --> 00:02:35.000]  並蒙神照著墨跡使得的等次
[00:02:35.000 --> 00:02:37.000]  稱他為大祭司」
[00:02:37.000 --> 00:02:41.000]  今日為我們宣講上帝的道
[00:02:41.000 --> 00:02:43.000]  是陳冠誠牧師
[00:02:43.000 --> 00:02:45.000]  今日的講題是
