
[00:00:00.000 --> 00:00:05.160]  頂姐妹仍然以一份聆聽神的話
[00:00:05.160 --> 00:00:07.560]  這份謙卑、恭敬的心
[00:00:07.560 --> 00:00:12.600]  來聆聽今天宣讀的聖經
[00:00:12.600 --> 00:00:18.080]  經文是在《馬太福音》第五章一至十節
[00:00:18.080 --> 00:00:21.560]  《馬太福音》五章一至十節
[00:00:21.560 --> 00:00:26.840]  耶穌看見許多的人就上了山
[00:00:26.840 --> 00:00:30.840]  既已坐下,門徒到他跟前來
[00:00:30.840 --> 00:00:33.840]  他就開口教訓他們說
[00:00:33.840 --> 00:00:38.840]  「虛心的人有福了,因為天國是他們的
[00:00:38.840 --> 00:00:43.840]  愛動的人有福了,因為他們必得安慰
[00:00:43.840 --> 00:00:48.840]  溫柔的人有福了,因為他們必承受地土
[00:00:48.840 --> 00:00:54.840]  饑渴無意的人有福了,因為他們必得飽足
[00:00:54.840 --> 00:00:59.840]  憐恤人的人有福了,因為他們必蒙憐恤
[00:00:59.840 --> 00:01:04.840]  清心的人有福了,因為他們必得見神
[00:01:04.840 --> 00:01:11.840]  使人和睦的人有福了,因為他們必稱為神的兒子
[00:01:11.840 --> 00:01:18.840]  為而受逼迫的人有福了,因為天國是他們的
[00:01:18.840 --> 00:01:25.840]  為而受逼迫的人有福了,因為天國是他們的
[00:01:25.840 --> 00:01:29.840]  這是今天講題的經文
[00:01:29.840 --> 00:01:32.840]  在《馬太福音》第五章第十節
[00:01:32.840 --> 00:01:36.840]  「幸福由為而受逼迫開始」
[00:01:36.840 --> 00:01:40.840]  這是今天陳明全牧師的講題
[00:01:40.840 --> 00:01:45.840]  我們現在專心聆聽這段宣講
[00:01:45.840 --> 00:01:47.840]  我們請陳牧師
[00:01:47.840 --> 00:01:59.840]  各位頂姐妹平安
[00:01:59.840 --> 00:02:04.840]  今天能夠和大家一齊來領受上帝的話語
[00:02:04.840 --> 00:02:07.840]  慘不得眼下,這個百福的系列
[00:02:07.840 --> 00:02:09.840]  今天就去到最後一講
[00:02:09.840 --> 00:02:14.840]  為而受逼迫的人有福了,因為天國是他們的
[00:02:14.840 --> 00:02:19.840]  其實之前在我們篇幅裏面也曾經講過
[00:02:19.840 --> 00:02:23.840]  「饑渴無意的人有福了,因為他們必得飽足」
[00:02:23.840 --> 00:02:26.840]  在那一次的講道,Tormund也講過
[00:02:26.840 --> 00:02:29.840]  大概關於渴慕神的義
[00:02:29.840 --> 00:02:34.840]  今天這個跟那個不是對立,或者是講另一件事
[00:02:34.840 --> 00:02:37.840]  反而是承接著之前的主題
[00:02:37.840 --> 00:02:41.840]  上一次是講我們渴慕取得生命裏面
[00:02:41.840 --> 00:02:44.840]  上帝的義,或者上帝的旨意
[00:02:44.840 --> 00:02:47.840]  在今天裏面我們為上帝的旨意
[00:02:47.840 --> 00:02:49.840]  我們願意付上代價
[00:02:49.840 --> 00:02:53.840]  講起義,其實在坊間裏面有不同的定義
[00:02:53.840 --> 00:02:57.840]  對於義的看法,講公義
[00:02:57.840 --> 00:03:00.840]  有些是從經濟角度,怎樣去分配
[00:03:00.840 --> 00:03:03.840]  以致到分配是公義的
[00:03:03.840 --> 00:03:05.840]  有些是從發展機會
[00:03:05.840 --> 00:03:08.840]  不同階層的人都可以同樣有
[00:03:08.840 --> 00:03:11.840]  一起發展自己的一些能力
[00:03:11.840 --> 00:03:14.840]  有些講政治等等,不同坊間
[00:03:14.840 --> 00:03:17.840]  講公義其實是一個大題目
[00:03:17.840 --> 00:03:19.840]  是一個很闊的題目
[00:03:19.840 --> 00:03:22.840]  不過很多時候在教會裏面
[00:03:22.840 --> 00:03:24.840]  講上帝的義,或者講義
[00:03:24.840 --> 00:03:28.840]  很多時候我們會夾雜著坊間裏面不同的定義
[00:03:28.840 --> 00:03:31.840]  來講的,所以講著講著
[00:03:31.840 --> 00:03:34.840]  就好像大家自說自話,大家各自表述
[00:03:34.840 --> 00:03:37.840]  然後大家就像牛頭不對馬嘴
[00:03:37.840 --> 00:03:40.840]  究竟講的東西好像不是很對
[00:03:40.840 --> 00:03:43.840]  今天我想和大家拉回聖經裏面
[00:03:43.840 --> 00:03:45.840]  怎樣看聖經的義
[00:03:45.840 --> 00:03:49.840]  或者特別是針對在馬太福音裏面登山補訓
[00:03:49.840 --> 00:03:51.840]  對於義的看法
[00:03:51.840 --> 00:03:55.840]  對於義的時候耶穌怎樣去講述
[00:03:55.840 --> 00:03:57.840]  一個天國的子民
[00:03:57.840 --> 00:04:02.840]  怎樣去活現一個上帝義的一種生命
[00:04:02.840 --> 00:04:04.840]  如果大家記得我講過的
[00:04:04.840 --> 00:04:07.840]  在八福裏面的八句說話
[00:04:07.840 --> 00:04:10.840]  不是純粹是一個標題
[00:04:10.840 --> 00:04:13.840]  或者是純粹是一句說話
[00:04:13.840 --> 00:04:15.840]  就可以濃縮所有要講的東西
[00:04:15.840 --> 00:04:18.840]  其實是登山裏面的一個引言
[00:04:18.840 --> 00:04:21.840]  所以這八句說話
[00:04:21.840 --> 00:04:23.840]  其實後面的講論
[00:04:23.840 --> 00:04:25.840]  它會互相呼應的
[00:04:25.840 --> 00:04:29.840]  所以今天我們講的這一段經文
[00:04:29.840 --> 00:04:32.840]  怎樣去為義受迫迫的人有福了
[00:04:32.840 --> 00:04:34.840]  因為天國是他們的
[00:04:34.840 --> 00:04:38.840]  我會用多一些後面登山補訓的教導
[00:04:38.840 --> 00:04:43.840]  來展現究竟耶穌所講的是一回甚麼事
[00:04:43.840 --> 00:04:45.840]  我們今天怎樣來實踐
[00:04:45.840 --> 00:04:47.840]  在這個時間我想邀請大家和我一起祈禱
[00:04:47.840 --> 00:04:50.840]  我們需要聖靈幫助我們才能夠明白這段話語
[00:04:50.840 --> 00:04:52.840]  我們同心祈禱
[00:04:52.840 --> 00:04:56.840]  阿爸天父願祢在我們當中帶領我們
[00:04:56.840 --> 00:04:59.840]  讓我們能夠明白祢的心意
[00:04:59.840 --> 00:05:01.840]  在這個世代當中
[00:05:01.840 --> 00:05:04.840]  讓我們帶著祢的話語來行事為人
[00:05:04.840 --> 00:05:08.840]  幫助我們在此時此刻我們聆聽祢的話語的時候
[00:05:08.840 --> 00:05:10.840]  願祢親自對我們講說話
[00:05:10.840 --> 00:05:13.840]  幫助每位聆聽的頂子們聽得清楚
[00:05:13.840 --> 00:05:16.840]  幫助孫講的讓人聽得明白
[00:05:16.840 --> 00:05:18.840]  恭敬將來的時間交託給你
[00:05:18.840 --> 00:05:20.840]  願聖靈你引導我們眾人
[00:05:20.840 --> 00:05:21.840]  獻上我們祈禱
[00:05:21.840 --> 00:05:23.840]  奉靠基督耶穌得勝的聖命祈求
[00:05:23.840 --> 00:05:24.840]  Amen
[00:05:24.840 --> 00:05:26.840]  剛才講過了
[00:05:26.840 --> 00:05:28.840]  義的定義
[00:05:28.840 --> 00:05:32.840]  義如果用在聖經裏面比較概括一點的字眼
[00:05:32.840 --> 00:05:34.840]  或者比較容易理解的字眼
[00:05:34.840 --> 00:05:36.840]  就是上帝的旨意
[00:05:36.840 --> 00:05:42.840]  這個旨意不是說上帝要逼我們去做某一些我們不喜悅或者我們辛苦的事
[00:05:42.840 --> 00:05:45.840]  這個旨意是上帝美善的旨意
[00:05:45.840 --> 00:05:48.840]  上帝創造這個世界萬物
[00:05:48.840 --> 00:05:51.840]  或者上帝在這個世界掌權當中
[00:05:51.840 --> 00:05:53.840]  上帝祂有祂的心意
[00:05:53.840 --> 00:05:56.840]  上帝很想祂的子民
[00:05:56.840 --> 00:05:58.840]  安著祂美善的心意
[00:05:58.840 --> 00:06:00.840]  來過他們的生活
[00:06:00.840 --> 00:06:03.840]  不過在這裡講美善的旨意
[00:06:03.840 --> 00:06:06.840]  還要繼續仔細理解
[00:06:06.840 --> 00:06:08.840]  究竟美善的旨意包括什麼呢
[00:06:08.840 --> 00:06:10.840]  包括三方面
[00:06:10.840 --> 00:06:13.840]  第一方面就是道德性的旨意
[00:06:13.840 --> 00:06:16.840]  上帝在這個創世的世界裏面
[00:06:16.840 --> 00:06:17.840]  祂有祂的主權
[00:06:17.840 --> 00:06:21.840]  上帝在人與人之間的關係
[00:06:21.840 --> 00:06:22.840]  人與大自然
[00:06:22.840 --> 00:06:24.840]  或者人與神之間
[00:06:24.840 --> 00:06:26.840]  有一個上帝希望我們
[00:06:26.840 --> 00:06:29.840]  隔守的一個生命準則
[00:06:29.840 --> 00:06:31.840]  這個是道德性的旨意
[00:06:31.840 --> 00:06:34.840]  在聖經裏面有大量的篇幅教導我們
[00:06:34.840 --> 00:06:36.840]  怎樣行事為人
[00:06:36.840 --> 00:06:37.840]  應該怎樣做人
[00:06:37.840 --> 00:06:39.840]  怎樣去對待人
[00:06:39.840 --> 00:06:41.840]  接下來的登山補訓
[00:06:41.840 --> 00:06:43.840]  都有很多篇幅講這件事
