
[00:00:00.000 --> 00:00:03.000]  頂姐妹,以下是經訓的時間
[00:00:03.000 --> 00:00:10.000]  今日所讀的經文記載在詩篇110篇1至7節
[00:00:10.000 --> 00:00:19.000]  另外,另一段是記載在《仕途行傳》第二章29至40節
[00:00:27.000 --> 00:00:30.000]  聽我讀出
[00:00:30.000 --> 00:00:39.000]  對我說:你坐在我的右邊,讓我使你受敵作你的腳凳
[00:00:39.000 --> 00:00:44.000]  耀華必使你從石安伸出能力的將來
[00:00:44.000 --> 00:00:47.000]  你要在你受敵中掌權
[00:00:47.000 --> 00:00:55.000]  當你掌權的日子,你的民要以聖潔的裝飾為衣
[00:00:55.000 --> 00:01:01.000]  以聖潔為裝飾,甘心犧牲自己
[00:01:01.000 --> 00:01:05.000]  你的民多如清晨的甘露
[00:01:05.000 --> 00:01:10.000]  耀華起了誓,決不後悔說
[00:01:10.000 --> 00:01:16.000]  你是照著墨基使得的等次,永遠為祭司
[00:01:16.000 --> 00:01:23.000]  在你右邊的主,當他發怒的日子,必打傷獵王
[00:01:23.000 --> 00:01:30.000]  他要在列邦中刑罰惡人,屍首就遍滿國柱
[00:01:30.000 --> 00:01:35.000]  他要在許多國中打破仇敵的頭
[00:01:35.000 --> 00:01:41.000]  他要喝路旁的河水,因此別抬起頭來
[00:01:51.000 --> 00:01:58.000]  弟兄們,先祖大衛的事,我可以明明的對你們說
[00:01:58.000 --> 00:02:02.000]  他死了,也葬埋了
[00:02:02.000 --> 00:02:07.000]  並且他的墳墓,直到今日,還在我們這裡
[00:02:07.000 --> 00:02:13.000]  大衛既是先知,又曉得神曾向他起誓
[00:02:13.000 --> 00:02:19.000]  要從他的後裔中,立一位坐在他的寶座上
[00:02:19.000 --> 00:02:25.000]  就預先看明這事,講論基督復活說
[00:02:25.000 --> 00:02:32.000]  他的靈魂不撇在陰間,他的肉身也不見扭歪
[00:02:32.000 --> 00:02:37.000]  這耶穌,神已經叫他復活了
[00:02:37.000 --> 00:02:40.000]  我們都為這事作見證
[00:02:40.000 --> 00:02:48.000]  他既被神的右手高舉,又重複受了那所應許的聖靈
[00:02:48.000 --> 00:02:54.000]  就把你們所看見,所聽見的囂觀下來
[00:02:54.000 --> 00:03:00.000]  大衛並沒有升到天上,但自己說
[00:03:00.000 --> 00:03:04.000]  主對我主說:
[00:03:04.000 --> 00:03:12.000]  「你坐在我的右邊,讓我使你受敵作你的腳凳」
[00:03:12.000 --> 00:03:19.000]  故此,以色列全家當確實的知道
[00:03:19.000 --> 00:03:23.000]  你們釘在十字架上的這位耶穌
[00:03:23.000 --> 00:03:29.000]  神已經立他為主,為基督了
[00:03:29.000 --> 00:03:33.000]  眾人聽見這話,覺得紮心
[00:03:33.000 --> 00:03:38.000]  就對彼得和其餘的使徒說
[00:03:38.000 --> 00:03:42.000]  弟兄們,我們當怎樣行?
[00:03:42.000 --> 00:03:46.000]  彼得說:你們各人要悔改
[00:03:46.000 --> 00:03:49.000]  奉耶穌基督的名受浸
[00:03:49.000 --> 00:03:52.000]  叫你們的罪得赦
[00:03:52.000 --> 00:03:55.000]  就必領受所賜的聖靈
[00:03:55.000 --> 00:04:01.000]  因為這應許是給你們和你們的兒女
[00:04:01.000 --> 00:04:03.000]  並一切在遠方的人
[00:04:03.000 --> 00:04:07.000]  就是主我們神所召來的
[00:04:07.000 --> 00:04:11.000]  彼得還用許多話作見證
[00:04:11.000 --> 00:04:19.000]  勸勉他們說:你們當救自己脫離這彎曲的世代
[00:04:19.000 --> 00:04:20.000]  聖經讀筆
[00:04:20.000 --> 00:04:25.000]  願神賜福常讀他話語並且遵行的人
[00:04:25.000 --> 00:04:42.000]  弟兄姊妹平安
[00:04:42.000 --> 00:04:44.000]  可能大家比較少見我
[00:04:44.000 --> 00:04:47.000]  我自我介紹,我是楊珊珊傳道
[00:04:47.000 --> 00:04:50.000]  大家親切一點可以叫我珊珊
