
[00:00:00.000 --> 00:00:04.240]  讓我們一同以聆聽聖道去敬拜我們的主
[00:00:04.240 --> 00:00:06.340]  今天我們會重讀的經訓在
[00:00:06.340 --> 00:00:10.080]  《馬太福音》五章一至十節
[00:00:10.080 --> 00:00:12.080]  (試試書)
[00:00:12.080 --> 00:00:14.080]  (試試書)
[00:00:15.040 --> 00:00:19.600]  耶穌看見這許多的人就上了山
[00:00:19.600 --> 00:00:24.080]  記耳坐下門徒到他跟前來
[00:00:24.080 --> 00:00:28.080]  他就開口教訓他們說
[00:00:28.080 --> 00:00:30.480]  虛心的人有福了
[00:00:30.480 --> 00:00:33.680]  因為天國是他們的
[00:00:33.680 --> 00:00:36.160]  哀動的人有福了
[00:00:36.160 --> 00:00:39.360]  因為他們必得安慰
[00:00:39.360 --> 00:00:42.080]  溫柔的人有福了
[00:00:42.080 --> 00:00:45.680]  因為他們必承受地土
[00:00:45.680 --> 00:00:48.480]  饑渴無意的人有福了
[00:00:48.480 --> 00:00:51.680]  因為他們必得飽足
[00:00:51.680 --> 00:00:54.080]  連戌人的人有福了
[00:00:54.080 --> 00:00:56.880]  因為他們必蒙連戌
[00:00:56.880 --> 00:00:59.280]  清心的人有福了
[00:00:59.280 --> 00:01:02.480]  因為他們必得見神
[00:01:02.480 --> 00:01:05.680]  使人和睦的人有福了
[00:01:05.680 --> 00:01:09.680]  因為他們必稱為神的兒子
[00:01:09.680 --> 00:01:12.880]  為易受逼迫的人有福了
[00:01:12.880 --> 00:01:16.080]  因為天國是他們的
[00:01:16.080 --> 00:01:22.480]  今天陳冠成牧師宣講的經文
[00:01:22.480 --> 00:01:26.480]  是在《馬太福音》五章第四節
[00:01:26.480 --> 00:01:29.280]  哀動的人有福了
[00:01:29.280 --> 00:01:32.080]  因為他們必得安慰
[00:01:32.080 --> 00:01:34.880]  今天所宣講的主題是
[00:01:34.880 --> 00:01:37.680]  「幸福由哀動開始」
[00:01:37.680 --> 00:01:39.680]  請陳冠成牧師
[00:01:39.680 --> 00:01:47.680]  弟子們平安
[00:01:47.680 --> 00:01:51.880]  剛才珍珍牧師讀出了
[00:01:51.880 --> 00:01:54.880]  八福這段經文
[00:01:54.880 --> 00:01:58.080]  耶穌祂很期望天國的子民
[00:01:58.080 --> 00:02:00.880]  可以在生活中實踐
