
[00:00:00.000 --> 00:00:07.680]  我們所愛的主在二千年前為我們的罪被釘死在十字架上
[00:00:07.680 --> 00:00:11.720]  今晚我們在網上聚集
[00:00:11.720 --> 00:00:14.360]  我們不是要開一個追思會
[00:00:14.360 --> 00:00:19.960]  不是要搞到氣氛很悲哀、很憂愁
[00:00:19.960 --> 00:00:21.320]  不是這樣的
[00:00:21.320 --> 00:00:26.360]  我們不是只來這裡緬懷一件舊事
[00:00:26.360 --> 00:00:30.160]  紀念耶穌基督的可歌可泣
[00:00:30.160 --> 00:00:33.360]  為我們捨棄他的生命
[00:00:33.360 --> 00:00:36.760]  因為我們知道耶穌基督已經復活了
[00:00:36.760 --> 00:00:42.280]  他已經藉著復活戰勝了死亡和罪惡
[00:00:42.280 --> 00:00:47.560]  並為我們每一個人開出一條又新又活的救恩之路
[00:00:47.560 --> 00:00:50.920]  那與一個消防員殉職死了
[00:00:50.920 --> 00:00:52.160]  我們一起很哀傷
[00:00:52.160 --> 00:00:53.840]  因為他死了就是死了
[00:00:53.840 --> 00:00:56.600]  不同的,耶穌基督已經復活了
[00:00:56.600 --> 00:01:00.920]  所以他的受苦死亡只是一個過程
[00:01:00.920 --> 00:01:04.360]  只是一個環節,不是那個終點
[00:01:04.360 --> 00:01:07.120]  我們在這裡做些什麼呢?
[00:01:07.120 --> 00:01:11.920]  一方面我們傳說耶穌基督給我們的救恩
[00:01:11.920 --> 00:01:18.840]  另一方面我們思考十字架這個事件對我們的意義
[00:01:18.840 --> 00:01:24.160]  我們要記住十字架事件不只是屬於耶穌的
[00:01:24.160 --> 00:01:28.720]  他是作為我們的先行者,作為我們的示範
[00:01:28.720 --> 00:01:33.920]  十字架事件是為我們每一個人而發生的
[00:01:33.920 --> 00:01:38.120]  他不僅僅是屬於主的,也是屬於我們的
[00:01:38.120 --> 00:01:40.440]  耶穌基督曾經跟我們說過的
[00:01:40.440 --> 00:01:42.840]  他的虎杯我們都要喝的
[00:01:42.840 --> 00:01:46.840]  這個十字架是我們每個人都要背負的
[00:01:46.840 --> 00:01:52.360]  所以我們不只是去見到耶穌的一個事件
[00:01:52.360 --> 00:01:56.120]  我們要在耶穌的事件裡面去見到我們自己
[00:01:56.120 --> 00:01:58.160]  去見到我們這裡每一個人
