
[00:00:00.000 --> 00:00:05.680]  讓我們以聆聽聖道繼續我們的敬拜
[00:00:05.680 --> 00:00:11.600]  今日我會讀出的經文是在新約聖經的約翰福音十九章
[00:00:11.600 --> 00:00:17.720]  約翰福音第十九章十二到十六節
[00:00:17.720 --> 00:00:24.800]  從此比拉多想要釋放耶穌
[00:00:24.800 --> 00:00:33.280]  無奈猶太人喊著說:你若釋放這個人就不是該殺的忠臣
[00:00:33.280 --> 00:00:38.280]  凡以自己為王的就是背叛該殺了
[00:00:38.280 --> 00:00:42.760]  比拉多聽見這話就帶耶穌出來
[00:00:42.760 --> 00:00:47.520]  到了一個地方名叫鋪華錫柱
[00:00:47.520 --> 00:00:53.400]  希伯來話叫阿巴達就在那裡坐堂
[00:00:53.400 --> 00:00:59.680]  那日是預備雨節的日子若有政誤
[00:00:59.680 --> 00:01:04.960]  比拉多對猶太人說:看吶,這是你們的王
[00:01:04.960 --> 00:01:11.360]  他們喊著說:除掉他,除掉他,釘他在十字架上
[00:01:11.360 --> 00:01:17.360]  比拉多說:我可以把你們的王釘十字架嗎?
[00:01:17.360 --> 00:01:23.880]  祭司長回答說:除了該殺,我們沒有王
[00:01:23.880 --> 00:01:32.400]  於是比拉多將耶穌交給他們去釘十字架
[00:01:32.400 --> 00:01:35.080]  好,頂子妹,早安
[00:01:35.080 --> 00:01:38.640]  很特別,我去很多不同的教會講道
[00:01:38.640 --> 00:01:41.960]  很少見到有首領隊
[00:01:41.960 --> 00:01:44.200]  所以為教會感恩
[00:01:44.200 --> 00:01:48.400]  因為能夠建立一隊首領隊並不容易
[00:01:48.400 --> 00:01:52.680]  因為一來要有一定的音樂設備
[00:01:52.680 --> 00:01:56.200]  另外也要有人懂得玩首領
[00:01:56.200 --> 00:02:01.280]  我第一次認識首領就是在二十多年前
[00:02:01.280 --> 00:02:07.760]  在長洲當時在神學院認識到首領這個樂器
[00:02:07.760 --> 00:02:10.240]  其實你見到首領很特別
[00:02:10.240 --> 00:02:15.360]  因為每一個人只負責一至兩個音符
[00:02:15.360 --> 00:02:19.600]  你想想剛才不計指揮,有九個人
[00:02:19.600 --> 00:02:25.000]  沒有其中一個人,整個樂章就不完美
[00:02:25.000 --> 00:02:29.000]  其實教會也一樣,我們也是不同的性情
[00:02:29.000 --> 00:02:33.120]  我們中間有不同年紀,有不同的背景
[00:02:33.120 --> 00:02:36.720]  我們除了宗教信仰同樣之外
[00:02:36.720 --> 00:02:39.680]  我們有很多生活的經驗
[00:02:39.680 --> 00:02:42.680]  對很多事情的看法都不一樣
[00:02:42.680 --> 00:02:45.400]  但我們就像一隊首領隊一樣
