
[00:00:00.000 --> 00:00:03.400]  (主席)今日讀的經文是在列王記下第六章
[00:00:03.400 --> 00:00:07.040]  在大家手上聖經的四百六十三頁
[00:00:07.040 --> 00:00:14.360]  列王記下第六章第十四 二十七節
[00:00:14.360 --> 00:00:21.560]  「王就打發車馬和大軍往那裡去
[00:00:21.560 --> 00:00:24.800]  夜間到了圍困那城
[00:00:24.800 --> 00:00:29.120]  神人的僕人清早起來出去
[00:00:29.600 --> 00:00:33.400]  看見車馬軍兵圍困了城
[00:00:33.400 --> 00:00:36.600]  僕人對神人說
[00:00:36.600 --> 00:00:39.480]  「愛在我主啊
[00:00:39.480 --> 00:00:42.600]  我們怎樣行才好呢?」
[00:00:42.600 --> 00:00:44.800]  神人說
[00:00:44.800 --> 00:00:47.080]  「不要懼怕
[00:00:47.080 --> 00:00:52.200]  與我們同在的比與他們同在的更多」
[00:00:52.200 --> 00:00:54.680]  以利沙圖告說
[00:00:55.360 --> 00:00:59.600]  「耶和華求你開這少年人的眼目
[00:00:59.600 --> 00:01:01.680]  使他能看見」
[00:01:01.680 --> 00:01:04.520]  耶和華開他的眼目
[00:01:04.520 --> 00:01:09.920]  他就看見滿山有火車火馬圍繞以利沙
[00:01:09.920 --> 00:01:22.880]  (主席)弟兄姊妹平安
[00:01:23.840 --> 00:01:26.400]  我是實習神學生
[00:01:26.400 --> 00:01:27.400]  我叫馬嘉賢
[00:01:27.400 --> 00:01:28.840]  大家也可以叫我馬姑娘
[00:01:28.840 --> 00:01:31.040]  或者清少…
[00:01:31.040 --> 00:01:32.200]  清少部坐在哪裡?
[00:01:32.200 --> 00:01:32.680]  那裡
[00:01:32.680 --> 00:01:33.600]  少年部
[00:01:33.600 --> 00:01:36.000]  他們叫我卡媽
[00:01:36.000 --> 00:01:38.480]  或者大家可以叫我英文名Karen
[00:01:38.480 --> 00:01:42.080]  我主要負責少年部的侍工
[00:01:42.080 --> 00:01:45.240]  所以我很多時候都會在四樓的時間多一點
[00:01:45.240 --> 00:01:47.480]  平日就會在少崇那裡
[00:01:47.480 --> 00:01:49.120]  又或者星期六的時候
[00:01:49.120 --> 00:01:52.160]  就會參加中學星期日的大專團體等等
[00:01:52.600 --> 00:01:54.760]  今天藉著清少主日
[00:01:54.760 --> 00:01:56.280]  有機會上來六樓
[00:01:56.280 --> 00:01:57.600]  和大家一起聚會
[00:01:57.600 --> 00:01:58.600]  一起敬拜
[00:01:58.600 --> 00:02:01.080]  和可以和大家分享上帝的訊息
[00:02:01.080 --> 00:02:02.560]  我們開始
[00:02:02.560 --> 00:02:03.480]  講道之前
[00:02:03.480 --> 00:02:04.600]  不如我們一起祈禱
[00:02:04.600 --> 00:02:09.360]  親愛的天父 多謝你
[00:02:09.360 --> 00:02:12.600]  不論我們是幼年 青年 成年
[00:02:12.600 --> 00:02:15.520]  你對我們的愛都從來沒有改變
[00:02:15.520 --> 00:02:17.240]  上帝
[00:02:17.240 --> 00:02:19.280]  你一代又一代的門徒
[00:02:19.280 --> 00:02:22.480]  這一刻都同心聚集在你的十字架面前
[00:02:22.880 --> 00:02:25.560]  祈求聖靈運行在我們每一個人當中
[00:02:25.560 --> 00:02:28.000]  願孩子孫講清楚
[00:02:28.000 --> 00:02:29.760]  願弟兄姊妹聽得明白
[00:02:29.760 --> 00:02:31.880]  共主一命祈禱 阿們
[00:02:31.880 --> 00:02:34.840]  麻煩Viola
[00:02:34.840 --> 00:02:36.640]  這樣就讀了今天的經訓
[00:02:36.640 --> 00:02:40.800]  今天的經訓是記載在聶王紀下的六章十四到十七節
[00:02:40.800 --> 00:02:45.560]  其實是講述以利沙和他的門徒的一番說話
[00:02:45.560 --> 00:02:47.760]  正確來說 如果仔細一點
[00:02:47.760 --> 00:02:52.080]  其實是師父在回應徒弟一個求救的對話
[00:02:52.680 --> 00:02:53.920]  如果我們追溯一下
[00:02:53.920 --> 00:02:56.440]  究竟為什麼這段對話會發生的時候
[00:02:56.440 --> 00:02:58.560]  我們可以看回六章八節
[00:02:58.560 --> 00:03:02.200]  是在講述阿蘭王與與式的人爭戰
[00:03:02.200 --> 00:03:05.200]  阿蘭族是一個什麼族呢
[00:03:05.200 --> 00:03:08.280]  其實阿蘭族是羅亞的兒子
[00:03:08.280 --> 00:03:10.840]  閃所生的第五個兒子
[00:03:10.840 --> 00:03:13.880]  也就是說阿蘭族是羅亞的孫
[00:03:13.880 --> 00:03:16.640]  阿蘭族最初佔據的領土
[00:03:16.640 --> 00:03:19.160]  就在右法拉底河的東邊
