
[00:00:00.000 --> 00:00:22.000]  《新教育法例》第十三章 第十一至十六節 舊約聖經596頁
[00:00:22.000 --> 00:00:31.000]  「森巴拉·多比亞 阿拉伯人基善和我們其餘的仇敵聽見我已經收完了城牆
[00:00:31.000 --> 00:00:37.000]  其中沒有破裂之處 哪時我還沒有安門善
[00:00:37.000 --> 00:00:46.000]  森巴拉和基善就打發人來見我 說:請你來 我們在阿羅平原的一個村莊相會
[00:00:46.000 --> 00:00:58.000]  他們卻想害我 於是我差遣人去見他們 說:我現在辦理大功不能下去 應能停工下去見你們呢
[00:00:58.000 --> 00:01:04.000]  他們這樣四次打發人來見我 我都如此回答他們
[00:01:04.000 --> 00:01:11.000]  森巴拉第五次打發僕人來見我 手裡拿著尾風的信 信上寫著說:
[00:01:11.000 --> 00:01:21.000]  「愛邦人中有風聲 加斯姆也說:你和猶大人謀反 修造城牆 你要作他們的王
[00:01:21.000 --> 00:01:27.000]  你又派先知在耶路撒冷指著你宣講 說在猶大有王
[00:01:27.000 --> 00:01:33.000]  現在這話必傳於王之 所以請你來與我們彼此相議」
[00:01:33.000 --> 00:01:45.000]  我就差遣人去見他說:「你所說的這事 一概沒有 是你心裡列造的 他們都要使我們懼怕
[00:01:45.000 --> 00:01:53.000]  二司說:他們的手必軟弱 以致工作不能成就 神啊 求你堅固我的手」
[00:01:53.000 --> 00:02:03.000]  我到了米希大別的孫子 蒂萊雅的兒子 史瑪雅家裡 哪時他閉門不出
[00:02:03.000 --> 00:02:14.000]  他說:「我們不如在神的殿裡會面 將殿門關鎖 因為他們要來殺你 就是夜裡來殺你」
[00:02:14.000 --> 00:02:24.000]  我說:「像我這樣的人豈要逃跑呢? 像我這樣的人豈能進入殿裡保存生命呢? 我不進去
[00:02:24.000 --> 00:02:33.000]  我看明神沒有差遣他 是他自己說話攻擊我 史多比亞和森巴拉賄賣了他
[00:02:33.000 --> 00:02:46.000]  賄賣他的緣故是叫我懼怕 依從他犯罪 他們很全揚惡言 毀謗我
[00:02:46.000 --> 00:02:57.000]  我的神啊 多比亞 森巴拉 女仙貞 羅亞底和其餘的仙姿要叫我懼怕 求你紀念他們所行的這些事」
[00:02:57.000 --> 00:03:13.000]  「已六月二十五日 城牆修園了 共修了五十二天 我們一切仇敵四處的外邦人聽見了便懼怕 愁眉不展 因為見這工作完成是出乎我們的神」
[00:03:13.000 --> 00:03:15.000]  聖經獨笆
[00:03:15.000 --> 00:03:32.000]  各位弟兄姊妹平安
[00:03:32.000 --> 00:03:53.000]  放暑假 有一個家庭 他們的母親建議去旅行 今年很久沒有去旅行 她和家人商量 她說不如去日本 爸爸說不要 會地震
[00:03:53.000 --> 00:04:12.000]  有人說不如去美國 我怕有喉痘症 不如去歐洲 我怕到時機場有罷工 不如去非洲 不行那裡有藥劑 我很怕
[00:04:12.000 --> 00:04:21.000]  隨便去東南亞也不算不好 因為回到香港又怕訂不到酒店 做隔離
[00:04:21.000 --> 00:04:38.000]  去旅行那麼麻煩 留在家裡 兒子打開冰箱 看見有冰淇淋 他拿出來吃的時候 媽媽說「你看看這冰淇淋 我怕有除害劑污染」
[00:04:38.000 --> 00:04:47.000]  兒子覺得沒趣 拿出一個令人有驚喜滿足願望的朱古力
[00:04:47.000 --> 00:05:05.000]  爸爸說「我怕有三門氏菌污染 前陣子不是回收的嗎?」 嘩 你覺得這個家庭充滿什麼呢?充滿懼怕 充滿害怕
[00:05:05.000 --> 00:05:13.000]  人生真的有很多令我們懼怕的事 懼怕的確會令我們裹足不前
[00:05:13.000 --> 00:05:20.000]  有些應該說的事我們不敢說 有些應該做的事我們不敢做
[00:05:20.000 --> 00:05:26.000]  上世紀有個英國哲學家叫羅素 他說了一句話
[00:05:26.000 --> 00:05:43.000]  他說如今對於美好世界的最大障礙就是恐懼 就是懼怕 懼怕對這個世界 對我們人類造成很多破壞
[00:05:43.000 --> 00:05:54.000]  不過認真看 懼怕未必一定是負面的 因為有時我們的恐懼能夠保護我們避開一些危險
[00:05:54.000 --> 00:06:05.000]  當你怕被車撞 你就會留心遵守交通規則去保護自己 幫助自己 是不是?
[00:06:05.000 --> 00:06:14.000]  但是懼怕也有它很破壞性的一面 尤其是我們這一班信徒
[00:06:14.000 --> 00:06:23.000]  我們要認清楚其實我們的仇敵撒旦 最喜歡用懼怕成為一個很厲害的武器
[00:06:23.000 --> 00:06:32.000]  去讓我們離開上帝 去讓我們不能夠去作成上帝給我們的使命
[00:06:32.000 --> 00:06:41.000]  所以 頂姐妹 我們真的要小心 我們千萬不要被懼怕拉著我們的人生走
[00:06:41.000 --> 00:06:50.000]  人生因為害怕而去活 於是有時候我們在工作裏面 我怕吃虧
[00:06:50.000 --> 00:06:59.000]  所以有時候我會用一些不符合真理的心態 或者一些不符合真理的意思去工作
[00:06:59.000 --> 00:07:08.000]  我怕沒錢 於是我很怕沒安全感 我怕所以我就拼命用我所有的時間用來賺錢
[00:07:08.000 --> 00:07:14.000]  用所有的方法用來賺錢 我很怕別人看不起我
[00:07:14.000 --> 00:07:24.000]  所以我要做一些事情令人看得起我 即使那些事情未必符合神的心意
[00:07:24.000 --> 00:07:34.000]  頂姐妹 我們不要小看懼怕的威力 但是我們今天要看的經文就是講尼西米
[00:07:34.000 --> 00:07:42.000]  尼西米記第六章一至十六節 我們就從這個經文裏面
[00:07:42.000 --> 00:07:51.000]  我們去明白究竟我們怎樣可以戰勝懼怕 讓我們一起祈禱
[00:07:51.000 --> 00:07:59.000]  天父我們祈求你幫助我們 幫助我們不要陷在一個懼怕的人生
[00:07:59.000 --> 00:08:06.000]  幫助我們能夠在生命裏面去定精向著你 依靠你
[00:08:06.000 --> 00:08:13.000]  好讓我們的生命覺得活潑 覺得合理心意 覺得豐盛
[00:08:13.000 --> 00:08:22.000]  求你的靈在我們當中帶領我們 幫助我們去明白你要跟我們講的話
[00:08:22.000 --> 00:08:30.000]  你對我們生命的提點 我們這樣禱告交託 是奉主耶穌基督的聖名自祈求 阿們
[00:08:33.000 --> 00:08:38.000]  今天尼西米記第六章一至十六節 我一定要講一些背景
[00:08:38.000 --> 00:08:50.000]  要講很長 簡單來說 其實猶太人在公元前586年被巴比倫滅亡之後
[00:08:50.000 --> 00:08:55.000]  他們的一些猶太人就被擄到巴比倫裏面
[00:08:55.000 --> 00:09:03.000]  當中有一些老弱殘兵 有些比較脆弱的人就留在耶路撒冷
[00:09:03.000 --> 00:09:08.000]  雖然他們是這樣 他們被擄 他們流散
[00:09:08.000 --> 00:09:17.000]  但是他們卻對於自己國家的宗教和文化並沒有忘記
[00:09:17.000 --> 00:09:29.000]  到後來波斯國滅了巴比倫國 古列王下令猶太人可以重新回到耶路撒冷去重建他們的家園
[00:09:29.000 --> 00:09:40.000]  於是有不少猶太人回到以色列地開始重建耶路撒冷 包括重建第二聖殿
[00:09:40.000 --> 00:09:46.000]  下星期陳明全牧師跟大家分享以色列記就是講這件事
[00:09:46.000 --> 00:09:51.000]  而今天我們講的是尼希米記
[00:09:51.000 --> 00:10:00.000]  記載了隨後尼希米帶領以色列民重建城牆的經過
[00:10:00.000 --> 00:10:13.000]  尼希米本來在波斯王阿達薩西身旁是一個很重要的官員
[00:10:13.000 --> 00:10:18.000]  他是走證來的 但因為他是一個猶太人
[00:10:18.000 --> 00:10:22.000]  他心裡掛念他的同胞
[00:10:22.000 --> 00:10:29.000]  所以他向王提出要回到耶路撒冷重建城牆
[00:10:29.000 --> 00:10:34.000]  本來以為王答應了 開綠燈 一切美好了
[00:10:34.000 --> 00:10:39.000]  誰知在尼希米記一直記載 從第二章開始
[00:10:39.000 --> 00:10:46.000]  你已經看到困難重重 有外憂有內患
[00:10:46.000 --> 00:10:52.000]  第五章講到內患就是當中興建城牆的工人都在投訴
[00:10:52.000 --> 00:10:59.000]  說那些瓦礫太多 供桌子不夠氣力
[00:10:59.000 --> 00:11:07.000]  他們當中又有些貴族和官長貪心壓榨百姓
[00:11:07.000 --> 00:11:11.000]  第六章講到外憂
[00:11:11.000 --> 00:11:15.000]  經文提到有三個很重要的人物
[00:11:15.000 --> 00:11:22.000]  就是森巴拉、多比亞和阿拉伯的基善
[00:11:22.000 --> 00:11:28.000]  他們就是外憂的仇敵
[00:11:28.000 --> 00:11:32.000]  在這段很清楚地告訴我們
[00:11:32.000 --> 00:11:35.000]  經文裡又重覆地告訴我們
[00:11:35.000 --> 00:11:39.000]  仇敵要對付他們的伎倆是甚麼?
[00:11:39.000 --> 00:11:42.000]  就是使他們懼怕
[00:11:42.000 --> 00:11:46.000]  從第九節、第十三節、第十四節
[00:11:46.000 --> 00:11:50.000]  甚至我們今天還沒提及的第十九節
[00:11:50.000 --> 00:11:55.000]  第六章裡有四個很清晰地告訴我們
[00:11:55.000 --> 00:11:58.000]  仇敵的伎倆是要使他們懼怕
[00:11:58.000 --> 00:12:03.000]  尤其是尼希米要懼怕
[00:12:03.000 --> 00:12:08.000]  但很奇妙的在第十五節至第十六節
[00:12:08.000 --> 00:12:14.000]  你會看到四圍的列國就懼怕
[00:12:14.000 --> 00:12:18.000]  因為上帝的工程完成了
[00:12:18.000 --> 00:12:22.000]  所以我們今天就來看看
[00:12:22.000 --> 00:12:25.000]  究竟這群仇敵用甚麼招數
[00:12:25.000 --> 00:12:27.000]  令尼希米那麼懼怕呢?
[00:12:27.000 --> 00:12:31.000]  我們一起看第一至第四節
[00:12:32.000 --> 00:12:43.000]  「森巴拉多比亞阿拉伯人基善和我們其餘的仇敵聽見我們已經收完了城牆
[00:12:43.000 --> 00:12:45.000]  其中沒有破裂之處
[00:12:45.000 --> 00:12:48.000]  那時我還沒有安門時
[00:12:48.000 --> 00:12:52.000]  森巴拉和基善就打發人來見我
[00:12:52.000 --> 00:12:57.000]  說請你來我們在阿羅平原的一個村莊相會
[00:12:57.000 --> 00:12:59.000]  他們卻想害我
[00:12:59.000 --> 00:13:03.000]  於是我差一點去見他們
[00:13:03.000 --> 00:13:08.000]  說我現在辦理大功不能下去
[00:13:08.000 --> 00:13:11.000]  應能停工下來見你們
[00:13:11.000 --> 00:13:14.000]  他們這樣四次打發人來見我
[00:13:14.000 --> 00:13:18.000]  我都如此回答他們」
[00:13:18.000 --> 00:13:27.000]  其實森巴拉原來就是撒瑪利亞的省長
[00:13:27.000 --> 00:13:30.000]  位於耶路撒冷的北邊
[00:13:30.000 --> 00:13:33.000]  多比亞是住在阿滿
[00:13:33.000 --> 00:13:39.000]  在耶路撒冷的東邊
[00:13:39.000 --> 00:13:43.000]  另外基善可能在阿拉伯
[00:13:43.000 --> 00:13:47.000]  位於耶路撒冷的南邊
[00:13:47.000 --> 00:13:53.000]  第四章第七節亦提到有些叫阿薩特人
[00:13:53.000 --> 00:13:56.000]  他們在耶路撒冷的西邊
[00:13:56.000 --> 00:13:58.000]  你想像一下
[00:13:58.000 --> 00:14:05.000]  耶路撒冷周圍東南西北都佈滿仇敵
[00:14:05.000 --> 00:14:10.000]  他們之前有份去遊論耶路撒冷
[00:14:10.000 --> 00:14:14.000]  到城牆快要建好的關頭
[00:14:14.000 --> 00:14:17.000]  還差十個城門要建好的時候
[00:14:17.000 --> 00:14:20.000]  他們把握最後一擊
[00:14:20.000 --> 00:14:28.000]  要將他們的領袖尼希米一拳擊中
[00:14:28.000 --> 00:14:34.000]  他們的計劃是派人去跟尼希米說
[00:14:34.000 --> 00:14:37.000]  「我們去阿羅平原的村莊見面」
[00:14:37.000 --> 00:14:42.000]  他們的語氣是表示
[00:14:42.000 --> 00:14:46.000]  好像之前是仇敵關係很緊張
[00:14:46.000 --> 00:14:48.000]  現在我要跟你示好
[00:14:48.000 --> 00:14:55.000]  不如我們出來見面緩和緊張的氣氛吧」
[00:14:55.000 --> 00:15:00.000]  他們邀請的地點都很有智慧
[00:15:00.000 --> 00:15:07.000]  阿羅平原位於耶路撒冷西北面三十多公里
[00:15:07.000 --> 00:15:12.000]  其實這地方就在耶路撒冷和撒瑪利亞的中間點
[00:15:12.000 --> 00:15:17.000]  很多解經家說這是一個中立性的區域
[00:15:17.000 --> 00:15:24.000]  可以大大減低尼希米的戒心
[00:15:24.000 --> 00:15:25.000]  他們很有策略
[00:15:25.000 --> 00:15:29.000]  如果他們說「我們過來耶路撒冷見面」
[00:15:29.000 --> 00:15:33.000]  尼希米就一定有很嚴密的保護
[00:15:33.000 --> 00:15:36.000]  但如果出到阿羅平原的話
[00:15:36.000 --> 00:15:38.000]  他們要綁架他、要殺他
[00:15:38.000 --> 00:15:41.000]  其實就輕易很多
[00:15:41.000 --> 00:15:47.000]  所以這是一個非常危險的鴻門宴
[00:15:47.000 --> 00:15:52.000]  不過尼希米洞悉他們的陰謀
[00:15:52.000 --> 00:15:56.000]  他說「我現在正在進行大工程
[00:15:56.000 --> 00:15:59.000]  我怎可以離開去見你們呢?
[00:15:59.000 --> 00:16:04.000]  我怎可以讓工程停頓呢?」
[00:16:04.000 --> 00:16:06.000]  仇敵四次引誘
[00:16:06.000 --> 00:16:10.000]  尼希米四次堅定拒絕
[00:16:10.000 --> 00:16:14.000]  我們的仇敵魔鬼都會用一些計謀
[00:16:14.000 --> 00:16:17.000]  使我們失去焦點
[00:16:17.000 --> 00:16:23.000]  企圖阻止我們邁向一個有意義
[00:16:23.000 --> 00:16:28.000]  倚靠上帝豐盛的生命目標
[00:16:28.000 --> 00:16:33.000]  四次邀請不行
[00:16:33.000 --> 00:16:36.000]  於是就出第二招
[00:16:36.000 --> 00:16:40.000]  他們就第五次打發人去
[00:16:40.000 --> 00:16:43.000]  不過這次打發人去就很巧妙
[00:16:43.000 --> 00:16:46.000]  他就送一封信
[00:16:46.000 --> 00:16:50.000]  但那封信是沒有封口的
[00:16:50.000 --> 00:16:57.000]  正常這些這麼高規格的信件
[00:16:57.000 --> 00:16:59.000]  是會封口的
[00:16:59.000 --> 00:17:01.000]  當時封口是怎樣呢?
[00:17:01.000 --> 00:17:06.000]  就是用一些葡草紙或皮革
[00:17:06.000 --> 00:17:10.000]  上面寫了一些意思
[00:17:10.000 --> 00:17:12.000]  然後就捲起
[00:17:12.000 --> 00:17:15.000]  然後就用一條繩線
[00:17:15.000 --> 00:17:20.000]  帶著有印的圖製小球
[00:17:20.000 --> 00:17:23.000]  圖製小球
[00:17:23.000 --> 00:17:26.000]  這樣封住捲住
[00:17:26.000 --> 00:17:30.000]  收信的人收到那封信密函的時候
[00:17:30.000 --> 00:17:33.000]  就打碎圖製的小球
[00:17:33.000 --> 00:17:35.000]  才可以讀那封信
[00:17:35.000 --> 00:17:41.000]  但這群仇敵竟然用一封沒有封口的信
[00:17:41.000 --> 00:17:43.000]  目的是甚麼?
[00:17:43.000 --> 00:17:47.000]  目的就是這個人帶著這封信
[00:17:47.000 --> 00:17:49.000]  去到哪裡
[00:17:49.000 --> 00:17:53.000]  裡面的內容就傳到哪裡
[00:17:53.000 --> 00:18:00.000]  確保信內容可以傳開去
[00:18:00.000 --> 00:18:03.000]  信內容是怎樣說的?
[00:18:03.000 --> 00:18:05.000]  就是這樣說的
[00:18:05.000 --> 00:18:07.000]  第六節
[00:18:07.000 --> 00:18:14.000]  「愛邦人中有風聲,迦斯慕(基善)
[00:18:14.000 --> 00:18:19.000]  你同猶大人謀反,修造城牆
[00:18:19.000 --> 00:18:23.000]  你要作他們的王」
[00:18:23.000 --> 00:18:29.000]  這封信的內容原來是一些謠言
[00:18:29.000 --> 00:18:32.000]  是捏造他們,說他們
[00:18:32.000 --> 00:18:34.000]  其實建城牆的目的是甚麼?
[00:18:34.000 --> 00:18:36.000]  不是說我想甘願做一個
[00:18:36.000 --> 00:18:40.000]  在波斯王國裡的猶大省
[00:18:40.000 --> 00:18:43.000]  是你們根本就是想密謀造反
[00:18:43.000 --> 00:18:45.000]  自封為王
[00:18:45.000 --> 00:18:51.000]  說敵人用這一招造謠
[00:18:51.000 --> 00:18:53.000]  抹黑,恐嚇
[00:18:53.000 --> 00:18:59.000]  尼熙米這次也是一樣
[00:18:59.000 --> 00:19:01.000]  他沒有中計
[00:19:01.000 --> 00:19:03.000]  第九節說
[00:19:03.000 --> 00:19:07.000]  「他們都要使我們懼怕
[00:19:07.000 --> 00:19:10.000]  意思說他們的手必軟弱
[00:19:10.000 --> 00:19:13.000]  以至工作不能成就
[00:19:13.000 --> 00:19:17.000]  神啊,求你堅固我的手」
[00:19:17.000 --> 00:19:22.000]  其實尼熙米認清他們這群人
[00:19:22.000 --> 00:19:25.000]  在製造謠言,製造恐慌
[00:19:25.000 --> 00:19:28.000]  目的就是要他們懼怕
[00:19:28.000 --> 00:19:33.000]  懼怕是真的會令他們害怕
[00:19:33.000 --> 00:19:36.000]  會真的令他們放軟手腳
[00:19:36.000 --> 00:19:40.000]  真的可能要停工
[00:19:40.000 --> 00:19:42.000]  讓他們知道
[00:19:42.000 --> 00:19:46.000]  他們不是想去圖謀造反
[00:19:46.000 --> 00:19:50.000]  原來受敵的作為
[00:19:50.000 --> 00:19:53.000]  是可以叫我們放軟手腳
[00:19:53.000 --> 00:19:58.000]  叫我們不敢去做我們應該做的事
[00:19:58.000 --> 00:20:01.000]  第三個計謀來了
[00:20:01.000 --> 00:20:04.000]  第十至第十四節
[00:20:04.000 --> 00:20:08.000]  「我到了米希大別的孫子
[00:20:08.000 --> 00:20:11.000]  蒂萊瓦的兒子,斯瑪瓦加里
[00:20:11.000 --> 00:20:14.000]  那時他閉門不出
[00:20:14.000 --> 00:20:18.000]  他說:我們不如在神的殿裡會面
[00:20:18.000 --> 00:20:20.000]  將殿門關鎖
[00:20:20.000 --> 00:20:22.000]  因為他們要來殺你
[00:20:22.000 --> 00:20:25.000]  就是夜裡來殺你
[00:20:25.000 --> 00:20:30.000]  我說:像我這樣的人豈要逃跑呢?
[00:20:30.000 --> 00:20:36.000]  像我這樣的人豈能進入殿裡保存生命呢?
[00:20:36.000 --> 00:20:39.000]  我不進去
