
[00:00:00.000 --> 00:00:13.480]  以下我要為大家讀出聖經舊約新命記第六章一至九節
[00:00:13.480 --> 00:00:18.240]  是教會的聖經舊約二百二十二頁
[00:00:18.240 --> 00:00:21.040]  聖經這樣說
[00:00:21.040 --> 00:00:29.320]  「這是耶和華你們神所吩咐教訓你們的誡命、律例、典章
[00:00:29.320 --> 00:00:34.880]  使你們在所有過去得違約的地上進行
[00:00:34.880 --> 00:00:42.160]  好叫你和你子子孫孫一生敬畏耶和華你的神
[00:00:42.160 --> 00:00:46.800]  謹守他的一切律例、誡命
[00:00:46.800 --> 00:00:49.520]  就是我所吩咐你的
[00:00:49.520 --> 00:00:53.640]  使你的日子得以長久
[00:00:53.640 --> 00:00:58.200]  以色列啊,你要停,要謹守遵行
[00:00:58.200 --> 00:01:03.000]  使你可以在那流那雨蜜之地得以幸福
[00:01:03.000 --> 00:01:06.080]  人數極其增多
[00:01:06.080 --> 00:01:11.640]  正如耶穌你列祖的神所應許你的
[00:01:11.640 --> 00:01:14.280]  以色列啊,你要停
[00:01:14.280 --> 00:01:17.440]  耶和華我們神是獨一的主
[00:01:17.440 --> 00:01:21.080]  你要盡心盡性盡力
[00:01:21.080 --> 00:01:24.200]  愛耶和華你的神
[00:01:24.200 --> 00:01:27.760]  我今日所吩咐你的話
[00:01:27.760 --> 00:01:30.720]  都要記在心上
[00:01:30.720 --> 00:01:34.680]  也要殷勤教訓你的兒女
[00:01:34.680 --> 00:01:37.160]  無論你坐在家裡
[00:01:37.160 --> 00:01:38.920]  行在路上
[00:01:38.920 --> 00:01:41.280]  躺下、起來
[00:01:41.280 --> 00:01:43.320]  都要談論
[00:01:43.320 --> 00:01:46.640]  也要繫在手上為記號
[00:01:46.640 --> 00:01:49.840]  戴在額上為經文
[00:01:49.840 --> 00:01:53.400]  又要寫在你房屋的門窗上
[00:01:53.400 --> 00:01:56.160]  並你的城門上」
[00:01:56.160 --> 00:01:58.160]  (字幕: 陳志全)
[00:01:58.160 --> 00:02:05.360]  弟子們,平安
[00:02:05.360 --> 00:02:10.160]  來到我們錄音系列的第三講
[00:02:10.160 --> 00:02:12.480]  聖經的引導
[00:02:12.480 --> 00:02:14.480]  Guiding Biblically
[00:02:14.480 --> 00:02:20.160]  強調教會其中一個很重要的核心價值
[00:02:20.160 --> 00:02:22.440]  就是讓上帝的話語
[00:02:22.440 --> 00:02:26.920]  來引導我們生活的一言一行
[00:02:26.920 --> 00:02:31.360]  話說猶太人有一個故事是這樣說的
[00:02:31.360 --> 00:02:34.400]  他決定在這個世界上
[00:02:34.400 --> 00:02:36.920]  揀選一個民族作為他的子民
[00:02:36.920 --> 00:02:40.640]  於是開始到處尋找
[00:02:40.640 --> 00:02:43.520]  他首先找到希臘人
